Mutations_id_mutation	Proteins_has_pfam_domains_Proteins_id_protein	Proteins_has_pfam_domains_pfam_domains_pfam_id
24802	54	2924
24804	54	2924
24805	54	2924
24807	54	2924
24809	54	2924
24810	54	2924
24811	54	2924
24812	54	486
24814	54	1624
24815	54	1624
24816	54	486
24818	54	2924
24819	54	2924
24820	54	2924
24821	54	2924
24823	54	486
24827	54	1624
24828	54	2924
24829	54	2924
156543	54	2924
24831	57	2930
24833	57	2930
24834	57	1480
24835	57	1480
24837	57	2936
24838	57	2936
24843	59	584
24845	60	330
24852	60	330
24853	60	330
24854	60	330
24858	60	1993
24863	60	1993
24867	60	1993
24870	60	330
24874	60	330
24876	60	330
24879	60	330
24880	60	330
24882	60	330
24886	60	330
24887	60	330
24893	60	330
4054	62	123
4056	62	882
24908	62	882
24909	62	123
24910	62	123
24912	62	882
24913	62	882
24914	62	882
24917	62	123
24918	62	123
24919	62	123
24920	62	123
24921	62	123
24922	62	209
24926	62	209
24929	62	882
24930	62	882
24931	62	123
24937	62	123
24940	62	209
24941	62	882
24942	62	882
24946	62	123
24947	62	123
24948	62	123
24949	62	123
24951	62	123
24952	62	123
24953	62	123
24954	62	123
24955	62	123
156549	62	123
156552	62	209
156553	62	123
24957	66	455
24959	66	455
24960	66	2327
24962	66	455
24963	66	455
25	69	478
4059	69	204
4060	69	478
24964	69	478
24965	69	204
24966	69	204
24967	69	478
24975	69	785
24976	69	478
24977	69	478
24978	69	478
24979	69	204
24980	69	478
24981	69	478
24983	69	204
24984	69	204
24985	69	478
24986	69	478
24989	69	204
24990	69	204
24991	69	204
24992	69	785
24993	69	785
24994	69	478
24995	69	478
24998	69	785
25000	69	204
25001	69	204
25002	69	478
25005	71	413
4062	72	2921
25006	72	2801
25008	72	2801
25009	72	2832
25014	72	2921
25015	72	2921
25016	72	2921
25017	72	2921
25022	72	2801
25023	72	2832
25028	72	2921
25029	72	2921
25030	72	2921
25034	72	2832
25036	72	2921
25040	72	2801
25041	72	2832
25045	72	2921
25046	72	2921
156558	72	2921
26	74	327
25051	74	10
25052	74	10
25053	74	327
25054	74	10
25055	74	2556
25056	74	2556
25058	74	2556
25059	74	2556
25060	74	10
25063	74	2556
25065	74	2556
25068	74	327
25069	74	327
25072	74	10
25073	74	10
25074	74	10
25075	74	2556
25076	74	327
25079	74	327
25084	74	327
25085	74	327
25086	74	327
25087	74	2556
25090	74	10
156559	74	2556
156560	74	327
3378	74	327
25091	76	1395
28	78	948
4064	78	948
25092	78	948
25093	78	948
25094	78	948
25095	78	2299
25096	78	2299
25097	78	948
25103	78	948
25106	78	2299
25108	78	948
25112	78	948
25118	78	2299
25122	78	948
25124	78	948
25125	78	2299
25126	78	948
25128	78	2299
25129	78	2299
25134	78	948
25135	78	948
25136	78	2299
25142	78	948
25143	78	948
25144	78	948
25145	78	2299
25151	78	948
25152	78	948
25153	78	948
25159	78	948
25161	78	948
25163	78	948
25164	78	948
25170	78	948
25171	78	948
25172	78	2299
25174	78	948
25175	78	948
25176	78	948
156561	78	2299
156562	78	2299
25177	81	598
25178	81	598
25179	81	598
25180	81	598
25181	81	598
4065	82	213
4066	82	2634
4068	82	213
4073	82	213
4077	82	213
4079	82	2634
4080	82	213
4086	82	2901
4087	82	2901
4095	82	213
4096	82	213
4097	82	213
4098	82	213
4099	82	213
4100	82	213
4110	82	2901
4111	82	2901
4117	82	2634
4118	82	2634
4119	82	2634
4120	82	2634
4121	82	213
4122	82	213
4127	82	213
4128	82	213
4133	82	213
4134	82	213
4135	82	2634
4138	82	2634
25182	82	2634
25185	82	2634
25188	82	2634
25190	82	2634
25191	82	213
25192	82	2901
25196	82	2634
25197	82	2634
25199	82	2634
25200	82	2634
25204	82	213
25206	82	2901
25209	82	2634
25210	82	2634
25213	82	2634
25215	82	2634
25218	82	2634
25221	82	2634
25222	82	2634
25225	82	2634
25227	82	2634
25229	82	2634
156564	82	2901
156568	82	213
156569	82	213
156570	82	213
156572	82	2901
156578	82	2634
156582	82	213
156583	82	213
156592	82	2634
156593	82	2634
156594	82	2634
156595	82	2634
156596	82	213
156601	82	2634
22888	82	213
25232	83	2246
25233	83	2914
25234	83	25
25235	83	25
25238	83	30
25239	83	30
25241	86	1090
25242	86	1090
25243	86	1090
25244	86	1090
30	88	160
32	88	160
33	88	160
4143	88	161
4144	88	161
4145	88	161
4147	88	160
4148	88	160
4149	88	160
4150	88	160
4151	88	160
4152	88	161
4153	88	161
4154	88	161
4155	88	160
4156	88	161
4158	88	160
4159	88	160
4160	88	161
4166	88	160
4167	88	161
4173	88	160
4175	88	160
4177	88	160
4178	88	161
4179	88	161
25250	88	160
25251	88	161
25252	88	161
25253	88	161
25254	88	161
25255	88	160
25256	88	160
25257	88	160
25258	88	160
25260	88	161
25261	88	160
25264	88	160
25271	88	160
25272	88	160
25273	88	160
25274	88	160
25275	88	161
25276	88	161
25277	88	161
25278	88	161
25279	88	161
25280	88	161
25282	88	161
25283	88	160
25285	88	161
25286	88	161
25287	88	160
25289	88	160
25291	88	161
25295	88	160
25296	88	160
25297	88	160
25298	88	161
25301	88	161
25302	88	160
25303	88	161
25304	88	161
25305	88	161
25307	88	161
25308	88	160
25309	88	161
25311	88	161
25312	88	160
25315	88	160
25316	88	161
25317	88	160
25318	88	160
25319	88	161
25321	88	160
25322	88	161
25324	88	161
25325	88	161
25326	88	161
25327	88	161
2614	88	161
156602	88	160
156603	88	160
156604	88	160
156609	88	161
156611	88	160
156613	88	160
156618	88	161
156619	88	160
156620	88	161
156621	88	160
156622	88	160
25328	89	250
25333	89	250
25334	89	250
25335	89	250
25337	89	250
25342	89	250
25343	89	250
36	91	1179
37	91	1179
38	91	1179
40	91	1179
4184	91	1179
4185	91	1179
4186	91	1179
4187	91	1179
4189	91	1179
4190	91	1179
4191	91	1179
4192	91	1179
4195	91	1179
4196	91	1179
4197	91	1179
4200	91	1179
4201	91	1179
4202	91	1179
25345	91	1179
25347	91	1179
25348	91	1179
25350	91	1179
25352	91	1179
25353	91	1179
25354	91	1179
25355	91	1179
25357	91	1179
25358	91	1179
25360	91	1179
25361	91	1179
25362	91	1179
25364	91	1179
25365	91	1179
25366	91	1179
25367	91	1179
25368	91	1179
25369	91	1179
25370	91	1179
25373	91	1179
25374	91	1179
25375	91	1179
25376	91	1179
25377	91	1179
25380	91	1179
25381	91	1179
25382	91	1179
25383	91	1179
25384	91	1179
25385	91	1179
25386	91	1179
25387	91	1179
25388	91	1179
25389	91	1179
25390	91	1179
25391	91	1179
25392	91	1179
2615	91	1179
2616	91	1179
2617	91	1179
156624	91	1179
156625	91	1179
156626	91	1179
156627	91	1179
156630	91	1179
156631	91	1179
156632	91	1179
156633	91	1179
156635	91	1179
156636	91	1179
156637	91	1179
156638	91	1179
3380	91	1179
22891	91	1179
4205	92	2903
4208	92	2903
4209	92	2903
4210	92	2903
4211	92	2903
4215	92	2903
4216	92	2903
4217	92	2903
25399	92	2903
25401	92	2903
25403	92	2903
25404	92	2903
25409	92	2903
25412	92	2903
25413	92	2903
25415	92	2903
25416	92	2903
25419	92	2903
25420	92	2903
25421	92	2903
25423	92	2903
25428	92	2903
25430	92	2903
25432	92	2903
25433	92	2903
156640	92	2903
156641	92	2903
156646	92	2903
156647	92	2903
156648	92	2903
156649	92	2903
156652	92	2903
22893	92	2903
25435	96	104
25436	96	104
25440	96	408
25442	98	1633
25443	98	1633
25444	98	1633
4219	104	690
25449	105	68
25450	105	68
25451	105	25
25452	105	334
25453	105	68
25455	105	68
25456	105	68
25458	105	68
25463	109	2921
25464	109	2921
25465	109	2921
25466	109	2921
25469	109	404
25472	109	404
25474	109	2921
25475	109	404
25476	109	404
25477	109	404
25478	109	2921
25486	109	105
25488	109	2921
156653	109	2921
156654	109	2921
25489	110	15
25498	114	402
4223	115	110
25500	115	110
25506	115	110
25509	116	91
43	120	1987
4231	120	1987
4232	120	51
4233	120	1987
25515	120	51
25516	120	51
25518	120	51
25519	120	51
25522	120	51
25526	120	1987
25527	120	1987
25534	120	51
25535	120	51
25544	120	51
25547	120	1987
25548	120	51
25553	120	1987
25561	120	51
25562	120	1987
25572	120	51
25573	120	51
25582	120	1987
25583	120	1987
25584	120	1987
25599	120	51
25611	120	1987
25612	120	1987
25621	120	51
25628	120	1987
25633	120	51
25634	120	51
25639	120	1987
25640	120	1987
25648	120	51
25649	120	51
25650	120	51
25655	120	1987
25662	120	51
25685	120	1987
25686	120	51
25687	120	51
25690	120	1987
25692	120	51
25693	120	1987
25698	120	1987
25699	120	1987
25700	120	1987
25709	120	51
25712	120	1987
25713	120	1987
25714	120	1987
25726	120	51
25737	120	51
25738	120	51
25739	120	51
25741	120	1987
25742	120	1987
25743	120	1987
25751	120	51
25753	120	1987
25759	120	1987
25763	120	1987
25780	120	51
25781	120	51
25782	120	51
25783	120	51
25804	120	1987
25805	120	1987
25806	120	1987
25807	120	1987
25808	120	1987
25809	120	1987
25810	120	1987
25854	120	1987
25864	120	51
25865	120	51
25866	120	51
25867	120	51
25880	120	1987
25881	120	1987
25882	120	1987
25883	120	1987
25884	120	1987
25885	120	1987
25886	120	1987
25887	120	1987
25888	120	1987
25938	120	51
25939	120	51
25941	120	51
25952	120	51
25953	120	51
25954	120	51
25957	120	1987
25981	120	51
25988	120	1987
26005	120	51
26006	120	51
26007	120	51
26008	120	51
26013	120	1987
26039	120	1987
26040	120	1987
26041	120	1987
26042	120	1987
26043	120	1987
156659	120	1987
156661	120	51
156662	120	1987
156663	120	1987
26051	121	2921
26053	121	2921
47	122	54
48	122	54
4237	122	54
4238	122	1755
4239	122	54
4241	122	54
4242	122	54
4244	122	1755
4245	122	1755
4249	122	54
4250	122	54
4251	122	1755
4252	122	1755
4254	122	1755
4256	122	54
4257	122	54
4258	122	54
26054	122	54
26055	122	54
26056	122	54
26058	122	54
26059	122	54
26060	122	54
26061	122	54
26062	122	54
26063	122	54
26064	122	54
26065	122	54
26066	122	54
26067	122	54
26068	122	54
26070	122	1755
26071	122	1755
26072	122	1755
26075	122	54
26076	122	54
26077	122	54
26079	122	1755
26081	122	1755
26082	122	54
26083	122	54
26084	122	54
26085	122	54
26086	122	1755
26088	122	1755
26089	122	54
26094	122	54
26095	122	54
26096	122	54
26097	122	54
26098	122	54
26099	122	54
26100	122	54
26101	122	54
26102	122	54
26103	122	54
26104	122	54
26105	122	54
26106	122	54
26107	122	54
26108	122	54
26109	122	54
26110	122	54
26111	122	54
26115	122	1755
26116	122	1755
26117	122	1755
26118	122	1755
26119	122	1755
26120	122	1755
26121	122	1755
26122	122	1755
26123	122	1755
26124	122	1755
26125	122	1755
26126	122	1755
26127	122	1755
26128	122	1755
26129	122	1755
26133	122	54
26134	122	1755
26135	122	54
26138	122	54
26139	122	54
26140	122	54
26141	122	1755
26142	122	54
26144	122	54
26145	122	1755
26146	122	1755
26147	122	54
26148	122	54
26149	122	54
26152	122	54
26153	122	54
26154	122	54
26159	122	54
26160	122	54
26163	122	54
26165	122	54
26166	122	54
26167	122	1755
26168	122	54
26169	122	54
26170	122	54
26171	122	54
26172	122	54
26174	122	54
26175	122	1755
26177	122	54
26178	122	54
26179	122	54
26180	122	54
26181	122	54
26183	122	54
26185	122	54
26187	122	54
26188	122	1755
26189	122	1755
26190	122	54
26191	122	54
26194	122	54
26195	122	54
26196	122	54
26197	122	54
26201	122	1755
26202	122	1755
26203	122	1755
26204	122	1755
26205	122	1755
26206	122	1755
26209	122	54
26210	122	54
26211	122	54
26214	122	54
26215	122	54
26220	122	1755
26221	122	1755
26222	122	1755
26223	122	1755
26224	122	1755
26227	122	54
26230	122	54
26231	122	54
26232	122	1755
26234	122	54
26235	122	54
26236	122	54
26237	122	54
26240	122	1755
26241	122	1755
26243	122	54
26244	122	54
26245	122	54
26246	122	54
26247	122	54
26248	122	54
26249	122	54
26250	122	54
26251	122	54
26252	122	54
26253	122	54
26255	122	54
156669	122	54
156670	122	1755
156671	122	1755
156672	122	1755
156673	122	1755
156674	122	54
156676	122	54
156678	122	1755
156679	122	1755
156680	122	54
156681	122	1755
156682	122	1755
3383	122	54
22900	122	54
4260	123	2903
4261	123	2903
26256	123	2903
26257	123	2903
26260	123	2903
26261	123	2903
156683	123	2903
156684	123	2903
156685	123	2903
49	127	1228
4262	127	1224
4263	127	1229
4264	127	1229
4265	127	1228
4266	127	1224
26266	127	1224
26267	127	1229
26268	127	1229
26269	127	1229
26270	127	329
26271	127	1224
26272	127	1224
26274	127	1230
26275	127	1229
26277	127	1224
26278	127	1229
26279	127	1229
26280	127	329
26281	127	1228
26282	127	1228
26283	127	1229
26284	127	1229
26285	127	1224
26286	127	1224
26287	127	1224
26288	127	1228
26289	127	1224
26290	127	1224
26291	127	1224
26292	127	1228
26293	127	1229
26294	127	1229
26296	127	1229
26297	127	1224
26298	127	1224
26299	127	329
26300	127	1229
26301	127	1229
26304	127	1229
26305	127	1229
26306	127	1230
26307	127	1230
26308	127	1229
26309	127	1229
26310	127	1224
26311	127	329
26312	127	1230
26314	127	1229
26315	127	1230
26316	127	1228
26317	127	1229
26320	127	1230
26322	127	1229
26323	127	1229
26324	127	1229
26325	127	1229
26326	127	1229
26327	127	1229
26328	127	1224
26329	127	329
26330	127	1228
26331	127	1229
26332	127	1224
26333	127	1224
26334	127	1229
2618	127	1229
156686	127	1228
156687	127	1229
156689	127	1229
156690	127	1229
156692	127	1230
156693	127	1224
156694	127	1228
156695	127	1224
156696	127	1228
156697	127	1230
156698	127	1229
156699	127	1228
26336	128	47
26337	128	47
26338	128	47
26339	128	47
51	133	1315
4268	133	1315
4269	133	1315
26341	133	1315
26343	133	1315
26344	133	1315
26345	133	1315
26346	133	1315
26347	133	1315
26348	133	1315
26349	133	1315
26350	133	1315
26353	133	1315
26354	133	1315
26355	133	1315
26356	133	1315
26357	133	1315
26359	133	1315
26360	133	1315
26361	133	1315
26362	133	1315
26363	133	1315
26364	133	1315
26366	133	1315
26367	133	1315
26368	133	1315
26369	133	1315
26370	133	1315
26371	133	1315
26374	133	1315
26375	133	1315
26376	133	1315
26377	133	1315
26378	133	1315
26380	133	1315
26381	133	1315
26384	133	1315
26385	133	1315
26386	133	1315
26387	133	1315
26388	133	1315
26389	133	1315
26391	133	1315
26392	133	1315
156701	133	1315
52	134	2910
26395	134	2910
26396	134	2910
26398	134	1870
26399	134	1870
26401	134	2910
26402	134	1870
26403	134	2910
26404	134	2910
26405	134	1870
26406	134	2910
26407	134	2910
26408	134	2910
26412	134	1870
26414	134	1870
26415	134	2910
26416	134	2910
26418	134	2910
26419	134	1870
156702	134	1870
156703	134	1870
26421	136	315
4270	138	2830
26422	138	2921
26423	138	2830
26424	138	2921
26425	138	2830
26426	138	2830
26427	138	2921
26428	138	2830
26429	138	2830
26431	138	2830
26433	138	2921
26435	138	2830
26436	138	2830
26438	138	2921
26439	138	2830
26440	138	2921
26441	138	2921
26442	138	2921
26444	138	2830
26445	138	2830
26446	138	2830
26447	138	2830
26448	138	2830
26449	138	2830
26451	138	2012
26452	138	2921
26454	138	2012
26455	138	2012
26456	138	2830
26458	138	2921
26459	138	2012
26460	138	2830
26461	138	2921
26462	138	2921
26463	138	2921
26464	138	2921
26467	138	2830
26469	138	2012
26470	138	2921
26471	138	2921
26474	138	2830
26475	138	2830
26476	138	2830
26477	138	2921
26478	138	2921
26479	138	2921
26480	138	2921
156704	138	2921
156705	138	2921
3385	138	2012
4271	140	315
4273	140	330
4274	140	16
4275	140	330
4276	140	2921
4277	140	2921
4278	140	330
4279	140	2921
4280	140	889
4281	140	2921
4283	140	315
4284	140	330
4288	140	2921
4289	140	2921
4290	140	16
4291	140	315
4292	140	315
4293	140	330
4294	140	889
26483	140	2921
26484	140	2921
26487	140	889
26489	140	330
26492	140	2921
26493	140	2921
26494	140	16
26495	140	2921
26496	140	16
26498	140	330
26499	140	889
26502	140	330
26503	140	2921
26504	140	2921
26505	140	315
26507	140	16
26508	140	2921
26509	140	330
26510	140	330
26512	140	315
26513	140	315
26514	140	889
26516	140	2921
26517	140	2921
26518	140	315
26519	140	330
26520	140	2921
26521	140	2921
26522	140	16
26523	140	330
26524	140	330
26525	140	315
26528	140	315
26529	140	2921
26533	140	2921
26534	140	2921
26536	140	2921
26538	140	330
26539	140	16
26540	140	2921
26541	140	330
26542	140	16
26544	140	889
26545	140	330
26546	140	2921
26547	140	330
26548	140	330
26549	140	330
26550	140	2921
26553	140	2921
26554	140	330
26555	140	889
26556	140	889
26557	140	2921
26558	140	330
26559	140	889
26560	140	330
26561	140	330
26567	140	889
26568	140	2921
26569	140	330
26570	140	2921
26572	140	330
26573	140	2921
26574	140	330
26575	140	2921
26576	140	315
2619	140	2921
156706	140	16
156707	140	2921
156708	140	315
156711	140	330
156712	140	2921
156714	140	2921
156715	140	330
156716	140	330
156717	140	330
156719	140	2921
156720	140	330
156721	140	330
156723	140	315
156724	140	2921
156725	140	16
156727	140	2921
156729	140	315
156733	140	2921
156734	140	2921
156735	140	16
156736	140	2921
156737	140	2921
26581	143	2921
26589	147	50
26600	147	50
26606	147	50
26610	147	50
26611	147	50
26627	147	50
61	149	373
62	149	1598
4299	149	82
4300	149	372
4301	149	372
4303	149	372
4304	149	372
4305	149	82
4306	149	373
26633	149	372
26634	149	82
26636	149	373
26638	149	1598
26640	149	372
26641	149	372
26642	149	82
26643	149	2142
26644	149	2142
26647	149	372
26649	149	82
26650	149	372
26651	149	82
26654	149	2142
26656	149	372
26657	149	2142
26658	149	82
26659	149	82
26661	149	372
26662	149	2142
26664	149	372
26665	149	82
26668	149	372
26669	149	373
26670	149	82
26671	149	2142
26673	149	1598
26674	149	82
26675	149	2142
26676	149	2142
26677	149	82
26679	149	2142
26681	149	82
26683	149	372
26684	149	372
26685	149	372
26686	149	82
26687	149	82
26688	149	2142
26689	149	372
26691	149	373
26696	149	82
26697	149	82
26698	149	82
26699	149	82
26700	149	82
26701	149	82
26703	149	2142
26704	149	2142
26710	149	1598
26711	149	1598
26712	149	372
26713	149	372
26714	149	372
26715	149	372
26716	149	372
26717	149	372
26718	149	372
26719	149	372
26721	149	2142
26722	149	82
26724	149	82
26725	149	82
26727	149	2142
26728	149	2142
26729	149	2142
26730	149	2142
26733	149	1598
26734	149	1598
26736	149	372
26737	149	372
26738	149	372
26739	149	372
26740	149	372
26741	149	372
26742	149	372
26743	149	372
26744	149	372
26745	149	372
26747	149	373
26748	149	82
26749	149	82
26751	149	372
26752	149	372
26753	149	372
26754	149	82
26758	149	372
26759	149	373
26760	149	82
26761	149	2142
26763	149	82
26764	149	2142
26767	149	372
26768	149	372
26769	149	373
26770	149	2142
26771	149	2142
156741	149	82
156743	149	372
156744	149	373
156746	149	2142
156748	149	372
156749	149	82
26779	150	1906
26780	150	850
4307	151	2877
26783	151	2878
26784	151	2878
26785	151	2878
26786	151	2877
26787	151	2877
26788	151	2878
26789	151	2877
26790	151	2877
26791	151	2878
26792	151	2877
26794	151	2877
26795	151	2877
26796	151	2877
26797	151	328
26801	151	2877
26802	151	2878
26803	151	2877
26804	151	2877
26806	151	328
26808	151	2877
26809	151	2877
26810	151	2877
26812	151	2877
156754	151	328
64	152	244
65	152	244
66	152	244
4308	152	244
4309	152	244
4310	152	244
4311	152	244
26815	152	177
26816	152	244
26817	152	244
26819	152	177
26820	152	244
26821	152	177
26822	152	177
26825	152	244
26826	152	244
26827	152	244
26828	152	244
26829	152	244
26830	152	244
26831	152	244
26832	152	244
26833	152	244
26834	152	244
26835	152	244
26836	152	2419
26837	152	2419
26838	152	244
26839	152	244
26840	152	244
26841	152	244
26842	152	244
26843	152	244
26844	152	2419
26845	152	244
26846	152	244
26847	152	244
26848	152	244
26849	152	244
26850	152	177
26851	152	177
26852	152	2419
26853	152	244
26854	152	244
26855	152	244
26856	152	2419
26857	152	177
26859	152	244
26860	152	244
26861	152	177
26862	152	244
26863	152	244
26864	152	244
26865	152	2419
26866	152	244
26867	152	177
26869	152	2419
26872	152	244
26873	152	244
26874	152	244
26875	152	244
26876	152	244
26877	152	244
26878	152	244
26879	152	244
26880	152	244
26881	152	244
26882	152	244
26883	152	244
26884	152	244
26885	152	244
26886	152	244
26887	152	244
26888	152	244
26889	152	244
26890	152	244
26891	152	244
26892	152	244
26893	152	244
26894	152	244
26895	152	244
26896	152	244
26897	152	244
26898	152	177
26899	152	177
26900	152	177
26902	152	244
26903	152	244
26904	152	244
26905	152	244
26906	152	244
26907	152	244
26908	152	244
26909	152	244
26910	152	244
26911	152	244
26912	152	244
26913	152	244
26914	152	244
26915	152	244
26916	152	244
26917	152	244
26918	152	244
26919	152	244
26920	152	2419
26922	152	244
26923	152	244
26924	152	244
26925	152	244
26926	152	244
26927	152	244
26928	152	244
26929	152	244
26930	152	244
26931	152	244
26932	152	244
26933	152	244
26934	152	244
26935	152	177
26936	152	2419
26938	152	2419
26939	152	244
26940	152	244
26941	152	244
26942	152	244
26943	152	244
26944	152	244
26945	152	244
26946	152	244
26947	152	244
26948	152	244
26949	152	244
26950	152	244
26951	152	244
26952	152	244
26953	152	244
26954	152	244
26955	152	244
26956	152	244
26957	152	244
26958	152	244
26959	152	244
26960	152	244
26961	152	244
26962	152	244
26965	152	2419
26967	152	244
26968	152	244
26969	152	244
26970	152	244
26971	152	244
26972	152	244
26974	152	244
26975	152	244
26977	152	244
26978	152	244
26980	152	2419
26982	152	2419
156756	152	244
156757	152	244
156758	152	244
156759	152	244
3387	152	244
3387	152	244
26984	153	691
26994	156	1959
26997	157	2002
27001	157	1616
27005	158	992
27007	160	138
27010	161	856
27012	161	856
4333	163	2594
4370	163	2594
4382	163	2594
4406	163	2594
27018	163	2594
27042	163	2594
27043	163	2594
27044	163	2594
27052	163	2594
27078	163	2594
27079	163	2594
27087	163	2594
27092	163	2594
27114	163	2594
27127	163	2594
27128	163	2594
27133	163	2594
27177	163	2594
27188	163	2594
27193	163	2594
27214	163	2594
27280	163	2594
27281	163	2594
156775	163	2594
156777	163	2594
156790	163	2594
156821	163	2594
156822	163	2594
156835	163	2594
4425	166	2668
27335	166	2668
27336	166	2668
27337	167	2830
27338	167	2830
27340	167	2921
