id_mutation	id_lc
26585	13812
56	14622
57	14622
58	14625
59	14622
60	14624
3386	14624
4298	14622
26588	14627
26590	14624
26592	14624
26593	14622
26594	14622
26595	14622
26596	14623
26597	14622
26598	14622
26599	14625
26604	14623
26608	14622
26609	14627
26614	14624
26615	14623
26616	14622
26617	14622
26620	14622
26621	14622
26625	14622
26640	6394
26648	6391
26661	6394
26678	6393
26693	6391
26694	6391
26708	6393
26709	6393
26715	6394
26716	6394
26723	6391
26732	6393
26739	6394
156742	6393
156745	6393
26775	8448
26777	8448
26778	8448
4307	6312
26798	6308
26801	6310
26804	6312
156753	6309
156754	6309
64	7947
3387	7948
4311	7955
26825	7956
26838	7956
26851	7945
26872	7956
26878	7953
26879	7953
26894	7948
26895	7946
26904	7948
26911	7946
26913	7956
26925	7952
26929	7951
26930	7951
26933	7948
26935	7944
26940	7950
26941	7947
26942	7951
26944	7946
26948	7950
26957	7954
26962	7955
156756	7948
156757	7948
4315	7104
4316	7085
4317	7090
4319	7084
26989	7102
26990	7102
26992	7102
156760	7088
26998	4158
26999	4154
27010	5219
68	11338
69	11320
70	11329
71	11350
72	11338
2620	11342
4322	11325
4323	11327
4325	11319
4326	11319
4327	11342
4329	11328
4330	11318
4333	11336
4334	11338
4335	11342
4336	11343
4338	11320
4342	11348
4343	11343
4344	11326
4346	11327
4348	11345
4350	11337
4354	11328
4355	11326
4356	11326
4359	11320
4361	11325
4362	11350
4363	11346
4364	11349
4368	11329
4370	11336
4371	11344
4372	11319
4373	11333
4375	11321
4376	11342
4378	11342
4381	11331
4386	11348
4387	11342
4388	11342
4389	11320
4393	11320
4394	11319
4397	11349
4402	11327
4408	11325
4412	11348
4418	11321
4420	11350
4422	11340
4424	11318
22907	11349
27019	11327
27020	11330
27024	11334
27025	11341
27026	11321
27030	11317
27031	11342
27034	11326
27035	11341
27036	11320
27040	11333
27042	11336
27055	11346
27060	11342
27062	11326
27064	11324
27079	11335
27085	11342
27086	11340
27089	11328
27091	11349
27092	11336
27096	11327
27097	11327
27099	11319
27101	11319
27102	11347
27104	11349
27106	11328
27109	11347
27111	11344
27117	11326
27118	11319
27122	11325
27123	11321
27125	11322
27127	11335
27128	11335
27129	11319
27131	11326
27134	11328
27138	11319
27146	11340
27155	11322
27156	11329
27163	11319
27164	11340
27165	11349
27169	11341
27170	11340
27174	11330
27176	11343
27177	11335
27184	11340
27187	11338
27189	11317
27191	11345
27195	11349
27196	11349
27200	11346
27202	11345
27207	11342
27208	11342
27218	11334
27226	11328
27229	11327
27230	11326
27233	11322
27237	11341
27240	11329
27246	11346
27252	11334
27259	11328
27260	11323
27261	11320
27262	11318
27263	11348
27265	11350
27272	11333
27281	11336
27290	11342
27293	11334
27296	11331
27297	11328
27299	11327
27300	11325
27303	11321
27305	11320
27306	11319
27307	11318
27310	11349
27312	11348
27313	11347
27318	11338
27319	11338
27324	11333
27326	11327
27327	11325
27329	11322
27334	11338
156763	11343
156765	11338
156768	11327
156769	11318
156774	11345
156778	11348
156780	11344
156791	11327
156792	11331
156795	11318
156796	11319
156797	11332
156799	11327
156801	11325
156805	11332
156812	11319
156815	11327
156816	11329
156818	11326
156819	11348
156824	11326
156832	11321
156833	11348
156834	11347
156838	11326
156839	11319
156840	11348
156845	11326
27342	6287
27394	4223
27400	14068
27427	9535
27445	8843
27458	8843
27470	8843
27497	8843
27499	8843
27510	8843
156864	8843
27532	4768
27533	4768
79	13457
91	13457
4496	13457
4552	13457
4577	13455
27558	13456
27662	13456
27762	13457
27782	13457
27783	13457
27841	13457
27851	13456
27898	13457
27915	13456
27916	13456
27918	13455
27919	13455
28004	13456
28005	13455
28031	13457
28045	13456
28080	13457
28106	13456
28107	13455
28108	13455
28143	8322
28144	2195
28212	13524
2529	7683
3389	7683
4602	7683
28224	7683
4615	1198
4617	1195
4621	1198
28226	1194
28231	1198
28256	1195
28299	4973
28304	4973
4631	5783
28363	8054
28371	229
4638	9723
4642	9724
4649	9727
28385	9726
28402	9722
28412	9725
28437	9727
28473	9723
28484	9719
28489	9722
28493	9727
28500	9724
28522	9720
28529	9726
28531	9723
156995	14690
28545	4983
28549	4986
28562	4985
28564	4985
100	8451
3390	8450
4657	8450
28574	8452
28576	8453
28577	8451
28582	8454
28586	8451
28589	8454
28613	8451
28614	8451
28625	8453
28633	8454
28634	8453
28636	8451
28658	8451
28675	8450
28676	8450
28708	8452
28710	8451
28711	8451
28712	8451
28713	8451
28756	8451
28775	8451
103	10784
28790	10788
28801	10782
28813	10784
28814	10789
28819	10795
28825	10789
28826	10793
28832	10785
28835	10789
28847	10795
28848	10799
28851	10786
28856	10796
28858	10787
28859	10784
4663	6447
4664	6449
28871	6447
28877	6446
28886	6446
28894	6443
28898	6445
28906	6448
28928	6444
28932	6448
28933	6448
28943	6448
28947	6449
28955	6447
28958	6449
28960	6446
28961	6446
28967	6443
107	1139
110	1142
111	1143
112	1139
3393	1141
4668	1144
4673	1138
4682	1144
4686	1142
4687	1139
4690	1143
4691	1139
4708	1144
4710	1143
4711	1139
4721	1144
4745	1138
4749	1140
4753	1138
4758	1141
22915	1141
28970	1142
28974	1141
28979	1143
28996	1141
28997	1141
29000	1142
29016	1141
29054	1143
29055	1143
29067	1142
29068	1142
29069	1142
29076	1141
29077	1141
29091	1139
29092	1138
29093	1138
29095	1141
29097	1141
29103	1142
29108	1139
29115	1140
29116	1143
29136	1142
29137	1142
29138	1142
29139	1142
29147	1141
29148	1141
29149	1141
29158	1140
29159	1140
29160	1140
29168	1142
29170	1141
29172	1140
29183	1139
29192	1143
29193	1142
29198	1143
29205	1141
29209	1139
29219	1142
29220	1142
29226	1142
29232	1140
29235	1139
29241	1143
29246	1139
29247	1139
29250	1143
29256	1143
29257	1143
29258	1142
29276	1141
29283	1141
29288	1144
29292	1143
29294	1142
29315	1143
29328	1141
29330	1143
29346	1141
29355	1144
29356	1144
29366	1143
29367	1143
29368	1143
29379	1139
29381	1138
29384	1141
29386	1141
29387	1141
29390	1138
29395	1142
29402	1139
29411	1142
29412	1142
29418	1144
29426	1140
29438	1141
157011	1141
157019	1140
117	7420
118	7420
3396	7420
4761	7422
4765	7422
4766	7420
4767	7421
4768	7422
4769	7422
4774	7423
29444	7420
29445	7422
29448	7421
29449	7424
29453	7420
29458	7424
29463	7421
29464	7421
29467	7421
29468	7424
29471	7421
29472	7420
29475	7420
29476	7421
29480	7420
29483	7423
29492	7420
29498	7423
29506	7422
29509	7423
29516	7420
29517	7422
29518	7422
29529	7421
29530	7422
29532	7421
29533	7424
29535	7421
157043	7423
157047	7421
157051	7421
157054	7424
157060	7424
4778	1613
29650	7610
3399	11723
4802	11725
29688	11726
29694	11725
29701	11725
29708	11723
29814	3067
29817	471
29822	470
29856	14832
125	4183
3402	4181
4870	4183
4874	4184
4912	4183
29926	4185
29933	4183
29944	4181
29960	4182
29989	4182
29993	4185
30005	4184
157110	4184
157117	4183
4932	5318
4933	5318
30034	5318
30042	5317
30050	5315
157121	5316
30075	4939
30085	4939
30127	4939
30128	4939
30149	1340
30153	1347
139	3609
4959	3608
4965	3609
30277	3609
30280	3608
30293	3609
157145	3608
157147	3608
157150	3608
157152	3608
157155	3609
30328	1301
30333	1294
30339	1304
30341	1298
30373	1299
30388	1302
30402	1301
30411	1302
30419	1296
30431	1301
30443	1296
30451	1303
30477	1299
30487	1299
30510	13236
30512	13234
30516	12486
30520	12486
30544	203
30725	9577
30732	9580
30733	14684
30734	789
30741	12341
157203	12343
5040	14620
30754	11064
30763	11064
30765	11060
30775	11062
30776	11063
30780	11064
30783	11063
5041	4843
5043	4844
5044	4843
5050	4844
30793	4842
30797	4843
30799	4844
30804	4843
30808	4844
157208	4843
154	12437
155	12437
156	12436
157	12437
158	12433
3404	12437
3405	12437
30850	12435
30862	12435
30864	12437
30865	12437
30871	12435
30872	12435
30875	12435
30881	12435
30882	12435
30887	12435
30889	14864
30890	14869
5051	10586
5053	10586
30894	10601
30895	10602
30897	10587
5067	3189
5117	3189
22932	3189
30917	3189
31005	3189
31033	3189
31062	3189
31153	3189
31245	3189
31267	3189
31278	3189
31328	3189
31368	3189
31451	3189
31452	3189
31535	3189
31567	3189
31568	3189
31569	3189
31637	3189
31705	3189
31706	3189
31707	3189
31775	3189
31855	3189
157260	3189
31915	4581
31918	10292
31919	10296
157278	10298
31949	9679
175	11893
5180	11895
5182	11895
5183	11897
31988	11887
31990	11890
157286	11898
2478	12184
31994	12186
157288	12187
157289	721
176	12529
177	12527
3408	12529
5188	12529
32000	12529
32004	12529
32005	12529
32006	12526
32007	12527
32008	12529
32010	12529
32012	12529
32013	12527
32014	12528
32016	12527
32022	12529
32029	12527
32035	12528
32038	12527
32039	12528
32040	12529
32041	12527
32042	12527
32050	12527
32051	12527
32052	12528
32054	12529
32057	12526
32060	12528
32062	12526
32066	12527
157292	12527
32095	14613
32096	14613
32101	10400
3410	4366
5190	4365
5191	4365
5192	4365
157293	4365
32145	13590
32331	13177
32334	13176
157304	13177
5201	13940
32358	13940
32361	13941
157305	13940
157307	7163
32453	13688
32468	13688
32473	13688
181	3593
182	3592
185	3592
5204	3598
5207	3600
5208	3595
5209	3595
5210	3595
5212	3596
5213	3596
5214	3596
5215	3596
5216	3596
5217	3596
5227	3599
5235	3592
5236	3592
5239	3593
5240	3593
5241	3593
5242	3593
5243	3593
5244	3593
5254	3596
5255	3600
5256	3594
5263	3595
5264	3600
5274	3600
5275	3600
5276	3599
5277	3592
5278	3600
22945	3596
22946	3592
22947	3596
32613	3600
32615	3596
32616	3599
32621	3596
32627	3600
32630	3592
32636	3598
32637	3598
32640	3597
32656	3599
32658	3599
32660	3600
32662	3592
32665	3599
32671	3599
32673	3593
32678	3598
32688	3593
32695	3592
32696	3600
32697	3599
157313	3596
157320	3592
157323	3600
157327	3600
157329	3594
157332	3600
157333	3600
32699	4765
5281	11857
32722	11857
32736	11856
32737	11856
32771	11857
32789	3808
32801	11722
5285	7000
32828	7000
32844	7000
189	13799
3412	13799
3413	13799
32860	13800
32871	13799
32881	13801
32892	13801
32898	13799
32899	13799
32910	13799
32911	13799
32912	13799
32913	13799
32921	13799
32922	13799
32923	13799
32924	13799
32925	13799
32940	13799
32965	4319
32966	4327
194	9738
195	9738
196	9737
197	9737
199	9741
2533	9740
5308	9741
5309	9741
5310	9735
5312	9738
5313	9741
33071	9735
33073	9740
33087	9740
33091	9737
33098	9738
33103	9736
33107	9738
33117	9735
33123	9738
33136	9734
33144	9734
33152	9736
33160	9738
33165	9739
33170	9740
33171	9740
33190	9741
33193	9734
33196	9737
33197	9737
33198	9737
33201	9740
33202	9740
33209	9741
33210	9741
33229	9734
33235	9737
33253	9737
33257	9741
33259	9740
33275	9735
33276	9740
33287	9740
33299	9735
33311	9735
33327	9740
33340	9734
157364	9735
157376	9736
5329	11231
5331	11232
5336	11230
5337	11230
5344	11230
5353	11231
5375	11232
5378	11232
5396	11231
5438	11231
33422	11230
33460	11232
33493	11230
33584	3290
33594	3288
33604	3288
33609	3289
33671	8063
33672	8063
33673	8063
33678	8063
33680	8063
33685	8063
33686	8063
203	10322
33708	10321
157448	10322
33724	9335
33730	3360
33740	8357
33760	8357
33761	8357
33766	8357
33771	8360
33775	8360
33790	8360
33800	8357
33806	8359
5461	13178
5462	13178
33907	337
209	3368
3417	3368
33911	3372
33914	3364
33927	3363
33934	3365
33935	3365
33943	3369
33955	3362
33961	3365
33962	3366
214	11276
5471	11275
5474	11275
5477	11273
5479	11266
33995	11266
34009	11277
34017	11275
34018	11274
34019	11274
34027	11268
34031	11274
34038	11267
34042	11267
34043	11266
34044	11276
34050	11267
34061	11271
34074	11264
34090	11266
157471	11277
34096	5678
34098	5677
222	2598
34111	2598
34116	2598
34139	2598
34140	2598
34171	2598
34195	2596
34234	2597
34235	2598
34254	2596
34257	2598
34258	2598
34273	2596
34278	2598
34328	2596
34350	2598
34351	2598
34352	2598
34432	2597
34452	2598
34464	2598
157489	2598
34485	1652
34487	1648
34492	1647
34505	2843
34509	2844
34510	2844
34521	2839
34528	2841
34529	2840
34543	2845
34547	9498
34550	9497
34551	9498
34552	9497
34553	9498
34557	9497
34559	9497
34561	9498
34564	9498
34565	9498
34566	9498
34570	9497
34573	9498
34588	3262
34603	3262
34604	3262
34629	7455
34631	8593
34640	8585
34643	2090
34644	2095
3419	3864
34659	3864
34667	3864
34679	3862
34695	3862
34731	6192
5518	3990
5527	3990
34738	4001
34740	4003
34745	4007
34746	4007
34769	3988
34770	3988
34774	3989
34776	3990
34777	3990
34780	3992
34782	3994
34783	3994
34786	3996
34787	3997
34788	3998
34791	4001
34792	4002
34794	4003
34811	4005
34813	4008
34823	4013
34824	4013
34825	4013
34826	4013
34828	4008
34829	3992
34833	4013
34847	3996
34848	4001
34849	4002
34855	4004
34856	4004
34876	4003
34879	3983
34883	3988
34885	3996
34891	4008
34894	3987
34901	3997
34902	4001
34911	3984
34913	3985
34917	4001
34929	3989
34931	3993
34934	4002
34940	3987
34943	3992
34949	4000
34950	4002
34957	3982
34964	3983
34977	3989
34981	3992
34983	3994
34985	3997
34987	4002
35003	4009
35004	4010
35018	3984
35023	4000
35027	3996
35032	4011
35034	4003
35039	4000
35046	4005
35048	4001
35051	4002
35071	3983
35072	3984
35086	3993
35087	3995
35088	3995
35091	3996
35092	3996
35097	4001
35099	4002
35101	4003
35111	4005
35114	4010
35115	4010
35117	4011
35122	4013
157511	4010
157515	3999
157519	3988
157524	4001
157526	4013
157528	4013
157529	4001
157530	3992
157534	3996
157536	4001
35140	14512
35149	14527
35161	14530
35164	14524
35171	14521
35172	14534
35192	14523
35200	14520
35207	14530
233	10327
234	10326
3424	10325
3425	10325
5548	10327
5556	10326
5558	10327
5569	10329
5572	10326
35231	10327
35236	10325
35245	10325
35246	10327
35248	10328
35255	10327
35256	10327
35258	10326
35261	10326
35264	10327
35265	10327
35268	10325
35271	10326
35277	10327
35278	10328
35284	10324
35288	10327
35299	10327
35300	10329
35313	10329
35314	10326
35320	10327
35322	10327
35324	10328
35326	10327
35330	10326
35336	10326
35338	10326
35341	10326
35345	10326
35347	10327
35349	10329
35353	10327
35354	10326
35358	10327
35362	10327
35372	10328
35373	10329
35377	10326
35384	10325
35392	10327
35393	10327
35397	10329
35403	10325
35404	10326
35405	10326
35414	10327
35415	10327
35416	10327
35417	10327
35418	10327
35427	10327
35428	10329
35435	10327
35437	10329
35440	10325
35445	10325
35448	10327
35449	10327
35451	10328
157546	10325
157549	10327
157556	10326
157559	10326
157564	10327
22956	12462
35527	1656
35528	1656
35571	1655
35572	1656
35601	9261
35609	5235
35611	5235
35613	5235
157580	5235
242	11701
243	11701
244	11699
247	11700
254	11699
257	11701
261	11699
2534	11700
2535	11700
2655	11701
3427	11699
3428	11699
5595	11700
5640	11699
5644	11699
5657	11699
5658	11700
5659	11700
5668	11699
5689	11699
5690	11699
5707	11700
5708	11700
5709	11699
5710	11699
5738	11700
5741	11699
5742	11699
5749	11701
5750	11701
5764	11700
22966	11699
23981	11700
35644	11700
35652	11699
35690	11699
35699	11699
35711	11699
35730	11699
35768	11701
35789	11699
35790	11699
35833	11699
35857	11699
35859	11701
35876	11699
35882	11701
35883	11701
35884	11701
35885	11701
35886	11701
35887	11701
35888	11701
35944	11700
35945	11700
35946	11700
35947	11700
35949	11699
35950	11699
35951	11699
35952	11699
35953	11699
35954	11699
35973	11699
35991	11701
36004	11699
36005	11700
36006	11699
36019	11701
36021	11701
36022	11699
36024	11699
36025	11699
36035	11700
36040	11701
36064	11699
36065	11701
36075	11701
36110	11701
36121	11700
36122	11699
36128	11701
36179	11700
36185	11700
36186	11700
36192	11699
36197	11699
36200	11699
36208	11699
36209	11699
36211	11701
36236	11700
36237	11699
36238	11699
36250	11700
36251	11701
36258	11700
36259	11699
36283	11701
36294	11701
36305	11699
36326	11700
36327	11700
36328	11699
36329	11699
36331	11701
36341	11699
36342	11699
36359	11699
36360	11699
36366	11701
36367	11701
36376	11699
36403	11700
36405	11699
36406	11699
36407	11699
36408	11699
36409	11699
36478	11700
36479	11700
36483	11699
36484	11699
36485	11699
36486	11699
36489	11699
36507	11701
36570	11700
36571	11700
36574	11699
36575	11699
36576	11699
36577	11699
36578	11699
36579	11699
36594	11701
36634	11700
36636	11699
36637	11699
36638	11699
36644	11701
36671	11700
36673	11699
36674	11699
36675	11699
36676	11699
36687	11701
36700	11699
36702	11701
36719	11699
36742	11699
36754	11699
157587	11699
157595	11699
157615	11700
157616	11700
157628	11699
157633	11699
157645	11701
157662	11699
5807	13421
5824	13420
37113	13422
37198	13420
157684	13419
37293	140
37307	143
37309	145
37320	140
37321	140
37322	140
37323	140
37324	140
37325	140
37342	143
37346	140
37354	12883
37389	12883
37391	12883
37400	12883
37418	12882
37431	12883
37464	12882
37465	12883
37479	12881
37486	12881
37487	12881
37488	12881
37489	12881
37490	12881
37530	12882
37531	12882
37532	12882
37533	12883
37543	12884
37544	12885
37545	12885
37546	12885
37547	12885
37568	12883
37571	12885
37574	12881
37575	12881
37576	12881
37597	12882
37598	12882
37599	12882
37602	12883
37613	12884
37618	12881
37667	12884
37668	12885
37691	12883
37749	9425
37754	9425
37845	12015
37861	12015
37866	13685
37868	2937
37872	2937
37873	2937
37874	2937
37876	2939
37877	2937
37878	2937
37881	5403
37883	5403
37887	5403
37888	5403
37889	5403
37890	5403
37891	5403
37898	5403
37903	5403
37913	5403
37914	5403
37917	5403
37922	5403
37927	5403
2698	5396
3439	5396
37939	5396
37940	5396
37941	5396
37943	5396
37944	5396
37945	5396
37949	5396
37951	5396
37966	5396
37967	5396
37968	5396
37993	5396
37994	5396
38001	5396
38023	12886
38028	12886
38035	12886
157723	12886
5859	13130
5860	13130
285	11991
287	11999
2480	12000
2481	11992
2536	12010
2537	12010
2538	12008
2539	11992
2540	12008
2699	12003
3440	12007
5861	12000
5862	12002
5863	12007
5864	12007
5865	12008
5866	11993
5868	12008
5869	12010
5871	12013
5873	12009
5874	12010
5876	12010
5881	12011
5882	12009
5885	12007
5886	12007
5887	12007
5888	12007
5889	12005
5890	12000
5891	11998
5892	11997
5893	11997
5894	11997
5895	11997
5897	11992
5898	11992
5901	11992
5902	12000
5903	12011
5904	12012
5905	12000
5907	11999
5909	11994
5910	11993
5911	11993
5914	12008
5915	12001
5916	11992
5919	12005
5920	11997
5921	12013
5922	12008
5923	12003
5924	11997
5925	11994
5926	12013
5928	11997
5930	12005
5932	12010
5933	12008
5934	11998
5936	12000
5938	12012
5939	11996
5940	12011
5943	12013
5944	11995
5945	12007
5946	11998
5947	12007
5948	11997
5949	11996
5950	11993
5952	12011
5953	12009
5954	12008
5955	11997
5956	12010
5960	11998
5961	12005
5962	12010
5963	11997
5965	12007
5968	12009
5969	12008
5970	12007
5972	12003
5974	11993
5975	11992
5976	11992
5977	12012
5979	11996
5980	12009
5982	11996
5983	12013
5984	12003
5986	11996
5987	11993
5988	11992
5989	12010
5990	12008
5991	11996
5995	12008
5996	12005
5997	12003
5998	11999
5999	11997
6000	11997
6002	11991
6003	12005
6004	12000
6005	11997
6006	12007
6008	12012
6009	12009
6011	12005
6013	12007
6014	12000
6016	12008
6017	12007
6018	12007
6020	11996
6022	12008
6023	11992
22980	12000
38056	11995
38057	11995
38058	11996
38059	12000
38060	12005
38062	12007
38063	12007
38064	12008
38065	12008
38066	12008
38067	12009
38070	12010
38071	12011
38072	12011
38073	12013
38074	12013
38076	12005
38077	11993
38078	11996
38079	12013
38080	12007
38081	12001
38083	12013
38084	12012
38085	11997
38086	11993
38087	12011
38090	12001
38093	12010
38094	12007
38096	11993
38099	11996
38101	11993
38102	11994
38103	11996
38104	11996
38105	11997
38106	11999
38108	12003
38114	12011
38115	12007
38116	11996
38118	12003
38119	12009
38121	12008
38122	11993
38125	12013
38126	12000
38127	12012
38128	12005
38129	12007
38133	11997
38134	12005
38136	12005
38138	11994
38139	12010
38141	12008
38142	12003
38145	12011
38146	12007
38147	12010
38148	12003
38149	11993
38150	12013
38151	12011
38153	12011
38156	11997
38157	11996
38159	11998
38160	11995
38162	12008
38163	12004
38164	12012
38165	12012
38166	12011
38168	12000
38175	12014
38176	12013
38177	12011
38178	12008
38179	12007
38180	12006
38181	12005
38182	12005
38183	11997
38184	11996
38185	11996
38186	11995
38187	11995
38188	11994
38189	11994
38190	11993
38191	11993
38193	12014
38195	12014
38196	12008
38198	12012
38199	11997
38203	12006
38204	11998
38205	11997
38207	12007
38208	11997
38209	11996
38210	11995
38214	12008
38216	12007
38217	12005
38218	11998
38219	11997
38220	11996
38221	11993
38225	12008
38226	12008
38227	11998
38229	11990
38232	12008
38233	12007
38234	11997
38235	12012
38237	11996
38238	11993
38240	12013
38241	12008
38243	11997
38244	11994
38245	11992
38248	12000
38251	12005
38252	11992
38254	11997
38255	11997
38258	12007
38261	12007
38263	11993
38266	12007
38267	12000
38268	11993
38269	12012
38270	12012
38271	12006
38272	12000
38273	11994
38274	12011
38278	12007
38279	11998
38280	11998
38281	11992
38282	12009
38284	12013
38285	12007
38286	11997
38287	11996
38288	11995
38289	11993
38290	12007
38294	11993
38296	12007
38297	12007
38298	11993
38299	11992
38303	12013
38304	12012
38305	12008
38306	12000
38308	12012
38309	12005
38310	11995
38313	12008
38315	12000
38316	12000
38317	11997
38318	11997
38319	11995
38321	11991
38322	11996
38323	11992
38330	12013
38331	12006
38332	12005
38333	12001
38334	11997
38335	11997
38336	11997
38337	11996
38338	11995
38340	11993
38341	11992
38346	12013
38347	11997
38348	12010
38349	12009
38350	12009
38351	12007
38352	11994
38353	11993
38354	12013
38355	12011
38356	12005
38357	11996
38359	11992
38361	12005
38362	11994
38363	12013
38365	12000
38366	12005
38367	12000
38368	11998
38369	12004
38374	12014
38375	12013
38376	12012
38377	12010
38378	12010
38379	12008
38380	12005
38381	12001
38382	12000
38384	11998
38385	11997
38386	11996
38387	11995
38388	11995
38389	11993
38392	12007
38393	11997
38394	11996
38395	11993
38396	12013
38397	11996
38401	12011
38402	12006
38403	11996
38404	12014
38405	12007
38411	12007
38412	12005
38413	12000
38414	11993
38415	11992
38416	11990
38417	11990
38420	11999
38421	11998
38422	11997
38426	12013
38427	12007
38430	12001
38431	11992
38434	12014
38436	12000
38438	11992
38439	12010
157727	12012
157728	12005
157729	12005
157733	11991
157734	11998
157735	11994
157739	12005
157743	11997
157745	11996
157746	11993
157748	11998
157752	12008
157753	11998
157754	11995
157759	11998
157760	11998
157761	11997
157763	12000
157767	11997
157769	12003
157771	11992
157773	12003
157776	11994
157779	11992
6031	1039
38561	1038
38564	1039
38567	1037
38568	1034
157782	1038
291	1758
293	1760
295	1754
296	1755
301	1757
302	1758
304	1761
305	1756
306	1755
309	1758
310	1758
2700	1757
2701	1757
2702	1757
3441	1757
3442	1761
6032	1759
6035	1755
6036	1758
6037	1759
6053	1759
6054	1757
6055	1760
6057	1759
6058	1755
6059	1756
6060	1757
6061	1757
6063	1759
6064	1759
6065	1757
6066	1759
6068	1761
6069	1758
6071	1753
6074	1764
6075	1760
6077	1759
6081	1758
6082	1759
6083	1761
6088	1757
6090	1760
6092	1763
6094	1759
6096	1754
38575	1757
38576	1757
38579	1756
38586	1759
38588	1764
38589	1756
38591	1757
38593	1756
38594	1756
38596	1756
38598	1763
38603	1761
38604	1758
38605	1760
38609	1760
38615	1762
38618	1753
38622	1764
38623	1764
38624	1764
38626	1755
38627	1755
38628	1755
38629	1756
38631	1757
38632	1757
38635	1758
38636	1758
38637	1758
38638	1758
38642	1759
38643	1759
38644	1759
38645	1759
38646	1759
38648	1760
38649	1760
38650	1760
38651	1753
38652	1760
38653	1760
38654	1760
38655	1753
38656	1760
38657	1760
38658	1760
38661	1761
38662	1761
38663	1761
38664	1761
38665	1753
38666	1761
38667	1761
38668	1753
38673	1762
38676	1753
38681	1753
38688	1753
38691	1753
38698	1753
38701	1753
38706	1753
38710	1753
38721	1764
38722	1764
38725	1764
38726	1764
38731	1755
38732	1755
38734	1755
38736	1756
38737	1756
38738	1756
38739	1756
38740	1756
38741	1757
38742	1757
38743	1757
38744	1757
38745	1757
38746	1757
38747	1757
38748	1757
38749	1757
38750	1757
38751	1757
38752	1757
38760	1758
38761	1758
38763	1758
38764	1758
38765	1758
38766	1758
38767	1758
38770	1759
38771	1759
38772	1759
38773	1759
38774	1759
38775	1759
38776	1759
38778	1759
38781	1753
38782	1764
38783	1764
38785	1760
38787	1764
38793	1758
38794	1762
38797	1754
38798	1755
38799	1757
38803	1759
38805	1758
38814	1755
38815	1755
38816	1755
38817	1756
38820	1758
38826	1764
38828	1759
38831	1755
38835	1759
38843	1760
38848	1753
38849	1753
38850	1754
38852	1756
38853	1756
38855	1757
38856	1757
38857	1757
38859	1759
38860	1759
38861	1760
38862	1760
38864	1761
38865	1761
38870	1764
38871	1764
38875	1761
38877	1760
38880	1753
38884	1759
38886	1755
38890	1759
38892	1753
38894	1763
38900	1764
38901	1755
38902	1755
38904	1755
38905	1759
38906	1753
38907	1757
38908	1755
38910	1753
38911	1755
38912	1756
38913	1753
