id_pfam	start	end	id_protein	length
PF05001	1904	1916	31	13
PF05001	1847	1860	31	14
PF05001	1840	1853	31	14
PF05001	1714	1727	31	14
PF05001	1791	1804	31	14
PF05001	1707	1720	31	14
PF05001	1693	1706	31	14
PF05001	1686	1699	31	14
PF05001	1679	1692	31	14
PF05001	1665	1678	31	14
PF05001	1728	1741	31	14
PF05001	1616	1629	31	14
PF05001	1721	1734	31	14
PF05001	1826	1839	31	14
PF05001	1948	1960	31	13
PLD105	1724	1783	31	60
PF00134	10	149	32	140
PF00069	159	479	33	321
PF00377	134	252	34	119
PF11587	1	28	34	28
PF00014	290	342	35	53
PF03494	675	713	35	39
PF10515	716	766	35	51
PF12924	132	188	35	57
PF12925	366	548	35	183
PF02177	31	131	35	101
PF17218	491	523	36	33
PF00385	12	61	36	50
PF04553	1	107	37	107
PF00642	153	178	37	26
PF00642	115	141	37	27
PF00320	317	351	38	35
PF00320	263	297	38	35
PF12743	552	595	39	44
PF00104	332	531	39	200
PF00105	183	252	39	70
PF02159	42	181	39	140
PF00069	209	522	40	314
PF02750	214	416	41	203
PF02078	109	212	41	104
PF10581	2	33	41	32
PF00643	124	166	42	43
PF12126	240	570	42	331
PF00018	434	490	43	57
PF00595	65	149	43	85
PF00595	160	244	43	85
PF00595	313	391	43	79
PF10600	245	312	43	68
PF10608	30	64	43	35
PF00625	533	711	43	179
PF02171	517	818	44	302
PF16486	36	166	44	131
PF16487	429	511	44	83
PF02170	231	365	44	135
PF16488	374	420	44	47
PF08699	176	226	44	51
PF00076	151	225	46	75
PF00076	399	460	46	62
PF00076	261	331	46	71
PF07496	409	452	47	44
PF13589	26	164	47	139
PF17942	249	382	47	134
PLD112	294	353	48	60
PF04146	410	545	48	136
PF04146	389	524	49	136
PLD107	299	358	49	60
PF04146	416	551	50	136
PF16367	440	529	51	90
PF16366	622	685	51	64
PF18428	1867	1970	52	104
PF09038	1483	1604	52	122
PLD108	400	459	53	60
PF02991	15	120	54	106
PF07557	474	495	55	22
PF07558	22	66	55	45
PF04935	139	341	56	203
PF00076	100	168	57	69
PF00076	9	78	57	70
PLD53	206	265	57	60
PLD40	243	302	58	60
PF11627	255	292	58	38
PF00076	107	178	58	72
PF00076	16	85	58	70
PF00076	108	176	59	69
PF00076	22	92	59	71
PF00076	246	316	59	71
PF10599	1385	1475	60	91
PF08604	113	621	60	509
PF00641	793	822	60	30
PF00641	657	687	60	31
PF00641	851	880	60	30
PF00641	722	751	60	30
PLD95	1375	1434	60	60
PF03810	21	101	61	81
PF00514	399	437	61	39
PF15019	61	324	62	264
PF00017	149	231	63	83
PF07714	271	520	63	250
PF00018	88	135	63	48
PF12414	253	342	64	90
PF00076	119	187	64	69
PF00076	8	78	65	71
PF00514	108	149	66	42
PF00514	409	449	66	41
PF00514	151	191	66	41
PF00514	241	280	66	40
PF00514	193	238	66	46
PF00514	324	364	66	41
PF01749	13	98	66	86
PF16186	458	509	66	52
PF00514	366	406	66	41
PF00514	282	322	66	41
PF02136	11	133	67	123
PF00076	342	406	67	65
PF08389	123	268	68	146
PF03810	46	112	68	67
PF18787	485	535	68	51
PF18784	405	472	68	68
PF18777	345	381	68	37
PF08767	709	1027	68	319
PF13893	309	433	69	125
PF00076	186	252	69	67
PF00076	456	521	69	66
PF13893	38	152	69	115
PF08153	43	174	70	132
PF01926	312	428	70	117
PF00104	224	401	71	178
PF00105	86	155	71	70
PF14327	112	191	72	80
PLD77	203	262	72	60
PF00076	18	88	72	71
PF14304	533	573	72	41
PF00076	8	78	73	71
PLD91	297	356	74	60
PF00076	207	271	74	65
PF00076	11	79	74	69
PF00076	99	169	74	71
PF00870	99	289	75	191
PF07710	319	358	75	40
PF08563	6	30	75	25
PF18521	35	59	75	25
PF14204	236	289	76	54
PF17144	14	176	76	163
PF00076	12	81	77	70
PF00076	115	184	77	70
PLD111	346	405	77	60
PF14327	112	191	78	80
PLD89	509	568	78	60
PF00076	18	88	78	71
PF14304	572	612	78	41
PF12763	216	312	79	97
PF07653	1078	1136	79	59
PF14604	747	802	79	56
PF16617	803	917	79	115
PF00621	1241	1421	79	181
PF00168	1596	1696	79	101
PF16652	1440	1593	79	154
PF00018	919	963	79	45
PF12763	16	108	79	93
PF07653	1007	1057	79	51
PF00018	1161	1206	79	46
PF00622	132	245	80	114
PF00271	488	610	80	123
PF00270	26	418	80	393
PF00568	1	110	81	110
PF16367	331	420	82	90
PF16366	513	576	82	64
PF15862	7	233	83	227
PF00168	262	365	84	104
PF00616	532	635	84	104
PF00616	464	541	84	78
PF12004	718	1319	84	602
PF00076	150	219	85	70
PLD16	341	400	85	60
PF00076	235	305	85	71
PLD62	388	447	86	60
PF08080	255	290	86	36
PF00076	13	84	86	72
PF00076	291	358	86	68
PF00076	113	182	86	70
PF00076	16	86	87	71
PF00076	291	358	88	68
PF00076	13	84	88	72
PF08080	255	290	88	36
PLD72	388	447	88	60
PF00076	113	182	88	70
PF07714	242	493	89	252
PF08919	1025	1130	89	106
PF00018	67	113	89	47
PF00017	127	202	89	76
PF11976	17	87	90	71
PF14324	145	297	91	153
PF02891	342	391	91	50
PF08833	465	498	92	34
PF16646	8	82	92	75
PF00615	88	210	92	123
PF00778	782	858	92	77
PF00274	15	364	93	350
PLD3	55	114	94	60
PF00352	252	335	94	84
PF00352	162	244	94	83
PF00400	263	304	95	42
PF00400	357	396	95	40
PF00389	9	327	96	319
PF02826	116	295	96	180
PF09405	139	249	97	111
PF00001	54	307	98	254
PLD21	744	803	99	60
PF07528	94	342	99	249
PF00035	402	465	99	64
PF00035	526	588	99	63
PF00069	167	245	100	79
PF00069	340	583	100	244
PF04934	13	140	101	128
PF00782	34	168	102	135
PF01249	1	80	103	80
PF00076	13	83	104	71
PF00658	549	614	104	66
PF00076	296	364	104	69
PF00076	101	168	104	68
PF00076	193	262	104	70
PF00400	119	157	105	39
PF00400	161	199	105	39
PF15512	381	549	105	169
PF00400	57	94	105	38
PF13481	374	564	106	191
PF07767	41	445	107	405
PF15712	758	1427	109	670
PF04729	1	154	110	154
PF00069	56	340	111	285
PF16661	22	199	112	178
PF13299	608	779	112	172
PF10996	243	368	112	126
PF07521	528	591	112	64
PF00806	840	872	113	33
PF00806	876	910	113	35
PF00806	730	764	113	35
PF00806	767	799	113	33
PF00806	948	982	113	35
PF00806	992	1025	113	34
PF00806	802	837	113	36
PF00806	912	946	113	35
PF10427	1063	1207	114	145
PLD4	65	124	114	60
PF16608	1504	1779	114	276
PF05486	4	73	115	70
PF01852	384	590	116	207
PF03061	62	135	116	74
PF03061	234	309	116	76
PF00001	46	383	117	338
PF15963	293	398	118	106
PF00069	44	298	119	255
PF00414	2048	2063	120	16
PF00414	2031	2047	120	17
PF00414	1929	1945	120	17
PF00414	1895	1911	120	17
PF00414	1963	1979	120	17
PF00414	1912	1928	120	17
PF00400	101	141	121	41
PF00400	399	441	121	43
PF00400	348	387	121	40
PF01873	6	128	122	123
PF02020	310	392	122	83
PF00240	3	72	123	70
PF01344	459	504	124	46
PF00651	67	179	124	113
PF01344	361	410	124	50
PF01344	553	598	124	46
PF01344	318	359	124	42
PF07707	184	286	124	103
PF01344	506	551	124	46
PF01344	412	457	124	46
PF12478	495	526	125	32
PF03024	30	205	126	176
PF06911	427	611	127	185
PF01423	8	76	128	69
PF00867	149	233	129	85
PF00752	1	107	129	107
PF13097	144	320	130	177
PF02002	16	123	131	108
PF08271	127	176	131	50
PF11521	354	439	131	86
PF14633	1300	1514	132	215
PLD115	1609	1668	132	60
PF17674	1051	1138	132	88
PF14641	305	433	132	129
PF14632	37	127	132	91
PF14639	775	931	132	157
PF14635	935	1038	132	104
PF00575	1224	1282	132	59
PF01423	5	71	133	67
PF02854	761	989	134	229
PF02847	1242	1354	134	113
PF02020	1520	1599	134	80
PF00443	176	517	135	342
PF02148	63	124	135	62
PF01759	187	285	136	99
PF01392	40	149	136	110
PF18048	157	183	137	27
PF13923	69	107	137	39
PF02176	204	261	137	58
PF02136	11	133	138	123
PF00076	333	398	138	66
PF00013	426	493	139	68
PF00013	235	301	139	67
PF09005	665	688	139	24
PF09005	609	635	139	27
PF00013	324	388	139	65
PF00013	146	210	139	65
PF14732	452	539	140	88
PF16195	549	636	140	88
PF00899	2	443	140	442
PF00012	30	636	141	607
PF00271	295	404	142	110
PF00270	86	253	142	168
PF07145	78	95	143	18
PF00443	415	792	143	378
PF00112	231	458	144	228
PF08773	25	141	144	117
PF00782	168	299	145	132
PF00581	9	137	145	129
PF00023	105	137	146	33
PF00023	198	230	146	33
PF15898	931	1030	146	100
PF00023	72	104	146	33
PF00023	231	263	146	33
PF13855	100	161	147	62
PF13855	126	185	147	60
PF13855	57	111	147	55
PF13855	76	137	147	62
PF00091	3	214	148	212
PF03953	263	393	148	131
PF00240	3	74	149	72
PF00104	204	379	150	176
PF00105	51	122	150	72
PF00252	12	166	151	155
PF09011	687	753	152	67
PF03172	49	147	152	99
PF01342	599	675	152	77
PF00505	769	837	152	69
PF00058	567	607	153	41
PF00058	524	564	153	41
PF07645	870	910	153	41
PF07645	912	948	153	37
PF00058	610	651	153	42
PF00008	976	1011	153	36
PF00058	654	694	153	41
PF07645	356	395	153	40
PF14670	745	780	153	36
PF06003	26	293	154	268
PF02148	29	107	155	79
PF00443	159	508	155	350
PF00009	17	360	156	344
PF03764	620	737	156	118
PF00679	739	828	156	90
PF03144	409	486	156	78
PF14492	501	568	156	68
PF00753	20	262	158	243
PF11718	479	682	158	204
PF10996	246	367	158	122
PF07521	381	448	158	68
PF00864	14	370	159	357
PF05010	639	832	160	194
PF00069	13	297	161	285
PLD81	537	596	162	60
PF12287	359	685	162	327
PF18293	132	247	162	116
PF05026	11	93	163	83
PF00293	95	221	163	127
PF00071	13	174	164	162
PF06058	8	124	165	117
PF16741	539	581	165	43
PF01509	110	226	166	117
PF16198	227	294	166	68
PF08068	49	106	166	58
PF01472	297	370	166	74
PF00035	127	192	167	66
PF16482	218	310	167	93
PF00035	35	99	167	65
PF15692	120	208	168	89
PF06047	306	407	168	102
PF01008	15	293	169	279
PF02985	906	936	170	31
PF18808	268	357	170	90
PF18816	1005	1061	170	57
PF18829	765	874	170	110
PF02985	400	430	170	31
PF17286	467	635	171	169
PF05185	295	464	171	170
PF17285	37	290	171	254
PF00714	15	153	172	139
PF00270	57	224	173	168
PF00271	259	368	173	110
PF09745	58	177	174	120
PLD128	783	842	175	60
PF06741	264	332	175	69
PF07145	654	669	175	16
PF14438	120	196	175	77
PF05182	154	196	176	43
PF00069	12	295	177	284
PF00035	101	165	178	65
PF00035	11	75	178	65
PF00069	267	537	178	271
PF00792	703	843	179	141
PF00787	1450	1534	179	85
PF00613	863	1046	179	184
PF00454	1132	1347	179	216
PF00168	1572	1680	179	109
PF00794	409	512	179	104
PF08357	410	552	180	143
PF05456	2	118	181	117
PF15557	1	226	182	226
PF15539	665	954	182	290
PF12253	558	632	182	75
PF11600	320	479	182	160
PF12872	5	72	183	68
PF00567	459	581	183	123
PF00567	908	1026	183	119
PF12872	233	277	183	45
PF00567	648	775	183	128
PF08662	507	702	184	196
PF00076	202	260	184	59
PF11935	122	349	185	228
PF12295	887	1068	185	182
PF00433	373	413	186	41
PF00069	91	352	186	262
PF00179	33	168	188	136
PF01391	59	112	189	54
PF00386	116	241	189	126
PF01652	38	197	190	160
PF13853	31	308	191	278
PF02170	388	524	192	137
PF08699	338	387	192	50
PF02171	668	959	192	292
PF00400	91	128	193	38
PF00400	255	293	193	39
PF00400	49	87	193	39
PF00400	134	170	193	37
PF00069	205	492	194	288
PF08515	176	203	194	28
PF01064	34	110	194	77
PF00183	191	712	195	522
PF02518	35	189	195	155
PF01403	53	493	196	441
PF01437	514	564	196	51
PF01437	808	862	196	55
PF01833	961	1044	196	84
PF01833	1048	1146	196	99
PF01833	864	958	196	95
PF01833	1150	1237	196	88
PF08337	1318	1866	196	549
PF18020	713	807	196	95
PF17960	569	659	196	91
PF00008	682	712	197	31
PF00008	645	673	197	29
PF07645	295	335	197	41
PF00008	833	865	197	33
PF00008	532	562	197	31
PF00008	494	524	197	31
PF00008	795	825	197	31
PF00008	106	137	197	32
PF00008	1187	1217	197	31
PF00008	1063	1093	197	31
PF00008	1149	1179	197	31
PF00008	1225	1263	197	39
PF00008	1025	1055	197	31
PF00008	1111	1141	197	31
PF00008	222	253	197	32
PF00008	456	486	197	31
PF00008	261	291	197	31
PF00008	720	749	197	30
PF00008	339	369	197	31
PF00008	144	174	197	31
PF07645	412	450	197	39
PF06816	1566	1621	197	56
PF00066	1446	1480	197	35
PF00066	1525	1562	197	38
PF00066	1487	1522	197	36
PF07645	178	219	197	42
PF00008	757	787	197	31
PF07645	869	906	197	38
PF12661	992	1013	197	22
PF07684	1671	1729	197	59
PF00008	63	97	197	35
PF00008	1311	1344	197	34
PF00008	911	941	197	31
PF00008	607	637	197	31
PF00008	570	599	197	30
PF13637	1928	1981	197	54
PF12796	1971	2058	197	88
PF12796	1999	2092	197	94
PF12661	1357	1375	197	19
PF00023	1880	1926	197	47
PF00318	111	184	198	74
PF00318	18	118	198	101
PF16122	202	295	198	94
PF12901	2	27	199	26
PF11095	54	129	199	76
PF02290	4	94	200	91
PF00167	39	150	201	112
PF00454	2181	2431	202	251
PF02259	1513	1908	202	396
PF02260	2518	2549	202	32
PF08771	2015	2113	202	99
PF11865	854	1024	202	171
PF07716	254	307	203	54
PF03719	186	259	204	74
PF00333	102	166	204	65
PF02985	283	313	206	31
PF02985	205	235	206	31
PF02985	166	196	206	31
PF10239	11	328	207	318
PLD61	390	449	207	60
PF10433	92	685	208	594
PF03178	1073	1409	208	337
PF01442	81	288	209	208
PF07565	137	388	210	252
PF00955	441	956	210	516
PF01399	290	395	211	106
PF09440	5	138	211	134
PF04729	1	154	212	154
PF15348	14	242	213	229
PF00271	320	429	214	110
PF00270	120	287	214	168
PF01399	712	846	215	135
PF05470	29	705	215	677
PF00313	186	248	217	63
PF00313	519	582	217	64
PF00313	674	738	217	65
PF00313	26	90	217	65
PF12901	756	788	217	33
PF00313	349	413	217	65
PF00167	78	202	218	125
PF03131	468	561	219	94
PF00071	5	165	220	161
PF11976	18	88	221	71
PF00515	259	292	222	34
PF13414	370	409	222	40
PF13181	160	190	222	31
PF13414	402	443	222	42
PF13424	292	359	222	68
PF13844	476	1016	222	541
PF00515	191	224	222	34
PF13414	96	137	222	42
PF13181	225	258	222	34
PF13414	436	474	222	39
PF00520	1610	1862	223	253
PF00520	80	406	223	327
PF00520	742	975	223	234
PF00520	1275	1548	223	274
PF01399	365	495	224	131
PF15663	33	122	225	90
PF00642	143	168	225	26
PF00098	243	260	225	18
PF02840	189	331	226	143
PF08799	84	112	226	29
PF00274	15	364	227	350
PF01020	78	127	228	50
PF00240	3	74	228	72
PF00001	48	454	229	407
PF08344	182	244	230	63
PF00520	372	670	230	299
PF00400	42	80	231	39
PF00400	275	312	231	38
PF00400	3	37	231	35
PLD57	447	506	232	60
PF05091	4	521	233	518
PF12125	139	177	234	39
PF12937	183	231	234	49
PF00400	333	369	234	37
PF00400	496	532	234	37
PF00400	416	452	234	37
PF00400	288	329	234	42
PF00400	546	581	234	36
PF00400	456	492	234	37
PF03810	41	109	235	69
PF13513	419	473	235	55
PF00850	654	972	236	319
PF12203	37	124	236	88
PF00341	47	124	237	78
PF01751	4	155	238	152
PF01131	169	583	238	415
PF07817	397	649	239	253
PF00617	863	1041	240	179
PF00027	300	382	240	83
PF00595	530	609	240	80
PF00788	749	835	240	87
PF00618	415	502	240	88
PF09465	1	55	241	55
PF01222	183	615	241	433
PF03853	301	467	242	167
PF16598	102	194	242	93
PF12701	4	67	242	64
PF09532	198	301	242	104
PF03166	329	493	243	165
PF03165	172	270	243	99
PF00069	16	268	244	253
PF16579	401	495	244	95
PF02373	174	288	245	115
PF05729	160	325	246	166
PF13516	805	828	246	24
PF00100	372	635	247	264
PF01392	39	145	248	107
PF01534	235	555	248	321
PF00630	573	660	249	88
PF00630	669	760	249	92
PF00630	1639	1737	249	99
PF00630	378	471	249	94
PF00630	2235	2322	249	88
PF00630	477	567	249	91
PF00630	869	962	249	94
PF00630	1157	1246	249	90
PF00630	278	371	249	94
PF00630	1252	1346	249	95
PF00630	766	863	249	98
PF00630	1542	1633	249	92
PF00630	2554	2643	249	90
PF00630	1352	1439	249	88
PF00630	1862	1949	249	88
PF00630	2044	2131	249	88
PF00630	2426	2513	249	88
PF00630	1445	1536	249	92
PF00307	166	270	249	105
PF00307	43	150	249	108
PF00630	968	1058	249	91
PF00630	2329	2417	249	89
PF00630	2143	2227	249	85
PF00630	1064	1151	249	88
PF00630	1773	1857	249	85
PF07686	21	130	250	110
PF12220	3	94	251	92
PF00076	105	175	251	71
PF01410	1227	1463	252	237
PF01391	1076	1138	252	63
PF01391	296	355	252	60
PF01391	356	415	252	60
PF01391	779	838	252	60
PF01391	835	898	252	64
PF00093	40	95	252	56
PF01391	407	476	252	70
PF01391	1013	1080	252	68
PF01391	107	163	252	57
PF01391	1133	1195	252	63
PF01391	236	295	252	60
PF01391	177	238	252	62
PF02198	114	198	253	85
PF00178	282	361	253	80
PF12701	6	80	254	75
PF09532	290	400	254	111
PF00076	323	383	255	61
PF01585	235	279	255	45
PF14631	1	1415	256	1415
PF07714	264	509	257	246
PF12796	27	119	257	93
PF02245	89	283	258	195
PF01423	19	84	259	66
PF00069	26	321	260	296
PF00096	322	345	261	24
PF00096	294	316	261	23
PF00096	437	460	261	24
PF00096	555	575	261	21
PF00096	379	401	261	23
PF00096	266	288	261	23
PF13909	351	375	261	25
PF10637	261	542	262	282
PF13661	141	238	262	98
PF00048	31	88	263	58
PF08526	1	111	264	111
PF03068	283	660	264	378
PF08527	113	273	264	161
PF08686	935	966	265	32
PF14843	694	812	265	119
PF16470	73	149	265	77
PF00082	196	479	265	284
PF01483	539	629	265	91
PF13289	157	301	267	145
PF00076	111	180	268	70
PF00076	22	91	268	70
PF08072	372	411	269	40
PF16124	995	1067	269	73
PF00270	669	841	269	173
PF00271	874	984	269	111
PF00570	1215	1282	269	68
PF16204	425	647	269	223
PF16202	1	368	269	368
PF09382	1071	1198	269	128
PF15904	4	94	270	91
PF00069	14	272	271	259
PF08332	426	553	271	128
PF15902	142	572	272	431
PF15901	574	740	272	167
PF00412	350	415	273	66
PF00412	225	281	273	57
PF00412	290	346	273	57
PF13649	92	189	274	98
PF04561	201	394	275	194
PF04560	1082	1174	275	93
PF04563	38	442	275	405
PF00562	707	1080	275	374
PF04565	468	532	275	65
PF04566	567	629	275	63
PF04567	653	700	275	48
PF09770	465	726	276	262
PF00163	9	107	277	99
PF01479	108	154	277	47
PF00225	17	355	278	339
PF02135	338	414	279	77
PF00569	1664	1705	279	42
PF02135	1735	1806	279	72
PF02172	566	646	279	81
PF06001	1156	1195	279	40
PF08214	1306	1612	279	307
PF09030	1992	2098	279	107
PLD14	2185	2244	279	60
PF00439	1058	1144	279	87
PF00001	50	326	280	277
PF00017	168	244	281	77
PF07714	371	626	281	256
PF00017	15	92	281	78
PF13920	399	447	282	49
PF00498	38	109	282	72
PF06325	101	202	283	102
PF00013	289	353	284	65
PF00013	99	163	284	65
PF00013	15	77	284	63
PF14680	555	786	285	232
PF14679	284	370	285	87
PF14678	1045	1296	285	252
PF14677	804	1032	285	229
PF14676	378	541	285	164
PF14675	62	280	285	219
PF14674	1	53	285	53
PF00021	216	294	286	79
PF00021	25	99	286	75
PF00004	241	371	287	131
PF17862	393	454	287	62
PF02933	125	191	287	67
PF17862	669	714	287	46
PF00004	514	647	287	134
PF09336	711	762	287	52
PF02359	25	108	287	84
PF05010	2742	2942	288	201
PF00664	862	1147	289	286
PF00664	81	350	289	270
PF14396	639	849	289	211
PF00005	1227	1374	289	148
PF00005	441	576	289	136
PF16529	114	441	290	328
PF01182	8	238	291	231
PF00575	14	88	292	75
PF07541	130	244	292	115
PF02841	284	580	293	297
PF02263	18	282	293	265
PF00001	61	313	294	253
PF03491	24	64	295	41
PF00209	79	600	295	522
PF00595	133	212	296	80
PF16589	17	100	297	84
PF11626	321	398	297	78
PF08914	132	196	297	65
PF02014	40	170	298	131
PF18720	3230	3259	298	30
PF00055	51	283	299	233
PF00053	341	401	299	61
PF01759	488	594	299	107
PF00053	404	451	299	48
PF00053	285	338	299	54
PF00071	125	289	300	165
PF00078	802	915	301	114
PF12009	460	592	301	133
PF04880	135	309	302	175
PF00071	16	178	303	163
PF02798	4	73	304	70
PF14497	93	194	304	102
PF01437	490	540	305	51
PF01403	35	469	305	435
PF01437	637	685	305	49
PF17960	545	636	305	92
PF01833	840	932	305	93
PF08337	1293	1841	305	549
PF01833	1126	1208	305	83
PF18020	690	784	305	95
PF01833	1023	1121	305	99
PF01833	935	1019	305	85
PF16770	1877	1970	306	94
PF00498	54	124	306	71
PF00059	830	939	307	110
PF00059	688	798	307	111
PF00059	547	645	307	99
PF00059	1269	1379	307	111
PF00059	249	356	307	108
PF00059	395	503	307	109
PF00040	178	219	307	42
PF00059	980	1098	307	119
PF00059	1131	1234	307	104
PF00076	241	308	308	68
PF12353	56	175	308	120
PF00564	4	85	309	82
PF16158	379	478	309	100
PF00569	212	253	309	42
PF05296	29	330	310	302
PF00012	7	615	311	609
PF00433	349	389	312	41
PF00069	67	328	312	262
PF02320	28	91	313	64
PF00076	174	243	314	70
PF00654	184	595	315	412
PF00571	627	690	315	64
PF00571	737	793	315	57
PF10613	401	539	316	139
PF10565	837	923	316	87
PF00060	552	826	316	275
PF01094	69	288	316	220
PF00096	345	368	317	24
PF00096	255	278	317	24
PF13894	229	252	317	24
PF00822	1	157	318	157
PF00027	647	735	319	89
PF00027	213	308	319	96
PF01734	981	1147	319	167
PF00027	530	619	319	90
PF16739	5	92	320	88
PF00704	23	365	321	343
PF01607	430	476	321	47
PF12894	524	589	322	66
PF12894	391	480	322	90
PF00400	185	255	322	71
PF00400	629	668	322	40
PF00400	54	95	322	42
PF12796	47	138	324	92
PF00520	386	684	324	299
PF08344	198	260	324	63
PF07717	831	917	325	87
PF04408	670	759	325	90
PF00270	210	376	325	167
PF00271	472	607	325	136
PF13639	125	169	326	45
PF13445	293	349	326	57
PF00612	187	207	326	21
PF00013	281	345	327	65
PF00013	99	164	327	66
PF00013	15	77	327	63
PF04629	261	447	328	187
PF04629	441	483	328	43
PF06456	22	249	328	228
PF00069	78	315	329	238
PF00400	236	274	330	39
PF00400	320	358	330	39
PF00400	403	440	330	38
PF00400	194	232	330	39
PF00400	278	316	330	39
PF01966	164	319	331	156
PF07647	42	108	331	67
PF07679	238	328	332	91
PF02158	430	831	332	402
PF18580	574	632	333	59
PF07738	675	810	333	136
PF09387	62	318	333	257
PF16772	318	358	334	41
PF08558	94	293	334	200
PF00249	489	537	334	49
PF00069	19	315	335	297
PF13246	418	528	336	111
PF00122	121	329	336	209
PF00689	784	987	336	204
PF00690	4	72	336	69
PF08282	683	747	336	65
PF02172	587	667	337	81
PF02135	354	430	337	77
PF00439	1094	1180	337	87
PF00569	1701	1742	337	42
PLD11	2199	2258	337	60
PF09030	2013	2114	337	102
PF08214	1342	1649	337	308
PF06001	1192	1231	337	40
PF02135	1772	1843	337	72
PF14699	31	116	338	86
PF14701	120	551	338	432
PF06202	1042	1527	338	486
PF14702	697	974	338	278
PF00160	11	176	339	166
PF00631	7	72	340	66
PF00023	123	155	342	33
PF00023	216	248	342	33
PF13637	59	100	342	42
PF15898	881	982	342	102
PF00782	37	176	343	140
PF14709	2370	2423	344	54
PF01585	2305	2349	344	45
PF17069	1907	2198	344	292
PF01428	10	48	345	39
PF01428	64	102	345	39
PF15717	1372	1998	346	627
PF02146	81	221	347	141
PF02146	52	87	347	36
PF00249	380	428	348	49
PF08558	74	270	348	197
PF00001	30	292	349	263
PF00069	37	324	350	288
PF07001	1	162	351	162
PF00235	2	140	352	139
PF09443	115	149	353	35
PF01391	25	81	354	57
PF01391	406	481	354	76
PF01391	114	171	354	58
PF01391	314	386	354	73
PF01391	550	611	354	62
PF01391	609	667	354	59
PF01391	60	116	354	57
PF01391	176	236	354	61
PF01391	460	524	354	65
PF13181	176	208	355	33
PF17004	30	157	355	128
PF08492	531	588	355	58
PF00011	93	180	356	88
PF00642	907	932	357	26
PF08711	93	144	357	52
PF02535	27	320	358	294
PF00001	76	324	359	249
PF00570	1153	1219	360	67
PF01612	57	230	360	174
PF09382	953	1066	360	114
