id_protein	id_pfam	start	end	length
64	PF01590	409	548	140
66	PF00940	831	1230	400
66	PF14700	410	704	295
69	PF01031	225	510	286
69	PF02212	639	730	92
69	PF00350	28	217	190
71	PF00794	409	512	104
71	PF00792	703	843	141
71	PF00454	1132	1347	216
71	PF00787	1450	1534	85
71	PF00168	1572	1680	109
71	PF00613	863	1046	184
72	PF18409	699	807	109
72	PF00069	12	265	254
72	PF18190	591	697	107
74	PF16454	428	596	169
74	PF00620	125	263	139
74	PF00017	622	696	75
74	PF00017	330	405	76
76	PF06522	11	78	68
78	PF03114	18	268	251
78	PF14604	527	590	64
81	PF01425	95	562	468
82	PF00373	517	640	124
82	PF16705	22	198	177
82	PF00023	320	352	33
83	PF13927	35	113	79
83	PF07679	423	511	89
83	PF00041	811	904	94
83	PF00041	613	698	86
83	PF00047	519	604	86
83	PF13927	330	405	76
83	PF00041	917	1005	89
83	PF13882	1104	1189	86
83	PF13927	234	314	81
83	PF00041	713	796	84
86	PF04006	25	594	570
87	PF01798	174	407	234
87	PF08156	5	70	66
88	PF00271	426	536	111
88	PF00270	204	392	189
89	PF00445	34	213	180
91	PF04757	26	267	242
92	PF00400	102	141	40
92	PF00400	145	184	40
92	PF00400	232	271	40
92	PF00400	58	96	39
94	PF00149	46	241	196
96	PF00168	1517	1626	110
96	PF00794	364	466	103
96	PF00613	809	991	183
96	PF00787	1392	1477	86
96	PF00792	648	788	141
96	PF00454	1077	1292	216
97	PF18913	203	333	131
97	PF00316	12	199	188
98	PF08543	71	284	214
103	PF07679	238	328	91
103	PF02158	430	831	402
104	PF00090	413	461	49
104	PF00002	944	1180	237
104	PF16489	661	859	199
104	PF02793	578	637	60
104	PF00090	358	406	49
104	PF00090	265	314	50
104	PF19188	41	220	180
104	PF00090	526	574	49
104	PF00090	471	519	49
104	PF01825	882	932	51
105	PF00102	912	1142	231
105	PF00629	32	190	159
105	PF00041	498	578	81
105	PF00041	290	374	85
105	PF00102	1202	1436	235
108	PF00400	476	518	43
108	PF11540	143	173	31
109	PF00780	1601	1861	261
109	PF00069	97	360	264
109	PF00169	1444	1563	120
110	PF00193	160	254	95
110	PF00084	1215	1271	57
110	PF07686	43	158	116
110	PF00059	1105	1210	106
110	PF00008	1012	1042	31
110	PF00193	261	356	96
112	PF06375	661	807	147
112	PF01602	32	583	552
114	PF00595	267	352	86
114	PF00610	436	505	70
114	PF00778	13	89	77
114	PF02377	105	263	159
114	PF12316	515	726	212
115	PF00385	273	355	83
115	PF00385	389	443	55
115	PF13907	1404	1499	96
115	PF00271	788	902	115
115	PF18375	1124	1210	87
115	PF00176	484	765	282
116	PF00145	4	391	388
120	PF00078	802	915	114
120	PF12009	460	592	133
121	PF00069	9	265	257
122	PF09286	33	176	144
122	PF00082	257	495	239
123	PF00400	320	353	34
123	PF00400	227	267	41
123	PF00400	357	394	38
123	PF00400	271	309	39
123	PF00400	95	133	39
124	PF01846	661	709	49
124	PF01846	727	776	50
124	PF01846	794	843	50
124	PF01846	956	1007	52
124	PF01846	898	949	52
124	PF01846	1014	1074	61
124	PF00397	432	460	29
124	PF00397	134	162	29
126	PF03810	31	99	69
127	PF05000	728	834	107
127	PF04997	12	356	345
127	PF04983	528	703	176
127	PF04998	841	1316	476
127	PF00623	358	525	168
128	PF00071	15	177	163
133	PF05721	61	277	217
134	PF10436	69	222	154
134	PF02518	265	403	139
136	PF00595	133	212	80
138	PF00069	15	297	283
138	PF18397	389	663	275
138	PF12179	706	742	37
140	PF00625	738	912	175
140	PF00069	12	276	265
140	PF00595	490	568	79
140	PF00018	618	674	57
140	PF02828	406	457	52
140	PF02828	347	400	54
142	PF00790	3	139	137
142	PF01363	158	221	64
142	PF12210	407	501	95
143	PF00069	133	383	251
144	PF00023	198	230	33
144	PF00023	231	263	33
144	PF00023	105	137	33
144	PF00023	72	104	33
144	PF15898	931	1030	100
145	PF00069	40	313	274
145	PF10409	570	709	140
147	PF00076	150	219	70
147	PF00076	235	305	71
148	PF03810	46	112	67
148	PF08389	123	268	146
148	PF08767	709	1027	319
148	PF18777	345	381	37
148	PF18784	405	472	68
148	PF18787	485	535	51
149	PF00689	784	987	204
149	PF13246	418	528	111
149	PF00122	121	329	209
149	PF00690	4	72	69
149	PF08282	683	747	65
150	PF02078	88	191	104
150	PF02750	193	395	203
150	PF10581	1	31	31
151	PF00621	425	606	182
151	PF19056	886	1368	483
151	PF19057	629	778	150
152	PF00435	1801	1905	105
152	PF00307	176	282	107
152	PF00307	57	162	106
152	PF00435	958	1063	106
152	PF15410	2220	2328	109
152	PF00435	2013	2097	85
152	PF00435	641	745	105
152	PF00435	425	528	104
152	PF00435	1383	1486	104
152	PF00435	531	639	109
152	PF00435	1694	1799	106
152	PF00435	1065	1170	106
152	PF00435	1908	2011	104
152	PF00435	747	850	104
152	PF00435	1278	1381	104
152	PF00435	1588	1692	105
152	PF00435	305	415	111
152	PF00435	852	956	105
152	PF00435	1488	1586	99
152	PF00435	1172	1276	105
153	PF01833	895	979	85
153	PF17960	525	613	89
153	PF08337	1271	1805	535
153	PF01833	803	892	90
153	PF01833	983	1091	109
153	PF01437	468	519	52
153	PF01403	36	447	412
156	PF11764	1425	1562	138
156	PF00856	1579	1685	107
156	PF00076	99	166	68
157	PF08447	344	432	89
157	PF12114	1046	1208	163
158	PF02383	61	342	282
158	PF03372	535	855	321
158	PF08952	863	1008	146
160	PF00225	15	340	326
161	PF02769	444	603	160
161	PF02769	848	991	144
161	PF13507	1062	1333	272
161	PF18076	39	160	122
161	PF18072	184	232	49
163	PF16574	1289	1416	128
166	PF16953	342	578	237
167	PF00069	15	298	284
167	PF12179	707	743	37
167	PF18397	386	659	274
170	PF00400	132	170	39
170	PF00400	42	80	39
173	PF01000	92	226	135
173	PF01193	62	333	272
174	PF16646	8	82	75
174	PF00615	88	210	123
174	PF00778	782	858	77
174	PF08833	465	498	34
175	PF00173	104	201	98
177	PF02209	821	856	36
177	PF00626	266	341	76
177	PF00626	624	699	76
177	PF00626	400	482	83
177	PF00626	519	588	70
177	PF00626	144	220	77
177	PF00626	21	106	86
182	PF01553	138	283	146
185	PF13410	74	218	145
185	PF13409	29	93	65
186	PF00069	25	308	284
187	PF09470	4	167	164
188	PF13424	292	359	68
188	PF13414	436	474	39
188	PF13414	370	409	40
188	PF13414	402	443	42
188	PF13181	160	190	31
188	PF00515	259	292	34
188	PF00515	191	224	34
188	PF13844	476	1016	541
188	PF13414	96	137	42
188	PF13181	225	258	34
189	PF00481	65	368	304
191	PF00505	93	161	69
191	PF09011	6	79	74
192	PF07647	485	549	65
192	PF07710	345	385	41
192	PF00870	117	309	193
194	PF03511	1254	1316	63
194	PF15865	170	524	355
200	PF03810	22	102	81
200	PF08506	174	449	276
201	PF01094	83	281	199
201	PF00060	582	856	275
201	PF10613	473	569	97
202	PF05739	201	253	53
202	PF14523	18	119	102
204	PF12440	5	95	91
204	PF01454	187	286	100
205	PF01067	359	488	130
205	PF00648	27	341	315
205	PF00168	518	613	96
206	PF00167	78	202	125
208	PF00017	79	154	76
209	PF00730	142	301	160
209	PF07934	25	141	117
212	PF00061	7	132	126
213	PF13432	269	318	50
213	PF13181	205	236	32
213	PF02373	1133	1241	109
213	PF13432	106	162	57
216	PF05148	237	456	220
217	PF00400	439	478	40
217	PF00400	313	351	39
217	PF00400	482	520	39
217	PF00400	397	435	39
217	PF00400	215	259	45
217	PF00400	263	309	47
217	PF08799	108	136	29
218	PF00389	9	317	309
218	PF02826	111	285	175
221	PF00076	123	191	69
221	PF12414	265	362	98
225	PF00611	31	115	85
225	PF00620	520	672	153
225	PF00018	750	795	46
227	PF16025	29	106	78
228	PF00211	370	554	185
228	PF06327	580	669	90
228	PF16214	11	368	358
228	PF00211	970	1164	195
233	PF00400	101	141	41
233	PF00400	399	441	43
233	PF00400	348	387	40
234	PF00076	167	235	69
234	PF00076	343	405	63
234	PF18360	37	106	70
234	PF00076	248	315	68
235	PF01480	9	78	70
235	PF06544	544	673	130
235	PF08572	308	521	214
238	PF08952	867	1009	143
238	PF03372	538	859	322
238	PF02383	60	340	281
239	PF02020	1506	1585	80
239	PF02847	1222	1334	113
239	PF02854	755	983	229
241	PF00856	255	366	112
241	PF05033	136	235	100
241	PF00385	43	92	50
242	PF00096	490	512	23
242	PF00096	430	454	25
242	PF00096	460	484	25
244	PF00248	41	348	308
245	PF08736	507	550	44
245	PF04382	630	676	47
245	PF05902	892	998	107
245	PF09380	413	503	91
245	PF00373	300	409	110
245	PF09379	222	285	64
246	PF00520	80	406	327
246	PF00520	1275	1548	274
246	PF00520	742	975	234
246	PF00520	1610	1862	253
248	PF16212	919	1173	255
248	PF13246	532	632	101
248	PF16209	66	145	80
248	PF00122	172	413	242
249	PF00520	91	324	234
249	PF11956	768	868	101
249	PF16642	665	756	92
249	PF03520	466	651	186
250	PF03166	329	493	165
250	PF03165	172	270	99
251	PF15234	1	258	258
252	PF02196	383	442	60
252	PF00615	67	183	117
252	PF02188	499	520	22
252	PF02196	303	370	68
255	PF03607	198	257	60
255	PF03607	71	133	63
256	PF04280	296	445	150
257	PF04051	19	166	148
258	PF00096	185	207	23
258	PF00096	159	181	23
258	PF00096	128	150	23
258	PF00096	241	262	22
258	PF00096	213	235	23
260	PF03999	16	477	462
262	PF05047	33	84	52
265	PF00435	528	639	112
265	PF00435	293	403	111
265	PF00435	649	752	104
265	PF00307	163	270	108
265	PF00435	413	518	106
265	PF00307	50	155	106
265	PF08726	841	907	67
267	PF08357	410	552	143
270	PF00651	190	297	108
270	PF00917	38	163	126
271	PF00612	705	725	21
271	PF06017	941	1135	195
271	PF00063	17	688	672
271	PF00612	751	771	21
274	PF05147	55	399	345
277	PF04988	415	546	132
278	PF00180	50	376	327
280	PF05351	9	149	141
281	PF09263	17	98	82
281	PF17862	1029	1077	49
281	PF00004	877	1007	131
281	PF09262	104	179	76
281	PF00004	595	733	139
282	PF04824	574	628	55
282	PF04825	1	107	107
284	PF02953	21	83	63
285	PF00041	2570	2654	85
285	PF00435	1130	1236	107
285	PF00169	1471	1580	110
285	PF00435	536	642	107
285	PF00435	890	1003	114
285	PF00621	1933	2102	170
285	PF00621	1285	1457	173
285	PF00069	2684	2938	255
285	PF13716	54	230	177
285	PF16609	1705	1911	207
285	PF07679	2471	2565	95
285	PF00435	310	416	107
289	PF17978	228	318	91
289	PF17976	145	217	73
289	PF00240	3	73	71
290	PF00176	183	463	281
290	PF00271	483	597	115
290	PF09110	743	841	99
290	PF09111	898	1012	115
293	PF00225	14	327	314
294	PF16201	1668	1857	190
294	PF11707	78	393	316
295	PF10650	1185	1205	21
298	PF00069	367	640	274
298	PF17820	982	1033	52
298	PF08926	58	331	274
300	PF00350	291	469	179
301	PF03399	640	929	290
301	PF16769	1262	1976	715
301	PF16766	1164	1234	71
301	PF16768	2	291	290
302	PF01504	160	442	283
303	PF00225	11	354	344
303	PF12473	1266	1413	148
303	PF12423	845	892	48
303	PF00498	556	627	72
303	PF00169	1702	1799	98
303	PF16183	358	555	198
304	PF01593	288	826	539
304	PF04433	177	264	88
305	PF00566	166	368	203
306	PF00046	130	186	57
306	PF12413	27	108	82
307	PF00501	103	578	476
309	PF00041	942	1025	84
309	PF08205	344	428	85
309	PF08205	242	328	87
309	PF08205	138	228	91
309	PF08205	548	634	87
309	PF08205	444	538	95
309	PF07679	33	124	92
309	PF13927	739	820	82
309	PF13927	838	924	87
310	PF14604	619	669	51
310	PF00018	460	507	48
310	PF02208	119	160	42
310	PF14604	388	435	48
311	PF00076	340	402	63
311	PF00076	245	312	68
311	PF18360	34	103	70
311	PF00076	164	232	69
315	PF07651	21	284	264
316	PF06046	177	733	557
320	PF00514	397	437	41
320	PF00514	440	481	42
320	PF00514	701	739	39
324	PF02798	4	73	70
324	PF14497	93	194	102
326	PF00076	18	81	64
329	PF05667	1	597	597
331	PF01509	110	226	117
331	PF16198	227	294	68
331	PF08068	49	106	58
331	PF01472	297	370	74
332	PF00009	629	844	216
332	PF03144	870	948	79
332	PF11987	956	1070	115
333	PF14604	9	58	50
333	PF00397	79	108	30
333	PF00611	219	291	73
333	PF16623	109	201	93
337	PF17105	1319	1362	44
337	PF17035	609	673	65
337	PF00439	357	445	89
337	PF00439	67	152	86
339	PF00075	138	282	145
339	PF01693	27	70	44
340	PF00498	24	100	77
340	PF16508	216	325	110
340	PF08599	683	746	64
341	PF00619	9	96	88
342	PF01437	803	856	54
342	PF01833	1041	1139	99
342	PF01437	510	560	51
342	PF01833	954	1037	84
342	PF17960	565	654	90
342	PF18020	708	802	95
342	PF01833	1143	1228	86
342	PF01833	858	951	94
342	PF08337	1311	1864	554
342	PF01403	52	489	438
343	PF00226	852	913	62
343	PF10409	226	365	140
344	PF08516	588	706	119
344	PF01562	110	249	140
344	PF01421	299	496	198
344	PF00200	511	583	73
345	PF00400	523	560	38
345	PF00400	223	262	40
345	PF00400	310	350	41
345	PF00400	179	217	39
346	PF00069	92	354	263
346	PF08912	978	1046	69
347	PF12348	88	305	218
348	PF01535	174	204	31
348	PF01535	248	278	31
350	PF16515	461	559	99
350	PF01608	862	1010	149
350	PF07651	30	299	270
352	PF02373	236	336	101
352	PF17811	340	443	104
352	PF00628	7	56	50
354	PF09457	716	756	41
355	PF08623	1045	1208	164
356	PF00226	1301	1360	60
356	PF14237	976	1026	51
357	PF04153	620	747	128
357	PF04065	3	232	230
358	PF05030	13	74	62
359	PF00013	1727	1791	65
359	PF12796	392	464	73
359	PF12796	1065	1146	82
359	PF12796	463	530	68
359	PF12796	1144	1213	70
359	PF12796	528	594	67
359	PF12796	1275	1350	76
359	PF12796	238	331	94
359	PF12796	1324	1413	90
359	PF12796	1222	1315	94
359	PF12796	568	660	93
359	PF12796	324	397	74
359	PF12796	658	725	68
360	PF00226	3	66	64
361	PF00370	125	287	163
361	PF02782	295	481	187
362	PF00346	193	463	271
365	PF15908	552	708	157
365	PF15905	15	338	324
366	PF00536	1018	1082	65
366	PF00536	896	961	66
366	PF07647	1105	1175	71
370	PF01150	93	483	391
371	PF01150	49	480	432
372	PF01150	41	427	387
374	PF03826	258	276	19
374	PF00046	63	119	57
375	PF02209	784	819	36
375	PF00626	523	592	70
375	PF00626	627	705	79
375	PF00626	263	340	78
375	PF00626	404	486	83
375	PF00626	143	217	75
375	PF00626	23	105	83
377	PF00630	2381	2468	88
377	PF00630	1514	1605	92
377	PF00630	449	540	92
377	PF00630	251	344	94
377	PF00630	546	633	88
377	PF00630	2286	2372	87
377	PF00630	2509	2598	90
377	PF00630	1999	2086	88
377	PF00630	642	733	92
377	PF00630	1130	1219	90
377	PF00630	941	1031	91
377	PF00630	842	935	94
377	PF00630	1735	1813	79
377	PF00630	739	836	98
377	PF00630	1418	1508	91
377	PF00630	1818	1905	88
377	PF00630	2190	2277	88
377	PF00307	139	243	105
377	PF00307	16	123	108
377	PF00630	351	443	93
377	PF00630	2098	2182	85
377	PF00630	1325	1412	88
377	PF00630	1225	1319	95
377	PF00630	1611	1701	91
377	PF00630	1037	1124	88
378	PF10276	82	119	38
380	PF00285	71	450	380
382	PF05010	598	798	201
383	PF02213	477	521	45
384	PF10568	41	162	122
384	PF17171	186	249	64
385	PF00675	68	215	148
385	PF05193	220	404	185
387	PF01145	26	216	191
388	PF00329	86	208	123
390	PF07412	1	184	184
391	PF00378	145	393	249
391	PF00887	40	115	76
394	PF00400	180	219	40
394	PF00400	225	264	40
395	PF02961	1	88	88
396	PF08920	329	452	124
397	PF00313	186	248	63
397	PF00313	349	413	65
397	PF00313	26	90	65
397	PF00313	674	738	65
397	PF12901	756	788	33
397	PF00313	519	582	64
400	PF00035	35	99	65
400	PF00035	127	192	66
400	PF16482	218	310	93
403	PF03256	3724	3892	169
403	PF08005	1235	1385	151
403	PF00415	958	1006	49
403	PF13639	4426	4479	54
403	PF08239	2477	2543	67
403	PF08005	1726	1883	158
403	PF13540	683	712	30
404	PF00250	32	117	86
405	PF00443	267	596	330
407	PF01926	115	237	123
408	PF00270	1329	1514	186
408	PF18149	254	363	110
408	PF02889	1812	2123	312
408	PF00271	703	860	158
408	PF02889	981	1285	305
408	PF00270	482	663	182
409	PF16045	74	101	28
411	PF07830	289	368	80
411	PF00481	22	288	267
412	PF07539	909	1534	626
413	PF03177	740	1200	461
413	PF08801	77	510	434
414	PF00153	422	513	92
414	PF00153	324	421	98
414	PF00153	514	609	96
415	PF00168	1341	1440	100
415	PF00794	274	371	98
415	PF00787	1225	1307	83
415	PF00454	915	1130	216
415	PF00613	647	828	182
417	PF03285	19	349	331
418	PF00018	4	48	45
418	PF00018	277	322	46
418	PF00017	58	132	75
421	PF00076	241	308	68
421	PF12353	56	175	120
423	PF00106	184	243	60
423	PF00106	6	152	147
425	PF02934	65	353	289
425	PF02637	406	555	150
426	PF02630	137	273	137
428	PF00550	325	391	67
428	PF00171	430	898	469
428	PF00551	1	180	180
428	PF02911	204	310	107
429	PF18455	779	817	39
429	PF01094	76	434	359
429	PF00003	475	743	269
431	PF00786	69	142	74
431	PF00069	283	534	252
432	PF02891	331	380	50
432	PF14324	135	286	152
433	PF02891	342	391	50
433	PF14324	145	297	153
434	PF05700	11	216	206
440	PF00226	4	65	62
440	PF01556	171	330	160
442	PF00435	907	1011	105
442	PF00018	1662	1713	52
442	PF00169	1480	1591	112
442	PF00435	1138	1244	107
442	PF00169	2159	2271	113
442	PF00435	340	446	107
442	PF00069	2796	3050	255
442	PF16609	1715	1972	258
442	PF07679	2685	2776	92
442	PF00621	1296	1468	173
442	PF00621	1973	2143	171
442	PF00435	566	672	107
442	PF00650	70	204	135
447	PF00069	13	297	285
448	PF00880	467	495	29
448	PF00880	504	532	29
448	PF00880	35	62	28
448	PF00880	320	347	28
448	PF00880	732	758	27
448	PF00880	356	384	29
448	PF00880	541	568	28
448	PF14604	961	1011	51
448	PF00880	766	793	28
448	PF00880	607	629	23
450	PF00650	81	243	163
453	PF00233	311	542	232
454	PF13181	176	208	33
454	PF17004	30	157	128
454	PF08492	531	588	58
455	PF05439	37	143	107
457	PF00270	31	203	173
457	PF00271	243	354	112
457	PF16124	365	435	71
457	PF06959	625	827	203
458	PF03360	96	312	217
461	PF00171	46	509	464
462	PF12474	587	725	139
462	PF00069	36	294	259
462	PF12474	755	895	141
463	PF00022	8	426	419
465	PF05517	52	207	156
468	PF13181	329	362	34
468	PF13181	547	578	32
468	PF13181	401	434	34
468	PF13181	476	509	34
468	PF00515	114	147	34
469	PF00063	11	682	672
469	PF00612	699	719	21
469	PF06017	803	1001	199
470	PF00041	933	1018	86
470	PF00041	629	714	86
470	PF00041	1118	1195	78
470	PF13882	1239	1323	85
470	PF00041	729	813	85
470	PF00047	146	222	77
470	PF13927	243	320	78
470	PF13927	40	122	83
470	PF13927	337	412	76
470	PF07679	522	609	88
470	PF07679	434	518	85
470	PF00041	827	920	94
471	PF09743	7	284	278
472	PF00018	869	914	46
472	PF00018	944	991	48
472	PF14604	1048	1098	51
472	PF02208	70	114	45
473	PF18580	574	632	59
473	PF09387	62	318	257
473	PF07738	675	810	136
474	PF01168	15	251	237
475	PF01145	24	215	192
476	PF13181	709	740	32
476	PF06424	13	169	157
477	PF00002	857	1093	237
477	PF01825	800	844	45
477	PF02140	48	128	81
477	PF02191	144	396	253
477	PF02354	1113	1474	362
477	PF02793	477	535	59
477	PF16489	549	774	226
478	PF14228	1724	1865	142
478	PF14228	1350	1443	94
478	PF14228	1589	1659	71
478	PF14228	1145	1329	185
478	PF14225	2001	2254	254
478	PF14222	117	649	533
479	PF16179	446	545	100
479	PF00554	282	439	158
481	PF17959	139	222	84
481	PF04960	244	530	287
481	PF12796	557	649	93
485	PF12931	573	772	200
487	PF01900	8	112	105
488	PF04824	492	546	55
488	PF04825	1	116	116
490	PF04799	594	754	161
490	PF00350	99	259	161
492	PF05821	15	186	172
494	PF02453	844	1008	165
495	PF07766	153	418	266
498	PF12335	543	765	223
498	PF03456	25	85	61
498	PF02893	879	1018	140
498	PF02141	129	311	183
498	PF00169	1763	1866	104
498	PF06602	1108	1533	426
500	PF00635	7	113	107
501	PF00779	680	709	30
501	PF00616	322	511	190
501	PF00169	566	672	107
501	PF00168	133	233	101
501	PF00168	5	107	103
502	PF01712	60	288	229
503	PF00076	425	495	71
503	PF00076	134	202	69
503	PF00076	42	113	72
505	PF14306	215	376	162
505	PF01747	384	607	224
505	PF01583	41	199	159
506	PF02463	721	1167	447
506	PF02463	2	682	681
506	PF06470	519	640	122
507	PF05010	2742	2942	201
509	PF19039	521	620	100
509	PF00069	649	906	258
509	PF13281	129	507	379
513	PF08327	216	332	117
513	PF09229	29	159	131
514	PF08675	437	515	79
514	PF04857	3	390	388
517	PF00501	113	587	475
518	PF04998	958	1670	713
518	PF04997	9	357	349
518	PF04983	617	802	186
518	PF00623	434	614	181
518	PF05000	837	951	115
519	PF10495	3138	3216	79
521	PF00053	341	401	61
521	PF00055	51	283	233
521	PF00053	285	338	54
521	PF01759	488	594	107
521	PF00053	404	451	48
524	PF09398	54	134	81
527	PF00415	3171	3220	50
527	PF00415	569	615	47
527	PF00415	4215	4264	50
527	PF00415	4109	4154	46
527	PF00415	4163	4212	50
527	PF00415	4267	4316	50
527	PF00415	3223	3272	50
527	PF00415	675	724	50
527	PF00173	1211	1283	73
527	PF00415	513	566	54
527	PF00415	4057	4106	50
527	PF00415	623	672	50
527	PF11515	2554	2631	78
527	PF00415	3117	3162	46
527	PF00415	3010	3062	53
527	PF00415	4003	4054	52
527	PF00569	2702	2746	45
527	PF00632	4487	4793	307
527	PF03256	2782	2923	142
527	PF06701	1870	1930	61
527	PF00415	3275	3324	50
527	PF00415	3065	3114	50
528	PF00168	22	129	108
528	PF00168	155	262	108
528	PF07002	325	542	218
534	PF16739	99	190	92
534	PF18119	457	602	146
534	PF11648	806	923	118
534	PF00270	244	420	177
534	PF00271	609	734	126
534	PF16739	1	93	93
536	PF00397	22	52	31
536	PF02179	425	497	73
537	PF00069	25	289	265
537	PF00780	935	1209	275
539	PF00069	705	1010	306
539	PF00627	101	138	38
540	PF00503	11	344	334
542	PF00096	180	202	23
542	PF13912	153	177	25
542	PF00096	208	230	23
544	PF03359	628	979	352
546	PF02971	181	324	144
546	PF04961	339	520	182
546	PF07837	4	179	176
548	PF03736	366	414	49
548	PF13855	69	127	59
548	PF03736	271	312	42
548	PF03736	464	505	42
548	PF13855	115	175	61
548	PF03736	510	551	42
548	PF03736	225	266	42
548	PF03736	419	461	43
548	PF03736	317	363	47
550	PF01751	4	155	152
550	PF01131	169	583	415
554	PF10249	36	162	127
555	PF05602	57	497	441
556	PF01459	79	355	277
557	PF05648	1	251	251
558	PF00069	321	572	252
558	PF00786	10	65	56
559	PF00069	220	486	267
559	PF00498	113	192	80
560	PF00022	8	429	422
562	PF02866	163	331	169
562	PF00056	21	160	140
563	PF00171	29	492	464
564	PF00175	177	285	109
564	PF00970	44	151	108
566	PF00080	15	150	136
567	PF07732	801	903	103
567	PF07732	74	204	131
567	PF07731	937	1060	124
567	PF00394	221	358	138
568	PF00754	2208	2342	135
568	PF00754	2055	2185	131
568	PF07732	88	202	115
568	PF07732	444	577	134
568	PF07731	1915	2039	125
568	PF00394	218	349	132
569	PF01048	26	280	255
570	PF00155	57	425	369
571	PF00017	127	202	76
571	PF08919	1025	1130	106
571	PF00018	67	113	47
571	PF07714	242	493	252
572	PF01030	57	168	112
572	PF00757	177	338	162
572	PF07714	712	968	257
572	PF14843	505	637	133
572	PF01030	361	481	121
573	PF00162	9	406	398
574	PF00406	13	169	157
575	PF00089	26	248	223
576	PF00051	70	151	82
576	PF00089	179	419	241
577	PF00194	12	261	250
578	PF00194	11	259	249
579	PF10421	163	348	186
579	PF01909	37	140	104
580	PF01835	128	221	94
580	PF07677	1374	1464	91
580	PF00207	738	828	91
580	PF07678	948	1264	317
580	PF07703	459	607	149
580	PF17791	223	313	91
580	PF17789	350	445	96
581	PF07677	1396	1494	99
581	PF00207	770	866	97
581	PF01759	1534	1644	111
581	PF07678	983	1282	300
581	PF01821	693	728	36
581	PF17790	23	124	102
581	PF17789	355	446	92
581	PF07703	456	605	150
581	PF01835	129	224	96
581	PF17791	226	308	83
583	PF00170	135	197	63
584	PF00010	355	407	53
584	PF01056	2	345	344
584	PF02344	408	438	31
585	PF00071	5	165	161
586	PF00071	5	165	161
587	PF14670	745	780	36
587	PF07645	356	395	40
587	PF07645	912	948	37
587	PF00008	976	1011	36
587	PF00058	524	564	41
587	PF00058	654	694	41
587	PF07645	870	910	41
587	PF00058	567	607	41
587	PF00058	610	651	42
588	PF00714	15	153	139
589	PF00758	31	191	161
592	PF01410	1227	1463	237
592	PF01391	356	415	60
592	PF01391	1013	1080	68
592	PF01391	177	238	62
592	PF01391	1133	1195	63
592	PF01391	779	838	60
592	PF01391	236	295	60
592	PF00093	40	95	56
592	PF01391	107	163	57
592	PF01391	835	898	64
592	PF01391	1076	1138	63
592	PF01391	407	476	70
592	PF01391	296	355	60
593	PF00525	1	54	54
593	PF00011	63	162	100
594	PF00011	67	162	96
594	PF00525	1	56	56
595	PF00038	162	475	314
595	PF16208	17	159	143
596	PF00038	30	386	357
596	PF00932	433	545	113
597	PF01442	69	260	192
598	PF01442	81	288	208
599	PF00147	237	487	251
599	PF08702	91	234	144
600	PF00147	175	415	241
600	PF08702	30	172	143
601	PF01669	149	304	156
602	PF00955	550	839	290
602	PF00955	377	565	189
602	PF07565	86	329	244
603	PF00386	116	241	126
603	PF01391	59	112	54
604	PF00386	121	242	122
604	PF01391	61	117	57
605	PF00273	30	202	173
605	PF00273	222	394	173
605	PF00273	414	592	179
606	PF00405	25	347	323
606	PF00405	361	683	323
607	PF00210	18	159	142
608	PF02159	42	181	140
608	PF12743	552	595	44
608	PF00104	332	531	200
