uniprot,tipo,start,end
P61163,Actin,7,376
Q562R1,Actin,3,376
P61160,Actin,3,390
P42025,Actin,7,376
P84077,Arf,3,177
Q96BM9,Arf,8,181
P36405,Arf,3,177
P61204,Arf,5,177
P84085,Arf,5,177
Q9Y6B6,Arf,12,197
Q9NVJ2,Arf,8,181
Q9NR31,Arf,12,197
P36404,Arf,3,176
P48145,7tm_1,54,307
A0A0B4J269,7tm_1,55,298
Q99527,7tm_1,76,324
P43119,7tm_1,30,292
P07550,7tm_1,50,326
Q9H228,7tm_1,53,306
P51679,7tm_1,56,304
P47804,7tm_1,33,215
Q9H244,7tm_1,42,298
P32745,7tm_1,61,313
P35462,7tm_1,46,383
Q96P66,7tm_1,48,454
Q9ULB1,EGF,680,711
P46531,EGF,532,562
P46531,EGF,494,524
P46531,EGF,795,825
P46531,EGF,106,137
P46531,EGF,1187,1217
P46531,EGF,1063,1093
P46531,EGF,1149,1179
P46531,EGF,1225,1263
P46531,EGF,1025,1055
P46531,EGF,1111,1141
P46531,EGF,682,712
P46531,EGF,222,253
P46531,EGF,456,486
P46531,EGF,261,291
P46531,EGF,720,749
P46531,EGF,339,369
P46531,EGF,144,174
P46531,EGF,757,787
P46531,EGF,607,637
P46531,EGF,911,941
P46531,EGF,1311,1344
P46531,EGF,63,97
P46531,EGF,833,865
P46531,EGF,645,673
P46531,EGF,570,599
O14594,EGF,1012,1042
Q02297,EGF,182,220
Q96GW7,EGF,650,680
P13611,EGF,3093,3123
P13611,EGF,3131,3161
Q99075,EGF,108,142
Q9Y4C0,EGF,647,678
P01133,EGF,976,1011
P06239,SH3_1,67,113
Q99961,SH3_1,312,357
Q14185,SH3_1,15,62
Q92796,SH3_1,507,563
P16333,SH3_1,196,244
P16333,SH3_1,8,53
Q8N157,SH3_1,1057,1103
O94875,SH3_1,869,914
O94875,SH3_1,944,991
Q00013,SH3_1,164,220
P78352,SH3_1,434,490
O43295,SH3_1,750,795
Q12959,SH3_1,587,643
O60504,SH3_1,460,507
P00519,SH3_1,67,113
P46109,SH3_1,129,175
P08631,SH3_1,84,130
Q5T2T1,SH3_1,234,290
Q9NZQ3,SH3_1,3,50
Q15642,SH3_1,546,593
Q9P0V3,SH3_1,61,106
P62993,SH3_1,4,50
P62993,SH3_1,162,207
P51451,SH3_1,64,110
Q08881,SH3_1,177,223
P56945,SH3_1,9,57
Q9BX66,SH3_1,873,920
Q15700,SH3_1,542,598
P42680,SH3_1,185,231
P42685,SH3_1,48,102
Q13813,SH3_1,973,1018
Q12965,SH3_1,1057,1102
P07947,SH3_1,97,144
Q5TCZ1,SH3_1,172,217
Q5TCZ1,SH3_1,273,317
Q5TCZ1,SH3_1,848,891
Q5TCZ1,SH3_1,455,499
Q99963,SH3_1,291,336
Q9UNF0,SH3_1,432,479
O75791,SH3_1,277,322
O75791,SH3_1,4,48
P06241,SH3_1,88,135
Q9H7D0,SH3_1,14,61
Q9NR80,SH3_1,200,245
O75962,SH3_1,1662,1713
Q9NZM3,SH3_1,987,1031
Q9NZM3,SH3_1,1059,1109
Q9Y5X1,SH3_1,6,54
P19174,SH3_1,797,843
Q15811,SH3_1,1161,1206
Q15811,SH3_1,919,963
Q8IZP0,SH3_1,452,497
P07948,SH3_1,69,115
O14936,SH3_1,618,674
Q13882,SH3_1,14,64
P42684,SH3_1,113,159
P12931,SH3_1,90,137
O00160,SH3_1,1047,1092
P13861,cNMP_binding,279,373
P13861,cNMP_binding,157,244
Q8TEU7,cNMP_binding,300,382
P31323,cNMP_binding,294,387
P31323,cNMP_binding,172,259
P10644,cNMP_binding,273,360
P10644,cNMP_binding,155,238
Q8IY17,cNMP_binding,530,619
Q8IY17,cNMP_binding,647,735
Q8IY17,cNMP_binding,213,308
Q8WZA2,cNMP_binding,375,459
Q8WZA2,cNMP_binding,61,150
Q9Y6N8,Cadherin,165,260
Q9Y6N8,Cadherin,274,376
Q9Y6N8,Cadherin,389,480
Q9Y6N8,Cadherin,493,587
Q9Y6N8,Cadherin,60,151
Q08554,Cadherin,247,345
Q08554,Cadherin,359,463
Q08554,Cadherin,476,568
Q08554,Cadherin,139,233
P19022,Cadherin,272,373
P19022,Cadherin,387,489
P19022,Cadherin,502,596
P19022,Cadherin,164,258
P19022,Cadherin,608,701
Q08174,Cadherin,511,603
Q08174,Cadherin,285,378
Q08174,Cadherin,617,706
Q08174,Cadherin,727,813
Q08174,Cadherin,173,271
Q08174,Cadherin,401,497
Q02413,Cadherin,162,260
Q02413,Cadherin,274,377
Q02413,Cadherin,54,148
P55290,Cadherin,250,354
P55290,Cadherin,368,469
P55290,Cadherin,483,576
P55290,Cadherin,143,236
P55290,Cadherin,588,680
P55283,Cadherin,282,383
P55283,Cadherin,512,606
P55283,Cadherin,397,499
P55283,Cadherin,174,268
P01037,Cystatin,32,127
P04080,Cystatin,4,92
P99999,Cytochrom_C,4,103
Q5JW30,dsrm,204,269
Q5JW30,dsrm,104,168
Q5JW30,dsrm,14,79
Q9NS39,dsrm,126,188
Q9NS39,dsrm,282,339
P19525,dsrm,11,75
P19525,dsrm,101,165
O95793,dsrm,287,352
O95793,dsrm,185,249
O95793,dsrm,95,160
P78563,dsrm,79,141
P78563,dsrm,239,296
O75569,dsrm,35,99
O75569,dsrm,127,192
Q8WYQ5,dsrm,512,576
Q8WYQ5,dsrm,620,684
Q12906,dsrm,526,588
Q12906,dsrm,402,465
Q15633,dsrm,160,225
Q15633,dsrm,31,95
Q9NUL3,dsrm,308,373
Q9NUL3,dsrm,208,272
Q9NUL3,dsrm,9,72
Q9NUL3,dsrm,127,179
E5RJN7,dsrm,136,201
E5RJN7,dsrm,36,100
Q9NRR4,dsrm,1261,1332
Q08211,dsrm,4,69
Q08211,dsrm,181,250
P55265,dsrm,504,569
P55265,dsrm,615,680
P55265,dsrm,727,792
Q96SI9,dsrm,512,574
Q96SI9,dsrm,389,451
P13796,EF-hand_1,13,41
P23297,EF-hand_1,54,82
P62760,EF-hand_1,64,92
P31949,EF-hand_1,59,87
O14829,EF-hand_1,570,598
Q99653,EF-hand_1,114,142
O14830,EF-hand_1,656,684
P05787,Filament,90,401
P20700,Filament,31,387
P07197,Filament,100,411
P08670,Filament,102,410
P08729,Filament,90,402
P17661,Filament,107,415
P05783,Filament,79,391
P12036,Filament,96,412
P41219,Filament,96,406
P02538,Filament,162,475
P02545,Filament,30,386
P07196,Filament,89,399
Q5TF58,Filament,396,483
P12035,Filament,197,512
P13645,Filament,145,459
Q16352,Filament,93,406
P04264,Filament,179,492
P14136,Filament,68,376
Q03252,Filament,45,401
Q04695,Filament,83,394
Q13018,fn2,178,219
Q9UBG0,fn2,187,228
P28827,fn3,488,575
P28827,fn3,283,366
Q06418,fn3,226,310
Q06418,fn3,324,406
P13591,fn3,508,598
P13591,fn3,610,696
P29323,fn3,326,421
P29323,fn3,434,520
P10586,fn3,320,401
P10586,fn3,917,1000
P10586,fn3,608,696
P10586,fn3,513,594
P10586,fn3,710,809
P10586,fn3,415,500
P10586,fn3,823,903
P54764,fn3,330,424
P54764,fn3,442,525
Q8WZ42,fn3,18041,18128
Q8WZ42,fn3,21500,21585
Q8WZ42,fn3,26224,26307
Q8WZ42,fn3,27012,27096
Q8WZ42,fn3,19627,19711
Q8WZ42,fn3,30961,31046
Q8WZ42,fn3,28095,28181
Q8WZ42,fn3,27696,27782
Q8WZ42,fn3,14912,14996
Q8WZ42,fn3,16633,16720
Q8WZ42,fn3,20517,20603
Q8WZ42,fn3,20418,20501
Q8WZ42,fn3,18338,18421
Q8WZ42,fn3,19727,19812
Q8WZ42,fn3,29182,29266
Q8WZ42,fn3,17245,17334
Q8WZ42,fn3,14516,14600
Q8WZ42,fn3,22977,23060
Q8WZ42,fn3,31257,31343
Q8WZ42,fn3,25141,25224
Q8WZ42,fn3,17146,17229
Q8WZ42,fn3,21893,21976
Q8WZ42,fn3,16223,16308
Q8WZ42,fn3,14119,14204
Q8WZ42,fn3,24059,24143
Q8WZ42,fn3,17645,17730
Q8WZ42,fn3,20715,20799
Q8WZ42,fn3,31359,31444
Q8WZ42,fn3,30270,30356
Q8WZ42,fn3,15930,16015
Q8WZ42,fn3,14220,14305
Q8WZ42,fn3,29080,29166
Q8WZ42,fn3,17349,17434
Q8WZ42,fn3,16426,16511
Q8WZ42,fn3,15508,15593
Q8WZ42,fn3,16940,17030
Q8WZ42,fn3,14416,14500
Q8WZ42,fn3,25931,26017
Q8WZ42,fn3,26911,26996
Q8WZ42,fn3,19324,19409
Q8WZ42,fn3,27303,27386
Q8WZ42,fn3,25830,25915
Q8WZ42,fn3,26127,26211
Q8WZ42,fn3,28783,28868
Q8WZ42,fn3,21601,21687
Q8WZ42,fn3,22583,22668
Q8WZ42,fn3,22684,22770
Q8WZ42,fn3,22880,22964
Q8WZ42,fn3,24251,24335
Q8WZ42,fn3,15012,15096
Q8WZ42,fn3,24747,24832
Q8WZ42,fn3,18632,18716
Q8WZ42,fn3,21104,21189
Q8WZ42,fn3,17841,17924
Q8WZ42,fn3,25334,25417
Q8WZ42,fn3,30860,30945
Q8WZ42,fn3,25531,25617
Q8WZ42,fn3,27206,27290
Q8WZ42,fn3,23962,24046
Q8WZ42,fn3,17940,18025
Q8WZ42,fn3,30760,30844
Q8WZ42,fn3,22087,22171
Q8WZ42,fn3,29474,29557
Q8WZ42,fn3,18532,18616
Q8WZ42,fn3,24848,24934
Q8WZ42,fn3,22187,22272
Q8WZ42,fn3,32050,32133
Q8WZ42,fn3,21202,21288
Q8WZ42,fn3,16840,16924
Q8WZ42,fn3,26613,26699
Q8WZ42,fn3,30563,30648
Q8WZ42,fn3,14712,14795
Q8WZ42,fn3,23367,23453
Q8WZ42,fn3,20317,20400
Q8WZ42,fn3,21006,21089
Q8WZ42,fn3,29377,29461
Q8WZ42,fn3,24647,24732
Q8WZ42,fn3,25730,25815
Q8WZ42,fn3,31753,31838
Q8WZ42,fn3,15407,15491
Q8WZ42,fn3,26416,26500
Q8WZ42,fn3,28685,28770
Q8WZ42,fn3,15730,15815
Q8WZ42,fn3,19425,19516
Q8WZ42,fn3,15831,15915
Q8WZ42,fn3,27498,27582
Q8WZ42,fn3,27994,28079
Q8WZ42,fn3,28585,28669
Q8WZ42,fn3,20812,20894
Q8WZ42,fn3,20020,20105
Q8WZ42,fn3,14811,14896
Q8WZ42,fn3,21401,21485
Q8WZ42,fn3,18238,18321
Q8WZ42,fn3,21796,21880
Q8WZ42,fn3,23565,23650
Q8WZ42,fn3,18732,18818
Q8WZ42,fn3,30168,30254
Q8WZ42,fn3,23665,23750
Q8WZ42,fn3,18929,19013
Q8WZ42,fn3,19225,19309
Q8WZ42,fn3,24351,24436
Q8WZ42,fn3,16527,16617
Q8WZ42,fn3,24449,24535
Q8WZ42,fn3,15213,15299
Q8WZ42,fn3,29867,29956
Q8WZ42,fn3,23169,23253
Q8WZ42,fn3,23766,23852
Q8WZ42,fn3,22483,22568
Q8WZ42,fn3,19920,20004
Q8WZ42,fn3,28390,28473
Q8WZ42,fn3,23269,23354
Q8WZ42,fn3,29769,29854
Q8WZ42,fn3,25044,25127
Q8WZ42,fn3,22285,22371
Q8WZ42,fn3,20118,20205
Q8WZ42,fn3,25433,25518
Q8WZ42,fn3,31651,31736
Q8WZ42,fn3,30068,30152
Q8WZ42,fn3,27598,27683
Q8WZ42,fn3,29670,29753
Q8WZ42,fn3,31157,31240
Q8WZ42,fn3,14018,14103
Q8WZ42,fn3,28294,28377
Q8WZ42,fn3,26515,26600
Q8WZ42,fn3,27894,27979
Q8WZ42,fn3,30466,30549
Q8WZ42,fn3,17545,17628
Q8WZ42,fn3,19029,19113
Q8WZ42,fn3,15112,15197
Q8WZ42,fn3,26811,26896
Q8WZ42,fn3,16125,16208
Q8WZ42,fn3,28981,29064
Q02246,fn3,814,900
Q02246,fn3,609,697
Q02246,fn3,712,800
P54753,fn3,341,437
P54753,fn3,454,535
O60229,fn3,2570,2654
Q15375,fn3,444,527
Q15375,fn3,333,427
Q92752,fn3,865,944
Q92752,fn3,687,766
Q92752,fn3,416,496
Q92752,fn3,1042,1121
Q92752,fn3,595,677
Q92752,fn3,775,855
Q92752,fn3,327,404
Q92752,fn3,505,585
Q92752,fn3,954,1033
P30530,fn3,335,418
P30530,fn3,226,321
P32004,fn3,813,907
P32004,fn3,919,1004
P32004,fn3,613,701
P32004,fn3,716,800
Q02763,fn3,640,724
Q02763,fn3,544,626
Q02763,fn3,445,530
Q12860,fn3,810,893
Q12860,fn3,605,693
Q12860,fn3,708,796
Q13332,fn3,526,606
Q13332,fn3,620,708
Q13332,fn3,333,414
Q13332,fn3,722,821
Q13332,fn3,428,513
Q13332,fn3,930,1022
Q13332,fn3,835,917
P22105,fn3,3757,3836
P22105,fn3,2304,2384
P22105,fn3,1988,2068
P22105,fn3,2629,2709
P22105,fn3,2845,2925
P22105,fn3,1262,1342
P22105,fn3,3061,3141
P22105,fn3,3167,3247
P22105,fn3,2196,2275
P22105,fn3,3355,3436
P22105,fn3,2523,2603
P22105,fn3,2737,2817
P22105,fn3,1475,1555
P22105,fn3,1062,1141
P22105,fn3,2096,2176
P22105,fn3,2412,2492
P22105,fn3,3449,3530
P22105,fn3,1578,1656
P22105,fn3,750,832
P22105,fn3,2953,3033
P22105,fn3,841,919
P22105,fn3,3557,3637
P22105,fn3,1159,1240
P22105,fn3,1373,1453
P22105,fn3,1674,1753
P22105,fn3,3934,4012
P22105,fn3,1777,1857
P22105,fn3,3263,3341
P22105,fn3,3656,3741
P22105,fn3,1881,1960
P22105,fn3,3846,3926
Q53EP0,fn3,573,659
Q53EP0,fn3,381,463
Q53EP0,fn3,674,755
Q53EP0,fn3,476,560
Q53EP0,fn3,777,849
Q53EP0,fn3,881,947
Q53EP0,fn3,277,367
Q53EP0,fn3,1055,1135
Q53EP0,fn3,959,1042
O00533,fn3,613,698
O00533,fn3,917,1005
O00533,fn3,713,796
O00533,fn3,811,904
O94856,fn3,629,714
O94856,fn3,933,1018
O94856,fn3,1118,1195
O94856,fn3,827,920
O94856,fn3,729,813
P23471,fn3,313,401
Q9BTV5,fn3,167,258
P24821,fn3,1888,1964
P24821,fn3,713,794
P24821,fn3,894,977
P24821,fn3,986,1065
P24821,fn3,1257,1337
P24821,fn3,1711,1790
P24821,fn3,1074,1154
P24821,fn3,624,701
P24821,fn3,804,884
P24821,fn3,1166,1248
P24821,fn3,1348,1427
P24821,fn3,1800,1877
P24821,fn3,1621,1701
P24821,fn3,1530,1610
P24821,fn3,1439,1511
O15394,fn3,497,581
O15394,fn3,593,678
O14522,fn3,498,578
O14522,fn3,290,374
Q16827,fn3,434,521
Q16827,fn3,724,805
Q92823,fn3,648,733
Q92823,fn3,847,940
Q92823,fn3,953,1040
Q92823,fn3,748,833
Q92823,fn3,1068,1148
P08922,fn3,196,275
P08922,fn3,1659,1741
P08922,fn3,100,176
Q9HD43,fn3,566,656
Q9HD43,fn3,30,108
Q9HD43,fn3,209,287
Q9HD43,fn3,386,467
Q9HD43,fn3,297,377
Q9HD43,fn3,119,195
P29322,fn3,438,524
P29322,fn3,330,424
Q92729,fn3,490,579
Q92729,fn3,287,370
O60500,fn3,942,1025
P23468,fn3,920,1006
P23468,fn3,611,699
P23468,fn3,517,597
P23468,fn3,713,812
P23468,fn3,324,405
P23468,fn3,419,504
P23468,fn3,825,907
P08575,fn3,392,466
P08575,fn3,486,565
Q5JZY3,fn3,458,537
Q5JZY3,fn3,339,436
Q92859,fn3,540,621
Q92859,fn3,635,721
Q92859,fn3,956,1044
Q92859,fn3,440,525
Q92859,fn3,740,820
Q92859,fn3,855,942
P28161,GST_C,104,192
O43324,GST_C,44,153
P26641,GST_C,106,198
P26640,GST_C,95,198
P21266,GST_C,108,196
P07814,GST_C,96,157
P56192,GST_C,89,180
P09210,GST_C,99,192
P08263,GST_C,99,192
P04406,Gp_dh_N,4,105
P50281,Hemopexin,415,461
P50281,Hemopexin,323,366
P50281,Hemopexin,368,412
P50281,Hemopexin,465,510
Q15911,Homeodomain,2243,2299
Q15911,Homeodomain,2642,2698
Q15911,Homeodomain,2947,3003
Q15911,Homeodomain,2146,2202
P54821,Homeodomain,95,151
P50222,Homeodomain,188,244
Q01851,Homeodomain,356,412
Q6NT76,Homeodomain,268,339
Q9BPY8,Homeodomain,7,60
P14859,Homeodomain,380,436
Q99697,Homeodomain,86,142
Q9UKY1,Homeodomain,665,717
Q9UKY1,Homeodomain,467,521
Q9UKY1,Homeodomain,573,623
Q9UKY1,Homeodomain,297,339
Q01826,Homeodomain,645,702
O75364,Homeodomain,63,119
O60479,Homeodomain,130,186
Q12837,Homeodomain,346,402
P28827,ig,189,274
P36888,ig,255,345
P11362,ig,38,116
O94856,ig,146,222
Q16288,ig,214,299
P09619,ig,37,114
P10721,ig,216,305
P43628,ig,32,115
P43628,ig,132,213
Q8NHL6,ig,329,410
O00533,ig,519,604
P17948,ig,235,326
P07333,ig,207,293
Q92583,IL8,31,88
O00585,IL8,29,90
P58062,Kazal_1,32,85
Q01974,Kringle,316,394
P00749,Kringle,70,151
Q96CW9,Laminin_EGF,409,456
Q96CW9,Laminin_EGF,287,344
Q96CW9,Laminin_EGF,353,406
Q9Y2I2,Laminin_EGF,297,343
Q9Y2I2,Laminin_EGF,420,467
Q9Y2I2,Laminin_EGF,364,417
O95631,Laminin_EGF,404,451
O95631,Laminin_EGF,285,338
O95631,Laminin_EGF,341,401
O95631,Laminin_N,51,283
Q9Y2I2,Laminin_N,50,295
Q96CW9,Laminin_N,39,285
P40926,Ldh_1_N,25,168
P40925,Ldh_1_N,5,153
P07195,Ldh_1_N,22,161
P00338,Ldh_1_N,21,160
Q07954,Ldl_recept_a,3451,3489
Q07954,Ldl_recept_a,3573,3609
Q07954,Ldl_recept_a,1013,1051
Q07954,Ldl_recept_a,3611,3647
Q07954,Ldl_recept_a,852,890
Q07954,Ldl_recept_a,934,971
Q07954,Ldl_recept_a,3534,3570
Q07954,Ldl_recept_a,3492,3531
Q07954,Ldl_recept_a,25,64
Q07954,Ldl_recept_a,974,1011
Q07954,Ldl_recept_a,2732,2769
Q07954,Ldl_recept_a,2856,2897
Q07954,Ldl_recept_a,70,108
Q07954,Ldl_recept_a,1060,1097
Q07954,Ldl_recept_a,2694,2730
Q07954,Ldl_recept_a,2772,2812
Q07954,Ldl_recept_a,2816,2853
Q07954,Ldl_recept_a,893,931
Q07954,Ldl_recept_a,3372,3408
Q07954,Ldl_recept_a,1102,1140
Q07954,Ldl_recept_a,3652,3690
Q07954,Ldl_recept_a,2603,2639
Q07954,Ldl_recept_a,2902,2939
Q07954,Ldl_recept_a,3411,3448
Q07954,Ldl_recept_a,2522,2561
Q07954,Ldl_recept_a,3332,3369
Q07954,Ldl_recept_a,2564,2600
Q07954,Ldl_recept_a,3739,3776
Q07954,Ldl_recept_a,2657,2688
P01133,Ldl_recept_b,654,694
P01133,Ldl_recept_b,567,607
P01133,Ldl_recept_b,610,651
P01133,Ldl_recept_b,524,564
Q07954,Ldl_recept_b,4013,4054
Q07954,Ldl_recept_b,2344,2386
Q07954,Ldl_recept_b,1356,1396
Q07954,Ldl_recept_b,3970,4010
Q07954,Ldl_recept_b,1977,2017
Q07954,Ldl_recept_b,2020,2061
Q07954,Ldl_recept_b,1627,1667
Q07954,Ldl_recept_b,1399,1443
Q07954,Ldl_recept_b,2389,2428
Q07954,Ldl_recept_b,660,708
Q07954,Ldl_recept_b,614,657
Q07954,Ldl_recept_b,4057,4099
Q96GW7,Lectin_C,705,810
P13611,Lectin_C,3186,3291
P98161,Lectin_C,425,532
Q13018,Lectin_C,249,356
Q13018,Lectin_C,395,503
Q13018,Lectin_C,1131,1234
Q13018,Lectin_C,830,939
Q13018,Lectin_C,688,798
Q13018,Lectin_C,1269,1379
Q13018,Lectin_C,980,1098
Q13018,Lectin_C,547,645
Q9UBG0,Lectin_C,399,506
Q9UBG0,Lectin_C,255,361
Q9UBG0,Lectin_C,842,952
Q9UBG0,Lectin_C,993,1109
Q9UBG0,Lectin_C,538,646
Q9UBG0,Lectin_C,693,810
Q9UBG0,Lectin_C,1142,1245
Q9UBG0,Lectin_C,1285,1395
Q9UHP7,Lectin_C,92,186
O14594,Lectin_C,1105,1210
P42261,Lig_chan,536,817
P42263,Lig_chan,552,835
Q05586,Lig_chan,559,824
Q12879,Lig_chan,554,828
P48058,Lig_chan,544,825
P42262,Lig_chan,543,824
O15399,Lig_chan,582,856
Q14957,Lig_chan,552,826
P29762,Lipocalin,5,137
Q01469,Lipocalin,8,134
O15540,Lipocalin,7,132
P05413,Lipocalin,6,132
P05090,Lipocalin,43,184
P61626,Lys,19,146
Q12965,Myosin_head,21,679
O94832,Myosin_head,11,682
Q7Z406,Myosin_head,107,788
A7E2Y1,Myosin_head,128,815
Q9Y4I1,Myosin_head,71,751
P35749,Myosin_head,87,771
O00159,Myosin_head,48,718
Q92614,Myosin_head,407,1062
Q92614,Myosin_head,1081,1173
P35579,Myosin_head,83,764
Q9UM54,Myosin_head,59,759
P35580,Myosin_head,87,771
O43795,Myosin_head,17,688
P12882,Myosin_head,88,770
O00160,Myosin_head,19,677
P46531,Notch,1487,1522
P46531,Notch,1525,1562
P46531,Notch,1446,1480
Q16850,p450,61,496
Q6UW02,p450,42,457
P39877,Phospholip_A2_1,22,130
P51149,Ras,10,175
Q96HU8,Ras,9,171
P61020,Ras,22,183
P20340,Ras,15,175
Q8IXI1,Ras,6,168
P20336,Ras,24,185
Q14088,Ras,38,204
P59190,Ras,10,171
Q9NRW1,Ras,15,175
Q15286,Ras,10,170
P01111,Ras,5,165
P84095,Ras,5,178
P60953,Ras,5,178
P61019,Ras,8,169
Q96E17,Ras,32,193
Q9Y3L5,Ras,5,166
P61106,Ras,13,174
P01116,Ras,5,165
P11234,Ras,16,178
P61018,Ras,10,171
Q9UL25,Ras,21,182
Q92930,Ras,10,171
P62745,Ras,7,180
P20339,Ras,22,183
P62834,Ras,5,167
Q9UPQ3,Ras,73,231
P62826,Ras,12,170
Q8IXI2,Ras,6,168
Q15907,Ras,13,174
P11233,Ras,16,177
P62820,Ras,13,174
Q99490,Ras,408,568
