uniprot_acc,organism,mlo,rol,db,hgnc_id,gene_name,approved_name,gene_id
A6NE02,Homo sapiens,postsynaptic density,client,drllps,HGNC:33758,BTBD17,BTB domain containing 17,388419.0
A6NFN3,Homo sapiens,stress granule,client,drllps,HGNC:27097,RBFOX3,RNA binding fox-1 homolog 3,146713.0
A6NH52,Homo sapiens,postsynaptic density,client,drllps,HGNC:20398,TVP23A,trans-golgi network vesicle protein 23 homolog A,780776.0
A6NHR9,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:29090,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,23347.0
A6NIX2,Homo sapiens,p-body,regulator,drllps,HGNC:20964,WTIP,WT1 interacting protein,126374.0
A6NKD9,Homo sapiens,stress granule,client,drllps,HGNC:35459,CCDC85C,coiled-coil domain containing 85C,317762.0
A6NKF1,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:30179,SAC3D1,SAC3 domain containing 1,29901.0
A6NKT7,Homo sapiens,stress granule,client,drllps,HGNC:32416,RGPD3,RANBP2 like and GRIP domain containing 3,653489.0
A6NL88,Homo sapiens,postsynaptic density,client,drllps,HGNC:35409,SHISA7,shisa family member 7,729956.0
A7E2Y1,Homo sapiens,p-body,component,phasepdb_ht,HGNC:15906,MYH7B,myosin heavy chain 7B,57644.0
A8CG34,Homo sapiens,nuclear pore complex,component,phasepdb_uniprot,HGNC:34005,POM121C,POM121 transmembrane nucleoporin C,100101267.0
A8K8P3,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:29064,SFI1,SFI1 centrin binding protein,9814.0
A9QM74,Homo sapiens,stress granule,client,drllps,HGNC:21839,KPNA7,karyopherin subunit alpha 7,402569.0
B9A064,Homo sapiens,p-body,client,drllps,HGNC:38476,IGLL5,immunoglobulin lambda like polypeptide 5,100423062.0
C9JLW8,Homo sapiens," stress granule, p-body, stress granule","component, client","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:28007,MCRIP1,MAPK regulated corepressor interacting protein 1,348262.0
C9JRZ8,Homo sapiens,nucleolus,client,drllps,HGNC:37281,AKR1B15,aldo-keto reductase family 1 member B15,441282.0
F5H284,Homo sapiens,nucleolus,client,drllps,HGNC:33998,PPIAL4D,peptidylprolyl isomerase A like 4D,645142.0
G2XKQ0,Homo sapiens,pml body,component,phasepdb_ht,HGNC:33148,SUMO1P1,SUMO1 pseudogene 1,391257.0
I0J062,Homo sapiens,nucleolus,component,phasepdb_uniprot,HGNC:51237,PANO1,proapoptotic nucleolar protein 1,101927423.0
O00139,Homo sapiens," postsynaptic density, centrosome/spindle pole body",client,drllps,HGNC:6318,KIF2A,kinesin family member 2A,3796.0
O00142,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:11831,TK2,thymidine kinase 2,7084.0
O00148,Homo sapiens," stress granule, nucleolus","component, client","drllps, phasepdb_ht",HGNC:17821,DDX39A,DExD-box helicase 39A,10212.0
O00151,Homo sapiens,stress granule,client,drllps,HGNC:2067,PDLIM1,PDZ and LIM domain 1,9124.0
O00159,Homo sapiens," postsynaptic density, p-body","component, client","drllps, phasepdb_ht",HGNC:7597,MYO1C,myosin IC,4641.0
O00160,Homo sapiens,postsynaptic density,client,drllps,HGNC:7600,MYO1F,myosin IF,4542.0
O00165,Homo sapiens,p-body,"regulator, component","drllps, phasepdb_uniprot",HGNC:16915,HAX1,HCLS1 associated protein X-1,10456.0
O00170,Homo sapiens,postsynaptic density,client,drllps,HGNC:358,AIP,aryl hydrocarbon receptor interacting protein,9049.0
O00186,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:11446,STXBP3,syntaxin binding protein 3,6814.0
O00203,Homo sapiens,postsynaptic density,client,drllps,HGNC:566,AP3B1,adaptor related protein complex 3 subunit beta 1,8546.0
O00214,Homo sapiens,postsynaptic density,client,drllps,HGNC:6569,LGALS8,galectin 8,3964.0
O00217,Homo sapiens,nucleolus,client,drllps,HGNC:7715,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,4728.0
O00231,Homo sapiens,postsynaptic density,client,drllps,HGNC:9556,PSMD11,"proteasome 26S subunit, non-ATPase 11",5717.0
O00238,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:1077,BMPR1B,bone morphogenetic protein receptor type 1B,658.0
O00257,Homo sapiens,"nucleus speckles, pcg body","component, client","drllps, phasepdb_uniprot",HGNC:1554,CBX4,chromobox 4,8535.0
O00264,Homo sapiens,nucleolus,client,drllps,HGNC:16090,PGRMC1,progesterone receptor membrane component 1,10857.0
O00291,Homo sapiens,postsynaptic density,client,drllps,HGNC:4913,HIP1,huntingtin interacting protein 1,3092.0
O00299,Homo sapiens,nucleolus,client,drllps,HGNC:2062,CLIC1,chloride intracellular channel 1,1192.0
O00303,Homo sapiens,stress granule,client,drllps,HGNC:3275,EIF3F,eukaryotic translation initiation factor 3 subunit F,8665.0
O00305,Homo sapiens,postsynaptic density,client,drllps,HGNC:1404,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,785.0
O00311,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:1745,CDC7,cell division cycle 7,8317.0
O00330,Homo sapiens,postsynaptic density,client,drllps,HGNC:21350,PDHX,pyruvate dehydrogenase complex component X,8050.0
O00401,Homo sapiens," actin cortical patch,  arp2/3 protein complex,  postsynaptic density, droplet, membrane cluster, membrane clusters","driver, component","drllps, phasepdb_rev, phasepro",HGNC:12735,WASL,WASP like actin nucleation promoting factor,8976.0
O00408,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:8777,PDE2A,phosphodiesterase 2A,5138.0
O00410,Homo sapiens," nucleolus,  postsynaptic density, droplet",regulator,drllps,HGNC:6402,IPO5,importin 5,3843.0
O00411,Homo sapiens,"mitochondrial rna granule, p-body","component, client","drllps, phasepdb_ht",HGNC:9200,POLRMT,RNA polymerase mitochondrial,5442.0
O00422,Homo sapiens,"nucleolus, nucleus speckles","component, client","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:10530,SAP18,Sin3A associated protein 18,10284.0
O00425,Homo sapiens," stress granule, null_phasepdb_ht, p-body, stress granule","regulator, component, client","drllps, phasepdb_ht",HGNC:28868,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,10643.0
O00429,Homo sapiens,postsynaptic density,client,drllps,HGNC:2973,DNM1L,dynamin 1 like,10059.0
O00442,Homo sapiens,stress granule,client,drllps,HGNC:17981,RTCA,RNA 3'-terminal phosphate cyclase,8634.0
O00443,Homo sapiens,stress granule,regulator,drllps,HGNC:8971,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,5286.0
O00444,Homo sapiens,"nucleolus, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:11397,PLK4,polo like kinase 4,10733.0
O00445,Homo sapiens,postsynaptic density,client,drllps,HGNC:11513,SYT5,synaptotagmin 5,6861.0
O00459,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:8980,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,5296.0
O00471,Homo sapiens,postsynaptic density,client,drllps,HGNC:10696,EXOC5,exocyst complex component 5,10640.0
O00483,Homo sapiens,postsynaptic density,client,drllps,HGNC:7687,NDUFA4,NDUFA4 mitochondrial complex associated,4697.0
O00487,Homo sapiens,postsynaptic density,client,drllps,HGNC:16889,PSMD14,"proteasome 26S subunit, non-ATPase 14",10213.0
O00499,Homo sapiens,postsynaptic density,client,drllps,HGNC:1052,BIN1,bridging integrator 1,274.0
O00505,Homo sapiens," stress granule, nucleolus, stress granule","component, client","drllps, phasepdb_ht",HGNC:6396,KPNA3,karyopherin subunit alpha 3,3839.0
O00506,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:11404,STK25,serine/threonine kinase 25,10494.0
O00519,Homo sapiens,postsynaptic density,client,drllps,HGNC:3553,FAAH,fatty acid amide hydrolase,2166.0
O00522,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:1573,KRIT1,KRIT1 ankyrin repeat containing,889.0
O00533,Homo sapiens,postsynaptic density,client,drllps,HGNC:1939,CHL1,cell adhesion molecule L1 like,10752.0
O00541,Homo sapiens," p-body, nucleolus, p-body","component, client","drllps, phasepdb_ht",HGNC:8848,PES1,pescadillo ribosomal biogenesis factor 1,23481.0
O00560,Homo sapiens,postsynaptic density,client,drllps,HGNC:10662,SDCBP,syndecan binding protein,6386.0
O00566,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:7213,MPHOSPH10,M-phase phosphoprotein 10,10199.0
O00567,Homo sapiens," nucleolus,  p-body, cajal body, nucleolus, p-body","component, client","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:15911,NOP56,NOP56 ribonucleoprotein,10528.0
O00571,Homo sapiens," nucleolus,  p-body,  postsynaptic density,  stress granule, cytoplasmic stress granule, droplet, nucleolus, p granule, p-body, stress granule","driver, component","drllps, phasepdb_ht, phasepdb_rev, phasepro",HGNC:2745,DDX3X,DEAD-box helicase 3 X-linked,1654.0
O00584,Homo sapiens,p-body,client,drllps,HGNC:21686,RNASET2,ribonuclease T2,8635.0
O00585,Homo sapiens,stress granule,regulator,drllps,HGNC:10620,CCL21,C-C motif chemokine ligand 21,6366.0
O00623,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:8854,PEX12,peroxisomal biogenesis factor 12,5193.0
O00628,Homo sapiens,nucleolus,client,drllps,HGNC:8860,PEX7,peroxisomal biogenesis factor 7,5191.0
O00629,Homo sapiens," stress granule, nucleolus","component, client","drllps, phasepdb_ht",HGNC:6397,KPNA4,karyopherin subunit alpha 4,3840.0
O00743,Homo sapiens,"nucleolus, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:9323,PPP6C,protein phosphatase 6 catalytic subunit,5537.0
O00746,Homo sapiens," postsynaptic density, nucleolus, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:7852,NME4,NME/NM23 nucleoside diphosphate kinase 4,4833.0
O00750,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:8972,PIK3C2B,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta,5287.0
O00757,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:3607,FBP2,fructose-bisphosphatase 2,8789.0
O00764,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:8819,PDXK,pyridoxal kinase,8566.0
O00767,Homo sapiens,stress granule,regulator,drllps,HGNC:10571,SCD,stearoyl-CoA desaturase,6319.0
O14490,Homo sapiens,postsynaptic density,client,drllps,HGNC:2905,DLGAP1,DLG associated protein 1,9229.0
O14494,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9228,PLPP1,phospholipid phosphatase 1,8611.0
O14495,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:9229,PLPP3,phospholipid phosphatase 3,8613.0
O14511,Homo sapiens,stress granule,regulator,drllps,HGNC:7998,NRG2,neuregulin 2,9542.0
O14514,Homo sapiens,postsynaptic density,client,drllps,HGNC:943,ADGRB1,adhesion G protein-coupled receptor B1,575.0
O14522,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9682,PTPRT,protein tyrosine phosphatase receptor type T,11122.0
O14531,Homo sapiens,postsynaptic density,client,drllps,HGNC:3016,DPYSL4,dihydropyrimidinase like 4,10570.0
O14548,Homo sapiens,postsynaptic density,client,drllps,HGNC:2289,COX7A2L,cytochrome c oxidase subunit 7A2 like,9167.0
O14576,Homo sapiens," postsynaptic density, centrosome/spindle pole body",client,drllps,HGNC:2963,DYNC1I1,dynein cytoplasmic 1 intermediate chain 1,1780.0
O14578,Homo sapiens," postsynaptic density, stress granule",client,drllps,HGNC:1985,CIT,citron rho-interacting serine/threonine kinase,11113.0
O14594,Homo sapiens,postsynaptic density,client,drllps,HGNC:2465,NCAN,neurocan,1463.0
O14602,Homo sapiens,nucleolus,client,drllps,HGNC:3252,EIF1AY,eukaryotic translation initiation factor 1A Y-linked,9086.0
O14617,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:568,AP3D1,adaptor related protein complex 3 subunit delta 1,8943.0
O14639,Homo sapiens,postsynaptic density,client,drllps,HGNC:78,ABLIM1,actin binding LIM protein 1,3983.0
O14641,Homo sapiens,stress granule,component,phasepdb_rev,HGNC:3086,DVL2,dishevelled segment polarity protein 2,1856.0
O14646,Homo sapiens,stress granule,client,drllps,HGNC:1915,CHD1,chromodomain helicase DNA binding protein 1,1105.0
O14717,Homo sapiens," stress granule, p-body",client,drllps,HGNC:2977,TRDMT1,tRNA aspartic acid methyltransferase 1,1787.0
O14730,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:11451,RIOK3,RIO kinase 3,8780.0
O14734,Homo sapiens,postsynaptic density,client,drllps,HGNC:15919,ACOT8,acyl-CoA thioesterase 8,10005.0
O14744,Homo sapiens," postsynaptic density,  stress granule, p-body","regulator, component","drllps, phasepdb_ht",HGNC:10894,PRMT5,protein arginine methyltransferase 5,10419.0
O14746,Homo sapiens," others,  stress granule, cajal body, nucleolus, null_phasepdb_ht","regulator, component","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:11730,TERT,telomerase reverse transcriptase,7015.0
O14757,Homo sapiens,"centrosome/spindle pole body, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:1925,CHEK1,checkpoint kinase 1,1111.0
O14773,Homo sapiens,postsynaptic density,client,drllps,HGNC:2073,TPP1,tripeptidyl peptidase 1,1200.0
O14775,Homo sapiens,postsynaptic density,client,drllps,HGNC:4401,GNB5,G protein subunit beta 5,10681.0
O14776,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:15630,TCERG1,transcription elongation regulator 1,10915.0
O14777,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:16909,NDC80,NDC80 kinetochore complex component,10403.0
O14787,Homo sapiens," stress granule, p-body, stress granule","component, client","drllps, phasepdb_ht",HGNC:19998,TNPO2,transportin 2,30000.0
O14802,Homo sapiens,nucleolus,client,drllps,HGNC:30074,POLR3A,RNA polymerase III subunit A,11128.0
O14807,Homo sapiens,postsynaptic density,client,drllps,HGNC:7227,MRAS,muscle RAS oncogene homolog,22808.0
O14818,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:9536,PSMA7,proteasome 20S subunit alpha 7,5688.0
O14827,Homo sapiens,postsynaptic density,client,drllps,HGNC:9876,RASGRF2,Ras protein specific guanine nucleotide releasing factor 2,5924.0
O14829,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9243,PPEF1,protein phosphatase with EF-hand domain 1,5475.0
O14830,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9244,PPEF2,protein phosphatase with EF-hand domain 2,5470.0
O14832,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:8940,PHYH,phytanoyl-CoA 2-hydroxylase,5264.0
O14874,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:16902,BCKDK,branched chain keto acid dehydrogenase kinase,10295.0
O14893,Homo sapiens,"gemini of cajal body, null_phasepdb_ht",regulator,"drllps, phasepdb_ht",HGNC:10884,GEMIN2,gem nuclear organelle associated protein 2,8487.0
O14908,Homo sapiens," postsynaptic density, stress granule",regulator,drllps,HGNC:1226,GIPC1,GIPC PDZ domain containing family member 1,10755.0
O14910,Homo sapiens,postsynaptic density,client,drllps,HGNC:17787,LIN7A,"lin-7 homolog A, crumbs cell polarity complex component",8825.0
O14920,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:5960,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta,3551.0
O14925,Homo sapiens,nucleolus,client,drllps,HGNC:17312,TIMM23,translocase of inner mitochondrial membrane 23,100287932.0
O14936,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:1497,CASK,calcium/calmodulin dependent serine protein kinase,8573.0
O14950,Homo sapiens,postsynaptic density,client,drllps,HGNC:29827,MYL12B,myosin light chain 12B,103910.0
O14964,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:4897,HGS,hepatocyte growth factor-regulated tyrosine kinase substrate,9146.0
O14965,Homo sapiens," centrosome/spindle pole body,  others, droplet, null_phasepdb_ht","regulator, client","drllps, phasepdb_ht",HGNC:11393,AURKA,aurora kinase A,6790.0
O14974,Homo sapiens," postsynaptic density, null_phasepdb_ht, stress granule",regulator,"drllps, phasepdb_ht",HGNC:7618,PPP1R12A,protein phosphatase 1 regulatory subunit 12A,4659.0
O14976,Homo sapiens,postsynaptic density,client,drllps,HGNC:4113,GAK,cyclin G associated kinase,2580.0
O14977,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:16432,AZIN1,antizyme inhibitor 1,51582.0
O14979,Homo sapiens," nucleolus,  stress granule, droplet, nucleolus, null_phasepdb_rev, p-body, stress granule","driver, component","drllps, phasepdb_ht, phasepdb_rev",HGNC:5037,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like,9987.0
O14980,Homo sapiens," cajal body,  centrosome/spindle pole body,  nuclear speckle,  nucleolus,  pml nuclear body,  postsynaptic density, droplet, nucleolus","driver, component","drllps, phasepdb_ht",HGNC:12825,XPO1,exportin 1,7514.0
O14983,Homo sapiens," postsynaptic density, stress granule",regulator,drllps,HGNC:811,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,487.0
O14994,Homo sapiens,postsynaptic density,client,drllps,HGNC:11496,SYN3,synapsin III,8224.0
O15013,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:14103,ARHGEF10,Rho guanine nucleotide exchange factor 10,9639.0
O15020,Homo sapiens,postsynaptic density,client,drllps,HGNC:11276,SPTBN2,"spectrin beta, non-erythrocytic 2",6712.0
O15031,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9104,PLXNB2,plexin B2,23654.0
O15034,Homo sapiens,postsynaptic density,client,drllps,HGNC:30339,RIMBP2,RIMS binding protein 2,23504.0
O15042,Homo sapiens,nuclear speckle,client,drllps,HGNC:30855,U2SURP,U2 snRNP associated SURP domain containing,23350.0
O15047,Homo sapiens,nucleus speckles,component,phasepdb_uniprot,HGNC:29010,SETD1A,"SET domain containing 1A, histone lysine methyltransferase",9739.0
O15055,Homo sapiens,nucleolus,component,phasepdb_uniprot,HGNC:8846,PER2,period circadian regulator 2,8864.0
O15056,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:11504,SYNJ2,synaptojanin 2,8871.0
O15063,Homo sapiens," stress granule, p-body","component, client","drllps, phasepdb_ht",HGNC:29016,GARRE1,granule associated Rac and RHOG effector 1,9710.0
O15066,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:6320,KIF3B,kinesin family member 3B,9371.0
O15067,Homo sapiens,"null_phasepdb_ht, stress granule","regulator, component, client","drllps, phasepdb_ht",HGNC:8863,PFAS,phosphoribosylformylglycinamidine synthase,5198.0
O15075,Homo sapiens,"null_phasepdb_ht, postsynaptic density","regulator, client","drllps, phasepdb_ht",HGNC:2700,DCLK1,doublecortin like kinase 1,9201.0
O15078,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:29021,CEP290,centrosomal protein 290,80184.0
O15079,Homo sapiens,postsynaptic density,client,drllps,HGNC:15931,SNPH,syntaphilin,9751.0
O15083,Homo sapiens,postsynaptic density,client,drllps,HGNC:31922,ERC2,ELKS/RAB6-interacting/CAST family member 2,26059.0
O15091,Homo sapiens,mitochondrial rna granule,client,drllps,HGNC:19958,PRORP,protein only RNase P catalytic subunit,9692.0
O15111,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:1974,CHUK,component of inhibitor of nuclear factor kappa B kinase complex,1147.0
O15116,Homo sapiens," stress granule, p-body, stress granule","regulator, component","drllps, phasepdb_ht, phasepdb_rev",HGNC:20472,LSM1,"LSM1 homolog, mRNA degradation associated",27257.0
O15131,Homo sapiens,stress granule,client,drllps,HGNC:6398,KPNA5,karyopherin subunit alpha 5,3841.0
O15143,Homo sapiens," centrosome/spindle pole body,  stress granule, nucleolus","component, client","drllps, phasepdb_ht",HGNC:704,ARPC1B,actin related protein 2/3 complex subunit 1B,10095.0
O15144,Homo sapiens," postsynaptic density, nucleolus","component, client","drllps, phasepdb_ht",HGNC:705,ARPC2,actin related protein 2/3 complex subunit 2,10109.0
O15145,Homo sapiens," postsynaptic density, nucleolus","component, client","drllps, phasepdb_ht",HGNC:706,ARPC3,actin related protein 2/3 complex subunit 3,10094.0
O15160,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht",HGNC:20194,POLR1C,RNA polymerase I and III subunit C,9533.0
O15169,Homo sapiens,"null_phasepdb_rev, others","driver, component","drllps, phasepdb_rev",HGNC:903,AXIN1,axin 1,8312.0
O15173,Homo sapiens,nucleolus,client,drllps,HGNC:16089,PGRMC2,progesterone receptor membrane component 2,10424.0
O15182,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:1868,CETN3,centrin 3,1070.0
O15195,Homo sapiens,nucleolus,client,drllps,HGNC:30906,VILL,villin like,50853.0
O15212,Homo sapiens,nucleolus,client,drllps,HGNC:4926,PFDN6,prefoldin subunit 6,10471.0
O15213,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:13923,WDR46,WD repeat domain 46,9277.0
O15217,Homo sapiens,nucleolus,client,drllps,HGNC:4629,GSTA4,glutathione S-transferase alpha 4,2941.0
O15226,Homo sapiens," p-body,  stress granule, nucleolus, p-body, stress granule","component, client","drllps, phasepdb_ht",HGNC:19374,NKRF,NFKB repressing factor,55922.0
O15228,Homo sapiens,postsynaptic density,client,drllps,HGNC:4416,GNPAT,glyceronephosphate O-acyltransferase,8443.0
O15234,Homo sapiens," p-body,  stress granule, nuclear speckle, nucleus speckles, p-body, stress granule","regulator, component","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:17040,CASC3,CASC3 exon junction complex subunit,22794.0
O15240,Homo sapiens,postsynaptic density,client,drllps,HGNC:12684,VGF,VGF nerve growth factor inducible,7425.0
O15247,Homo sapiens,nucleolus,client,drllps,HGNC:2063,CLIC2,chloride intracellular channel 2,1193.0
O15264,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:6875,MAPK13,mitogen-activated protein kinase 13,5603.0
O15273,Homo sapiens,stress granule,regulator,drllps,HGNC:11610,TCAP,titin-cap,8557.0
O15294,Homo sapiens," postsynaptic density, stress granule",regulator,drllps,HGNC:8127,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase,8473.0
O15297,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9277,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D",8493.0
O15342,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:863,ATP6V0E1,ATPase H+ transporting V0 subunit e1,8992.0
O15347,Homo sapiens," stress granule, nucleolus",client,drllps,HGNC:5004,HMGB3,high mobility group box 3,3149.0
O15350,Homo sapiens,pml nuclear body,client,drllps,HGNC:12003,TP73,tumor protein p73,7161.0
O15355,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:9278,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G",5496.0
O15360,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:3582,FANCA,FA complementation group A,2175.0
O15371,Homo sapiens,stress granule,"regulator, component","drllps, phasepdb_ht",HGNC:3278,EIF3D,eukaryotic translation initiation factor 3 subunit D,8664.0
O15372,Homo sapiens,stress granule,"component, client","drllps, phasepdb_ht",HGNC:3273,EIF3H,eukaryotic translation initiation factor 3 subunit H,8667.0
O15381,Homo sapiens,nucleolus,"component, client","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:8070,NVL,nuclear VCP like,4931.0
O15392,Homo sapiens,centrosome/spindle pole body,client,drllps,HGNC:593,BIRC5,baculoviral IAP repeat containing 5,332.0
O15394,Homo sapiens,postsynaptic density,client,drllps,HGNC:7657,NCAM2,neural cell adhesion molecule 2,4685.0
O15397,Homo sapiens,stress granule,client,drllps,HGNC:9853,IPO8,importin 8,10526.0
O15399,Homo sapiens,postsynaptic density,client,drllps,HGNC:4588,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,2906.0
O15400,Homo sapiens,postsynaptic density,client,drllps,HGNC:11442,STX7,syntaxin 7,8417.0
