uniprot,start,end
Q12955,3868,3897
Q12955,4019,4090
Q12955,4251,4298
Q12955,4323,4377
Q9NQW6,1,113
Q9NQW6,136,196
Q9NQW6,294,328
Q9NQW6,380,399
Q9NQW6,579,600
Q9NQW6,625,664
Q96LA8,1,38
Q9NR22,16,40
Q8TF21,272,320
Q8TF21,607,628
Q8TF21,766,785
O75179,1,143
O75179,1479,1500
O75179,1517,1717
O75179,1906,1995
O75179,2011,2192
O75179,2273,2332
O75179,2381,2423
Q9UPS8,1,41
Q9UPS8,222,274
Q9UPS8,503,630
Q9UPS8,650,698
Q9UPS8,892,913
Q6NXT1,1,27
Q7Z6G8,296,325
Q7Z6G8,367,400
Q7Z6G8,474,514
Q7Z6G8,558,623
Q7Z6G8,749,777
Q7Z6G8,944,989
Q7Z6G8,1197,1248
P50995,1,37
P50995,84,199
P20073,1,49
P20073,71,143
O60641,285,326
O60641,341,380
O60641,393,414
O60641,505,525
O60641,867,907
Q10567,584,625
O95782,615,675
O94973,612,681
O00203,1,31
O00203,268,292
O00203,662,811
Q13367,1,30
Q13367,272,295
Q13367,666,802
O14617,629,696
O14617,726,920
Q9H1A4,289,343
Q9H1A4,373,396
Q9H1A4,994,1016
P25054,239,305
P25054,775,794
P25054,828,878
P25054,923,943
P25054,958,987
P25054,1034,1053
P25054,1099,1169
P25054,1190,1244
P25054,1311,1376
P25054,1403,1475
P25054,1526,1569
P25054,1583,1611
P25054,1664,1717
P25054,1729,1836
P25054,1881,1950
P25054,1965,2011
P25054,2043,2072
P25054,2147,2635
P25054,2667,2714
P25054,2729,2843
P27695,1,60
Q9BZZ5,452,524
Q7Z2E3,122,167
P53990,294,352
P05556,75,107
Q15811,322,348
Q15811,650,701
Q15811,836,868
Q9NZM3,219,241
Q9NZM3,350,378
Q9NZM3,691,752
Q92833,1,22
Q92833,59,150
Q92833,169,299
Q92833,357,548
Q92833,1208,1246
Q15652,278,476
Q15652,631,656
Q15652,1242,1273
Q15652,1614,1692
Q15652,1971,2064
Q9UPT6,182,211
Q9UPT6,243,318
Q9UPT6,719,766
Q9UPT6,879,969
Q9UPT6,1296,1315
Q6NYC1,336,403
Q9H910,1,190
Q92628,146,166
Q92628,205,391
Q92628,1110,1132
Q92628,1346,1395
O60268,1,91
O60268,253,280
O15063,681,771
O15063,855,992
O15063,1032,1070
Q9UPP5,1,47
Q9UPP5,65,302
Q9UPP5,318,477
Q9UPP5,638,770
Q9UPP5,1006,1094
Q6NV74,38,102
Q6NV74,131,174
Q6NV74,212,871
Q5VZ46,1,77
Q5VZ46,98,223
Q5VZ46,313,366
Q5VZ46,378,457
Q5VZ46,613,663
Q5VZ46,685,823
Q5VZ46,831,850
Q5VZ46,877,930
Q5VZ46,942,999
Q5VZ46,1015,1063
Q5VZ46,1087,1106
Q9HCM3,1,37
Q9HCM3,378,402
Q9HCM3,876,919
Q9HCM3,1373,1463
Q9HCM3,1702,1741
Q9HCM3,1837,1923
Q6ZVL6,1,70
Q6ZVL6,142,166
Q6ZVL6,213,242
Q6ZVL6,529,586
Q6ZVL6,1258,1338
Q6ZVL6,1460,1546
Q6ZVL6,1656,1679
Q6ZVL6,1769,1819
P13645,1,24
P13645,453,584
Q04695,1,24
P04264,22,47
P04264,489,523
P04264,568,644
P12035,1,21
P12035,605,628
P02538,1,23
P05787,1,41
P54819,150,169
O60229,710,737
O60229,1594,1642
O60229,1750,1863
O60229,2244,2310
O60229,2412,2454
Q63ZY3,1,30
Q63ZY3,139,182
Q63ZY3,304,325
Q63ZY3,416,584
P10644,64,96
P13861,47,90
P31323,48,96
Q92993,69,106
Q92993,122,220
Q92794,334,375
Q92794,441,464
Q92794,785,1445
Q92794,1461,1619
Q92794,1637,1721
Q674X7,38,66
Q674X7,290,427
Q674X7,688,715
Q674X7,729,762
O94819,1,129
Q8N752,309,337
P48729,309,337
P48730,301,415
P49674,301,416
Q9Y6M4,1,35
Q9Y6M4,341,374
Q9Y6M4,391,416
Q96NX5,325,352
Q9UQM7,314,341
Q13554,349,534
Q13555,324,353
Q13555,376,423
Q16566,341,368
Q16566,445,473
Q96CX2,1,28
Q96CX2,129,202
O43526,402,422
O43526,442,488
O43526,598,619
O43526,659,680
O43526,692,757
O43526,769,788
O43526,838,872
P12277,96,122
Q6ZWB6,1,36
Q6ZWB6,326,409
O60341,1,176
Q9Y2K7,367,389
Q9Y2K7,532,557
Q9Y2K7,704,789
Q9Y2K7,839,887
Q8NHM5,1,25
Q8NHM5,410,465
Q8NHM5,727,843
Q8NHM5,855,1034
Q9Y4C1,307,336
Q9Y4C1,383,402
Q9Y4C1,438,472
Q7LBC6,253,346
Q7LBC6,370,395
Q7LBC6,438,497
Q7LBC6,572,603
Q7LBC6,714,762
Q7LBC6,805,827
Q7LBC6,1142,1220
P29375,1327,1348
P29375,1407,1433
P29375,1490,1509
P29375,1516,1543
O15550,437,457
O15550,521,541
O15550,624,746
O15550,758,778
O15550,810,864
O15550,914,940
O15550,1043,1079
Q6ZMT4,597,633
Q6ZMT4,677,700
Q6ZMT4,819,921
Q5VWX1,182,284
Q5VWX1,319,349
Q07666,1,96
Q07666,280,316
Q07666,327,346
Q07666,411,443
O75525,213,267
O75525,318,346
Q8NI77,667,690
Q8NI77,830,871
Q9NQT8,545,582
Q9NQT8,1367,1420
Q9NQT8,1579,1650
Q9NQT8,1662,1698
Q96Q89,829,866
Q96Q89,1247,1275
Q96Q89,1760,1781
Q7Z4S6,556,641
Q7Z4S6,779,804
Q7Z4S6,841,881
Q7Z4S6,1116,1138
Q7Z4S6,1170,1318
P43628,220,239
P46013,101,199
P46013,271,426
P46013,513,542
P46013,575,632
P46013,674,707
P46013,853,886
P46013,1045,1073
P46013,1109,1151
P46013,1246,1276
P46013,1323,1518
P46013,1597,1675
P46013,1689,1708
P46013,1717,1824
P46013,1839,1886
P46013,1961,2002
P46013,2017,2192
P46013,2205,2400
P46013,2445,2480
P46013,2497,2521
P46013,2570,3256
Q15058,1,27
Q15058,1600,1648
Q9NS87,1,25
Q9NS87,1228,1250
Q12756,1413,1446
Q12756,1517,1558
O60333,431,450
O60333,1550,1570
O60333,1617,1660
Q02241,1,20
Q02241,659,691
Q02241,898,928
Q02241,941,960
O00139,66,139
O00139,165,186
Q99661,89,116
Q9Y496,372,421
Q9Y496,663,699
O15066,374,412
O15066,699,747
Q12840,906,939
Q12840,978,1010
O60282,911,957
Q9BW19,23,94
Q9BW19,109,136
Q9BW19,325,372
O60870,209,260
P33176,908,963
O00142,20,47
Q2M2Z5,175,207
Q2M2Z5,255,413
Q2M2Z5,432,480
Q2M2Z5,494,516
Q2M2Z5,613,673
Q8N5S9,26,61
Q8N5S9,460,505
Q96RR4,1,33
Q96RR4,78,112
Q96RR4,128,149
Q96RR4,205,225
Q96RR4,496,588
Q07866,155,203
Q07866,553,573
Q9H0B6,145,191
Q9H0B6,476,548
Q9H0B6,563,622
O43474,22,45
Q9NQR1,68,88
Q9NQR1,135,241
Q03164,1,108
Q03164,132,253
Q03164,301,352
Q03164,445,585
Q03164,713,780
Q03164,798,949
Q03164,1038,1066
Q03164,1106,1166
Q03164,1200,1375
Q03164,1663,1713
Q03164,1806,1869
Q03164,2081,2133
Q03164,2145,2232
Q03164,2275,2333
Q03164,2373,2460
Q03164,2475,2618
Q03164,2647,2675
Q03164,2713,2821
Q03164,2961,3064
Q03164,3166,3244
Q03164,3464,3608
Q03164,3620,3643
Q03164,3785,3808
Q8IZD2,217,269
Q8IZD2,475,530
Q8IZD2,630,687
Q8IZD2,887,960
Q8IZD2,1039,1068
Q8IZD2,1164,1561
Q8IZD2,1581,1835
Q1ED39,1,21
Q1ED39,46,305
Q1ED39,336,355
P46020,1021,1056
Q93100,689,716
P05771,311,330
P05771,614,635
Q15139,377,402
Q9BZL6,1,35
Q9BZL6,224,247
Q9BZL6,343,373
Q9BZL6,844,869
O94806,332,371
Q02156,325,356
Q02156,370,398
P41743,1,23
P41743,220,246
P11801,56,80
P11801,378,407
Q96QS6,342,367
Q8N9T8,27,63
Q8N9T8,83,111
Q8N9T8,127,193
Q8N9T8,249,284
Q8N9T8,305,351
Q8N9T8,412,490
Q8N9T8,594,665
Q13601,1,51
Q13601,250,278
Q13601,309,338
P51812,1,38
O75582,1,23
O75582,741,802
P23443,1,54
P23443,380,399
Q9UBS0,1,26
Q9UBS0,407,482
Q96S38,207,228
Q96S38,439,509
Q96S38,553,596
Q8IVT5,1,26
Q8IVT5,174,246
Q8IVT5,265,295
Q8IVT5,435,484
Q8IVT5,557,592
Q86UP2,48,81
Q86UP2,103,218
O75449,87,185
Q9BVA0,311,422
Q9UNZ5,1,36
P32004,698,725
P32004,1176,1207
P32004,1226,1257
Q15334,966,1010
Q92615,1,52
Q92615,90,157
Q92615,399,420
Q92615,449,540
Q92615,591,738
Q659C4,1,169
Q659C4,327,348
Q659C4,590,681
Q659C4,852,914
Q71RC2,374,477
Q71RC2,568,600
Q71RC2,623,724
Q6PKG0,1,356
Q6PKG0,511,598
Q6PKG0,759,861
Q6PKG0,1026,1096
Q4G0J3,1,27
Q4G0J3,188,368
Q4G0J3,410,442
Q9Y4W2,204,255
Q9Y4W2,547,619
Q14847,111,186
O95835,1,71
O95835,149,276
O95835,294,321
O95835,365,405
O95835,432,484
O95835,515,631
O95835,1104,1130
Q9NRM7,24,49
Q9NRM7,271,324
Q9NRM7,383,429
Q9NRM7,454,483
Q9NRM7,543,592
Q9NRM7,994,1022
Q9NRM7,1056,1088
O43561,69,115
O43561,206,262
P05455,329,408
Q9BQE6,1,36
Q9BQE6,205,289
Q14739,52,109
Q9Y383,235,392
O95232,107,126
O95232,234,432
Q86VQ0,1,90
Q86VQ0,412,432
Q86VQ0,522,548
Q86VQ0,606,697
Q13094,78,417
P17931,1,60
O95202,718,739
Q9UHB6,78,131
Q9UHB6,146,182
Q9UHB6,211,264
Q9UHB6,323,381
Q9UHB6,509,709
Q9UPQ0,185,326
Q9UPQ0,615,665
Q9UPQ0,677,704
Q9UPQ0,831,1008
P53667,260,319
P53671,279,304
Q2Q1W2,26,49
Q2Q1W2,127,189
Q9HAP6,187,207
O75334,1,29
O75334,231,265
O75334,438,463
O75334,709,738
O75334,790,834
O75145,1,24
O75145,202,233
O75145,525,583
O75145,624,819
O75145,1157,1194
O75335,638,709
O75335,721,757
Q05469,1,198
Q05469,229,250
Q05469,838,930
Q05469,1055,1076
Q8NHL6,415,451
Q8NHL6,491,524
Q8NHL6,563,650
Q5T7N2,370,508
Q9BRT6,1,27
Q9BRT6,100,129
P02545,1,24
P02545,384,442
P02545,552,576
P02545,598,619
P20700,1,31
P20700,388,432
Q03252,1,38
Q03252,399,464
Q03252,581,620
Q8WWI1,312,343
Q8WWI1,749,900
Q8WWI1,947,1037
Q8WWI1,1255,1604
Q6ZMQ8,542,622
Q6ZMQ8,667,731
Q6ZMQ8,765,1195
Q6ZMQ8,1245,1302
Q6ZMQ8,1320,1374
Q8IWU2,597,622
Q8IWU2,804,840
Q8IWU2,875,898
Q8IWU2,970,999
Q8IWU2,1013,1202
Q8IWU2,1276,1317
Q8IWU2,1372,1469
Q96Q04,75,95
Q96Q04,413,456
Q96Q04,486,513
Q96Q04,544,578
Q96Q04,591,669
Q96Q04,686,855
Q96Q04,872,1349
Q96Q04,1361,1460
Q9H9Z2,1,31
Q9H9Z2,178,209
Q6ZN17,1,26
Q6ZN17,98,126
Q6ZN17,169,250
P36776,77,102
P36776,218,257
Q9UN81,1,40
Q93052,1,118
Q93052,132,219
Q93052,307,387
Q50LG9,365,391
Q8N1G4,260,300
Q8N1G4,513,544
Q96AG4,150,241
Q5JTD7,257,296
Q9C099,316,345
Q96NI6,385,414
Q96NI6,615,694
Q96NW7,663,709
Q96NW7,730,759
Q96NW7,786,810
Q96NW7,824,892
Q96NW7,1136,1159
Q96NW7,1234,1265
Q96NW7,1331,1360
Q38SD2,26,56
Q38SD2,1788,1810
Q38SD2,1841,1899
Q6UWE0,282,314
Q6UWE0,642,665
Q8ND56,146,288
Q8ND56,322,359
Q8ND56,398,444
Q9BX40,164,246
Q9BX40,357,385
Q9H089,1,31
Q9H089,250,355
Q9H089,623,658
P83369,1,29
P83369,68,143
P83369,268,333
Q9Y4Z0,87,139
P29376,30,64
P29376,239,297
P29376,790,830
P29376,842,864
Q6IAA8,1,43
Q96GA3,23,54
Q96GA3,74,99
Q96GA3,169,213
Q96GA3,405,447
Q9NQ29,232,371
Q86V48,246,291
Q86V48,358,546
Q86V48,569,600
Q86V48,675,746
Q86V48,770,819
Q86V48,862,913
Q86V48,929,998
Q86V48,1042,1076
Q9NX58,143,307
P07948,1,62
Q86UE4,78,222
Q86UE4,280,582
Q99698,148,173
Q99698,1181,1203
Q99698,1221,1256
Q99698,2205,2224
Q9BRK4,1,59
Q9BRK4,92,131
Q9BRK4,150,201
Q9BRK4,214,323
O60299,1,157
O60299,172,239
O60299,251,317
O60299,635,673
Q02779,490,665
Q02779,716,739
Q02779,757,954
Q16584,11,38
Q16584,536,643
Q16584,655,847
O43283,1,22
O43283,30,49
O43283,90,114
O43283,534,655
O43283,744,834
O43283,846,908
Q99558,1,37
Q99558,135,171
Q99558,662,766
Q99558,805,830
Q56UN5,1,28
Q56UN5,44,74
Q56UN5,344,380
Q56UN5,524,561
Q9NYL2,652,800
Q5TCX8,1,36
Q5TCX8,517,551
Q5TCX8,748,791
Q5TCX8,923,954
Q9Y2U5,25,45
Q9Y2U5,154,173
Q9Y2U5,201,248
Q9Y2U5,289,355
Q99759,146,184
Q99759,218,262
Q9Y6R4,1,136
Q9Y6R4,429,478
Q9Y6R4,1157,1190
Q9Y6R4,1202,1231
Q9Y6R4,1244,1274
O95382,899,997
O95382,1123,1157
P80192,12,47
P80192,532,636
P80192,675,742
P80192,781,819
P80192,890,1038
Q92918,296,478
Q12851,387,442
Q8IVH8,410,536
O95819,306,349
O95819,420,462
O95819,517,811
Q9H9H5,33,110
Q3KQU3,1,151
Q3KQU3,184,208
Q3KQU3,316,813
Q9UPN3,1,47
Q9UPN3,2051,2085
Q9UPN3,3013,3034
Q9UPN3,3104,3174
Q9UPN3,3321,3350
Q9UPN3,5583,5603
Q9UPN3,6951,6981
Q9UPN3,7205,7388
Q9BW11,25,67
Q9BW11,146,171
Q8WXG6,108,168
Q8WXG6,604,636
Q8WXG6,678,842
Q8WXG6,913,941
Q8WXG6,1051,1110
Q8WXG6,1146,1243
Q96JY0,357,385
P43356,1,69
P43358,1,102
O15479,1,112
Q9Y5V3,41,60
Q9Y5V3,78,123
Q9Y5V3,182,333
Q9Y5V3,376,412
Q9Y5V3,440,466
Q9UNF1,1,204
Q9UNF1,248,275
Q9UNF1,534,563
Q96QZ7,236,267
Q96QZ7,411,464
Q96QZ7,586,623
Q96QZ7,720,832
Q96QZ7,932,987
Q96QZ7,1112,1143
Q96QZ7,1234,1491
Q86UL8,205,306
Q86UL8,869,913
Q86UL8,1011,1136
Q86UL8,1231,1455
P20916,582,608
Q9BXY0,191,278
Q92585,65,184
Q92585,263,487
Q92585,561,617
Q92585,658,681
Q92585,796,953
Q8IZL2,81,165
Q8IZL2,340,359
Q8IZL2,369,506
Q8IZL2,531,628
Q8IZL2,658,680
Q8IZL2,705,743
Q8IZL2,784,820
Q8IZL2,1059,1100
Q96JK9,37,68
Q96JK9,119,148
Q96JK9,169,188
Q96JK9,207,243
Q96JK9,334,480
Q96JK9,503,547
Q96JK9,615,662
Q96JK9,691,721
Q96JK9,968,991
Q96JK9,1024,1085
Q96JK9,1090,1109
Q9Y2U8,19,38
Q9Y2U8,43,89
Q9Y2U8,111,130
Q9Y2U8,140,354
Q9Y2U8,879,911
P78559,302,466
P78559,486,712
P78559,734,806
P78559,847,1080
P78559,1109,1548
P78559,1573,1605
P78559,1632,1684
P78559,1712,1879
P78559,1892,2673
P46821,1,26
P46821,522,781
P46821,872,1045
P46821,1058,1160
P46821,1173,1220
P46821,1238,1277
P46821,1291,1826
P46821,1849,1896
P46821,1911,2037
P46821,2093,2349
Q66K74,461,733
Q66K74,751,942
P50579,1,123
P27816,50,100
P27816,362,401
P27816,641,991
P27816,1074,1152
Q96JE9,36,283
Q96JE9,314,651
Q96JE9,756,813
Q49MG5,127,323
Q49MG5,344,421
Q49MG5,491,514
Q49MG5,530,553
Q49MG5,580,600
Q49MG5,613,647
Q16644,1,34
Q16644,357,382
P29966,1,332
Q15691,146,187
Q15555,1,21
Q15555,171,240
Q15555,299,327
Q9UPY8,157,181
Q9UPY8,261,281
Q9Y4F3,619,646
Q9Y4F3,681,717
Q9Y4F3,1677,1726
Q9P0L2,1,40
Q9P0L2,377,495
Q9P0L2,539,700
Q7KZI7,1,46
Q7KZI7,373,632
P27448,1,36
P27448,370,600
P27448,632,655
Q96L34,1,36
Q96L34,371,614
O60307,1,62
O60307,88,113
O60307,136,162
O60307,337,360
O60307,756,895
O60307,908,950
O60307,1046,1245
P43243,146,174
P43243,187,214
P43243,342,394
P43243,588,786
Q7Z434,95,297
Q7Z434,315,359
Q7Z434,373,419
Q7Z434,476,507
Q9BQG0,1,22
Q9BQG0,698,753
Q9BQG0,1146,1292
Q9BQG0,1306,1328
O95983,254,291
P02686,1,147
P02686,180,249
Q6VMQ6,104,223
Q6VMQ6,235,402
Q6VMQ6,454,570
Q6VMQ6,658,685
Q6VMQ6,822,862
Q6VMQ6,886,906
Q6VMQ6,918,1026
Q6VMQ6,1115,1160
O43148,1,146
P49736,1,80
P49736,109,167
P49736,686,705
P25205,662,739
P33991,1,60
P33991,91,126
Q8NEM0,313,381
Q8NEM0,419,443
Q8NEM0,555,584
C9JLW8,1,30
Q9BUT9,1,64
Q96EZ8,1,130
Q14676,1,22
Q14676,185,248
Q14676,261,280
Q14676,286,317
Q14676,482,515
Q14676,653,689
Q14676,780,1887
Q9P1T7,1,71
Q00987,141,187
Q00987,211,237
Q00987,253,274
Q00987,371,427
Q9NU22,517,537
Q9NU22,3989,4008
Q9NU22,4669,4688
Q9NU22,4700,5260
P08183,646,685
Q15648,609,706
Q15648,792,820
Q15648,874,893
Q15648,947,1566
O95402,99,330
O95402,348,402
O95402,431,461
O75586,193,246
Q06413,91,116
Q06413,180,224
Q06413,374,473
P50222,63,192
Q9BUU2,60,103
Q9BUU2,115,145
A1L020,49,111
A1L020,412,461
Q6ZN04,1,31
Q6ZN04,252,296
Q6ZN04,338,365
Q6ZN04,482,514
Q5U5Q3,1,140
Q5U5Q3,513,569
Q86XN8,1,159
Q86XN8,375,394
Q86XN8,401,443
Q86XN8,495,531
P55081,1,27
P55081,39,200
Q9NX63,34,61
Q9NX63,73,92
Q9BRQ6,31,90
Q9BRQ6,106,132
Q6UXV4,187,268
Q16891,116,143
Q16891,162,200
Q8N4C8,300,347
Q8N4C8,363,383
Q8N4C8,395,887
Q8N4C8,901,943
Q4G0A6,152,173
Q4G0A6,190,334
P27361,1,26
P31152,373,413
P31152,499,534
Q16659,701,721
P45983,371,427
P45984,368,424
P53779,405,464
Q15759,311,331
Q15759,343,364
Q8TD08,347,414
Q9BYG3,197,239
Q9BYG3,271,293
Q9BUB5,1,40
Q9BUB5,185,204
Q9BUB5,446,465
Q9H000,113,142
O14950,1,20
P40692,355,378
P40692,400,491
Q9UHC1,624,650
Q9UHC1,933,960
P50281,284,316
Q9H8L6,133,157
Q9H8L6,779,801
Q9BU76,1,21
Q9BU76,105,132
Q9BU76,148,263
Q9UBU8,113,182
P26038,323,342
P26038,375,409
P26038,466,518
Q13724,1,39
Q9UQ07,285,344
Q9UQ07,390,419
Q2KHM9,178,201
Q2KHM9,401,431
Q2KHM9,490,601
Q2KHM9,849,872
Q14149,524,545
Q14149,613,640
P53985,454,500
Q9HCE1,966,1003
Q02750,1,27
P36507,286,310
P30305,1,24
P30305,89,117
P30305,165,196
P30305,331,370
P30307,1,23
P30307,132,158
Q8TAP9,1,135
O00566,105,202
O00566,216,364
O00566,558,606
O00566,660,681
Q96JB8,1,22
Q8N3R9,1,34
Q8N3R9,51,78
Q9UBG0,1450,1479
Q5VT25,968,1003
Q5VT25,1591,1732
Q9Y5S2,461,484
Q9Y5S2,969,1009
Q9Y5S2,1611,1711
Q6DT37,467,486
Q6DT37,575,607
Q6DT37,655,675
Q6DT37,801,849
Q6DT37,863,886
Q6DT37,1442,1551
P49959,507,540
P49959,556,614
P49959,651,708
Q6IN84,311,353
Q9HC36,49,88
P49006,1,195
Q9UKD2,215,239
P52701,1,84
P52701,195,362
Q96DH6,1,28
Q96DH6,264,286
Q86U44,1,70
Q86U44,198,219
P11137,1,88
P11137,109,221
P11137,340,497
P11137,579,660
P11137,931,988
P11137,1073,1160
P11137,1197,1216
P11137,1297,1378
P11137,1403,1460
P11137,1471,1490
P11137,1506,1638
P11137,1780,1801
Q9NZJ7,1,76
