uniprot,pfam_acc,start,end,domain
Q96I24,PF00013,164,230,KH_1
Q96I24,PF00013,255,319,KH_1
Q9H694,PF00013,134,201,KH_1
Q9H694,PF00013,286,350,KH_1
Q96PU8,PF00013,83,140,KH_1
Q9NXZ2,PF00013,70,130,KH_1
P51114,PF00013,283,353,KH_1
Q96AE4,PF00013,102,166,KH_1
Q96AE4,PF00013,187,253,KH_1
Q96AE4,PF00013,378,445,KH_1
Q96AE4,PF00013,277,341,KH_1
Q5T6W2,PF00013,122,187,KH_1
Q5T6W2,PF00013,44,105,KH_1
Q06787,PF00013,283,333,KH_1
Q06787,PF00013,220,280,KH_1
A1L020,PF00013,225,286,KH_1
A1L020,PF00013,132,195,KH_1
P57723,PF00013,243,307,KH_1
P57723,PF00013,103,168,KH_1
P57723,PF00013,19,80,KH_1
Q8N9N2,PF00013,92,149,KH_1
Q9NZI8,PF00013,278,345,KH_1
Q9NZI8,PF00013,197,262,KH_1
Q9NZI8,PF00013,407,472,KH_1
Q9NZI8,PF00013,489,555,KH_1
Q5VWX1,PF00013,61,130,KH_1
P57721,PF00013,131,195,KH_1
P57721,PF00013,295,359,KH_1
P57721,PF00013,47,109,KH_1
Q15637,PF00013,137,224,KH_1
P51513,PF00013,173,239,KH_1
P51513,PF00013,423,490,KH_1
P51513,PF00013,52,118,KH_1
Q15365,PF00013,281,345,KH_1
Q15365,PF00013,99,164,KH_1
Q15365,PF00013,15,77,KH_1
Q8TCS8,PF00013,607,666,KH_1
O75525,PF00013,57,120,KH_1
P61978,PF00013,389,453,KH_1
P61978,PF00013,146,211,KH_1
P61978,PF00013,44,105,KH_1
Q6ZN04,PF00013,162,223,KH_1
Q6ZN04,PF00013,67,129,KH_1
Q9UNW9,PF00013,132,198,KH_1
Q9UNW9,PF00013,408,475,KH_1
Q9UNW9,PF00013,35,101,KH_1
Q07666,PF00013,157,227,KH_1
Q5U5Q3,PF00013,328,389,KH_1
Q5U5Q3,PF00013,232,295,KH_1
O00425,PF00013,278,345,KH_1
O00425,PF00013,489,555,KH_1
O00425,PF00013,197,262,KH_1
O00425,PF00013,407,472,KH_1
Q86XN8,PF00013,275,336,KH_1
Q86XN8,PF00013,180,242,KH_1
Q9Y6M1,PF00013,276,343,KH_1
Q9Y6M1,PF00013,429,494,KH_1
Q9Y6M1,PF00013,195,260,KH_1
Q9Y6M1,PF00013,511,577,KH_1
Q86TM3,PF00013,51,111,KH_1
P05067,PF00014,290,342,Kunitz_BPTI
Q92569,PF00017,358,432,SH2
Q92569,PF00017,65,140,SH2
P06239,PF00017,127,209,SH2
P07947,PF00017,158,240,SH2
P42681,PF00017,150,231,SH2
O15524,PF00017,79,154,SH2
P16333,PF00017,282,356,SH2
P06241,PF00017,149,231,SH2
P07332,PF00017,460,530,SH2
Q06124,PF00017,112,197,SH2
Q06124,PF00017,6,81,SH2
Q9NRF2,PF00017,527,604,SH2
P52630,PF00017,576,648,SH2
P29350,PF00017,110,194,SH2
P29350,PF00017,4,79,SH2
P00519,PF00017,127,202,SH2
P19174,PF00017,550,639,SH2
P19174,PF00017,668,741,SH2
O00459,PF00017,622,696,SH2
O00459,PF00017,330,405,SH2
P46109,PF00017,14,88,SH2
P08631,PF00017,144,226,SH2
O15357,PF00017,21,102,SH2
P43405,PF00017,168,244,SH2
P43405,PF00017,15,92,SH2
P52735,PF00017,673,747,SH2
P51813,PF00017,296,377,SH2
P43403,PF00017,163,239,SH2
P43403,PF00017,10,87,SH2
P62993,PF00017,60,135,SH2
Q68CZ2,PF00017,1172,1267,SH2
Q08881,PF00017,239,323,SH2
Q13882,PF00017,78,155,SH2
P40763,PF00017,584,674,SH2
P42684,PF00017,173,248,SH2
Q14451,PF00017,431,512,SH2
Q8WV28,PF00017,346,429,SH2
P42224,PF00017,573,657,SH2
P12931,PF00017,151,233,SH2
Q13094,PF00017,422,505,SH2
P27986,PF00017,624,698,SH2
P27986,PF00017,333,408,SH2
P42229,PF00017,589,670,SH2
P18075,PF00019,329,430,TGF_beta
Q03405,PF00021,25,99,UPAR_LY6
Q03405,PF00021,216,294,UPAR_LY6
O94772,PF00021,28,111,UPAR_LY6
P13987,PF00021,28,95,UPAR_LY6
P60709,PF00022,2,375,Actin
Q9NZ32,PF00022,65,389,Actin
Q9NZ32,PF00022,10,70,Actin
P68032,PF00022,4,377,Actin
O96019,PF00022,8,429,Actin
P61157,PF00022,2,412,Actin
P63267,PF00022,3,376,Actin
P63261,PF00022,2,375,Actin
O94805,PF00022,8,426,Actin
P61158,PF00022,2,412,Actin
Q9C0K3,PF00022,1,189,Actin
P61163,PF00022,7,376,Actin
Q562R1,PF00022,3,376,Actin
P62736,PF00022,4,377,Actin
P63259,PF00022,2,375,Actin
P60710,PF00022,2,375,Actin
P61160,PF00022,3,390,Actin
P42025,PF00022,7,376,Actin
P84077,PF00025,3,177,Arf
Q96BM9,PF00025,8,181,Arf
P36405,PF00025,3,177,Arf
P61204,PF00025,5,177,Arf
P84085,PF00025,5,177,Arf
Q9Y6B6,PF00025,12,197,Arf
P40616,PF00025,5,177,Arf
Q6T311,PF00025,6,177,Arf
Q9NVJ2,PF00025,8,181,Arf
Q9NR31,PF00025,12,197,Arf
P36404,PF00025,3,176,Arf
P48145,PF00001,54,307,7tm_1
A0A0B4J269,PF00001,55,298,7tm_1
Q99527,PF00001,76,324,7tm_1
P43119,PF00001,30,292,7tm_1
Q8IYL9,PF00001,31,290,7tm_1
Q8N6U8,PF00001,44,324,7tm_1
P07550,PF00001,50,326,7tm_1
P61073,PF00001,55,302,7tm_1
Q9H228,PF00001,53,306,7tm_1
P51679,PF00001,56,304,7tm_1
P47804,PF00001,33,215,7tm_1
P21462,PF00001,43,301,7tm_1
Q9H244,PF00001,42,298,7tm_1
P32745,PF00001,61,313,7tm_1
P35462,PF00001,46,383,7tm_1
Q96P66,PF00001,48,454,7tm_1
Q9H1Y3,PF00001,58,309,7tm_1
Q9ULB1,PF00008,680,711,EGF
P46531,PF00008,532,562,EGF
P46531,PF00008,494,524,EGF
P46531,PF00008,795,825,EGF
P46531,PF00008,106,137,EGF
P46531,PF00008,1187,1217,EGF
P46531,PF00008,1063,1093,EGF
P46531,PF00008,1149,1179,EGF
P46531,PF00008,1225,1263,EGF
P46531,PF00008,1025,1055,EGF
P46531,PF00008,1111,1141,EGF
P46531,PF00008,682,712,EGF
P46531,PF00008,222,253,EGF
P46531,PF00008,456,486,EGF
P46531,PF00008,261,291,EGF
P46531,PF00008,720,749,EGF
P46531,PF00008,339,369,EGF
P46531,PF00008,144,174,EGF
P46531,PF00008,757,787,EGF
P46531,PF00008,607,637,EGF
P46531,PF00008,911,941,EGF
P46531,PF00008,1311,1344,EGF
P46531,PF00008,63,97,EGF
P46531,PF00008,833,865,EGF
P46531,PF00008,645,673,EGF
P46531,PF00008,570,599,EGF
O14594,PF00008,1012,1042,EGF
Q02297,PF00008,182,220,EGF
Q96GW7,PF00008,650,680,EGF
P13611,PF00008,3093,3123,EGF
P13611,PF00008,3131,3161,EGF
Q99075,PF00008,108,142,EGF
Q9Y4C0,PF00008,647,678,EGF
Q6UY11,PF00008,178,208,EGF
Q6UY11,PF00008,95,127,EGF
Q6UY11,PF00008,216,246,EGF
Q6EMK4,PF00008,409,440,EGF
P01133,PF00008,976,1011,EGF
P06239,PF00018,67,113,SH3_1
Q99961,PF00018,312,357,SH3_1
Q14185,PF00018,15,62,SH3_1
Q92796,PF00018,507,563,SH3_1
P16333,PF00018,196,244,SH3_1
P16333,PF00018,8,53,SH3_1
Q8N157,PF00018,1057,1103,SH3_1
O94875,PF00018,869,914,SH3_1
O94875,PF00018,944,991,SH3_1
Q00013,PF00018,164,220,SH3_1
P78352,PF00018,434,490,SH3_1
O43295,PF00018,750,795,SH3_1
Q12959,PF00018,587,643,SH3_1
O60504,PF00018,460,507,SH3_1
P00519,PF00018,67,113,SH3_1
O75044,PF00018,734,779,SH3_1
P46109,PF00018,129,175,SH3_1
P08631,PF00018,84,130,SH3_1
Q5T2T1,PF00018,234,290,SH3_1
Q9NZQ3,PF00018,3,50,SH3_1
Q15642,PF00018,546,593,SH3_1
Q9P0V3,PF00018,61,106,SH3_1
P62993,PF00018,4,50,SH3_1
P62993,PF00018,162,207,SH3_1
Q08881,PF00018,177,223,SH3_1
Q9BX66,PF00018,873,920,SH3_1
Q15700,PF00018,542,598,SH3_1
O75563,PF00018,305,350,SH3_1
Q13813,PF00018,973,1018,SH3_1
Q12965,PF00018,1057,1102,SH3_1
P07947,PF00018,97,144,SH3_1
Q5TCZ1,PF00018,172,217,SH3_1
Q5TCZ1,PF00018,273,317,SH3_1
Q5TCZ1,PF00018,848,891,SH3_1
Q5TCZ1,PF00018,455,499,SH3_1
Q99963,PF00018,291,336,SH3_1
P42681,PF00018,88,134,SH3_1
Q9UNF0,PF00018,432,479,SH3_1
A1X283,PF00018,227,272,SH3_1
A1X283,PF00018,158,203,SH3_1
A1X283,PF00018,374,419,SH3_1
P06241,PF00018,88,135,SH3_1
P19878,PF00018,463,508,SH3_1
P19878,PF00018,246,291,SH3_1
Q9H7D0,PF00018,14,61,SH3_1
Q9NR80,PF00018,200,245,SH3_1
O75962,PF00018,1662,1713,SH3_1
Q9NZM3,PF00018,987,1031,SH3_1
Q9NZM3,PF00018,1059,1109,SH3_1
Q9Y5X1,PF00018,6,54,SH3_1
Q9Y5K6,PF00018,275,322,SH3_1
P19174,PF00018,797,843,SH3_1
Q15811,PF00018,1161,1206,SH3_1
Q15811,PF00018,919,963,SH3_1
Q8IZP0,PF00018,452,497,SH3_1
O14936,PF00018,618,674,SH3_1
Q13882,PF00018,14,64,SH3_1
P42684,PF00018,113,159,SH3_1
P12931,PF00018,90,137,SH3_1
Q6XZF7,PF00018,249,294,SH3_1
Q6XZF7,PF00018,1519,1568,SH3_1
Q6XZF7,PF00018,8,53,SH3_1
O00160,PF00018,1047,1092,SH3_1
Q07011,PF00020,48,86,TNFR_c6
P13861,PF00027,279,373,cNMP_binding
P13861,PF00027,157,244,cNMP_binding
Q8TEU7,PF00027,300,382,cNMP_binding
P31323,PF00027,294,387,cNMP_binding
P31323,PF00027,172,259,cNMP_binding
P10644,PF00027,273,360,cNMP_binding
P10644,PF00027,155,238,cNMP_binding
Q8IY17,PF00027,530,619,cNMP_binding
Q8IY17,PF00027,647,735,cNMP_binding
Q8IY17,PF00027,213,308,cNMP_binding
Q8WZA2,PF00027,375,459,cNMP_binding
Q8WZA2,PF00027,61,150,cNMP_binding
Q9Y6N8,PF00028,165,260,Cadherin
Q9Y6N8,PF00028,274,376,Cadherin
Q9Y6N8,PF00028,389,480,Cadherin
Q9Y6N8,PF00028,493,587,Cadherin
Q9Y6N8,PF00028,60,151,Cadherin
Q08554,PF00028,247,345,Cadherin
Q08554,PF00028,359,463,Cadherin
Q08554,PF00028,476,568,Cadherin
Q08554,PF00028,139,233,Cadherin
P19022,PF00028,272,373,Cadherin
P19022,PF00028,387,489,Cadherin
P19022,PF00028,502,596,Cadherin
P19022,PF00028,164,258,Cadherin
P19022,PF00028,608,701,Cadherin
Q6ZTQ4,PF00028,466,557,Cadherin
Q6ZTQ4,PF00028,241,336,Cadherin
Q6ZTQ4,PF00028,141,227,Cadherin
Q08174,PF00028,511,603,Cadherin
Q08174,PF00028,285,378,Cadherin
Q08174,PF00028,617,706,Cadherin
Q08174,PF00028,727,813,Cadherin
Q08174,PF00028,173,271,Cadherin
Q08174,PF00028,401,497,Cadherin
Q9Y5H1,PF00028,247,338,Cadherin
Q9Y5H1,PF00028,457,553,Cadherin
Q9Y5H1,PF00028,578,665,Cadherin
Q9Y5H1,PF00028,352,443,Cadherin
Q9Y5H1,PF00028,138,233,Cadherin
Q9BZA7,PF00028,575,664,Cadherin
Q9BZA7,PF00028,471,561,Cadherin
Q9BZA7,PF00028,254,346,Cadherin
Q9BZA7,PF00028,682,773,Cadherin
Q9BZA7,PF00028,144,240,Cadherin
Q9BZA7,PF00028,366,457,Cadherin
Q02413,PF00028,162,260,Cadherin
Q02413,PF00028,274,377,Cadherin
Q02413,PF00028,54,148,Cadherin
P55290,PF00028,250,354,Cadherin
P55290,PF00028,368,469,Cadherin
P55290,PF00028,483,576,Cadherin
P55290,PF00028,143,236,Cadherin
P55290,PF00028,588,680,Cadherin
Q9H158,PF00028,238,331,Cadherin
Q9H158,PF00028,346,436,Cadherin
Q9H158,PF00028,450,546,Cadherin
Q9H158,PF00028,129,224,Cadherin
Q9H158,PF00028,568,657,Cadherin
P55283,PF00028,282,383,Cadherin
P55283,PF00028,512,606,Cadherin
P55283,PF00028,397,499,Cadherin
P55283,PF00028,174,268,Cadherin
P36383,PF00029,2,255,Connexin
P07320,PF00030,89,170,Crystall
P07320,PF00030,3,82,Crystall
P01037,PF00031,32,127,Cystatin
P04080,PF00031,4,92,Cystatin
P99999,PF00034,4,103,Cytochrom_C
P99998,PF00034,4,103,Cytochrom_C
Q9NS39,PF00035,126,188,dsrm
Q9NS39,PF00035,282,339,dsrm
P19525,PF00035,11,75,dsrm
P19525,PF00035,101,165,dsrm
O95793,PF00035,287,352,dsrm
O95793,PF00035,185,249,dsrm
O95793,PF00035,95,160,dsrm
P78563,PF00035,79,141,dsrm
P78563,PF00035,239,296,dsrm
O75569,PF00035,35,99,dsrm
O75569,PF00035,127,192,dsrm
Q8WYQ5,PF00035,512,576,dsrm
Q8WYQ5,PF00035,620,684,dsrm
Q12906,PF00035,526,588,dsrm
Q12906,PF00035,402,465,dsrm
Q15633,PF00035,160,225,dsrm
Q15633,PF00035,31,95,dsrm
Q9NUL3,PF00035,308,373,dsrm
Q9NUL3,PF00035,208,272,dsrm
Q9NUL3,PF00035,9,72,dsrm
Q9NUL3,PF00035,127,179,dsrm
Q9NRR4,PF00035,1261,1332,dsrm
Q08211,PF00035,4,69,dsrm
Q08211,PF00035,181,250,dsrm
P55265,PF00035,504,569,dsrm
P55265,PF00035,615,680,dsrm
P55265,PF00035,727,792,dsrm
Q96SI9,PF00035,512,574,dsrm
Q96SI9,PF00035,389,451,dsrm
P13796,PF00036,13,41,EF-hand_1
P23297,PF00036,54,82,EF-hand_1
P62760,PF00036,64,92,EF-hand_1
P31949,PF00036,59,87,EF-hand_1
F8WBR5,PF00036,12,40,EF-hand_1
Q02045,PF00036,34,62,EF-hand_1
Q99653,PF00036,114,142,EF-hand_1
G3V479,PF00036,12,40,EF-hand_1
O76038,PF00036,109,137,EF-hand_1
P05787,PF00038,90,401,Filament
P20700,PF00038,31,387,Filament
P07197,PF00038,100,411,Filament
P08670,PF00038,102,410,Filament
P13647,PF00038,167,480,Filament
P08729,PF00038,90,402,Filament
P17661,PF00038,107,415,Filament
B0YJC4,PF00038,102,410,Filament
P05783,PF00038,79,391,Filament
P12036,PF00038,96,412,Filament
P41219,PF00038,96,406,Filament
P02538,PF00038,162,475,Filament
P02545,PF00038,30,386,Filament
P07196,PF00038,89,399,Filament
Q5TF58,PF00038,396,483,Filament
P12035,PF00038,197,512,Filament
P13645,PF00038,145,459,Filament
P35908,PF00038,177,490,Filament
Q16352,PF00038,93,406,Filament
P04264,PF00038,179,492,Filament
P14136,PF00038,68,376,Filament
Q03252,PF00038,45,401,Filament
Q04695,PF00038,83,394,Filament
Q13018,PF00040,178,219,fn2
Q8WUT4,PF00041,581,664,fn3
Q06418,PF00041,226,310,fn3
Q06418,PF00041,324,406,fn3
P13591,PF00041,508,598,fn3
P13591,PF00041,610,696,fn3
P29323,PF00041,326,421,fn3
P29323,PF00041,434,520,fn3
P10586,PF00041,320,401,fn3
P10586,PF00041,917,1000,fn3
P10586,PF00041,608,696,fn3
P10586,PF00041,513,594,fn3
P10586,PF00041,710,809,fn3
P10586,PF00041,415,500,fn3
P10586,PF00041,823,903,fn3
P54764,PF00041,330,424,fn3
P54764,PF00041,442,525,fn3
Q9Y2H6,PF00041,667,747,fn3
Q9Y2H6,PF00041,865,940,fn3
Q9Y2H6,PF00041,567,650,fn3
Q9Y2H6,PF00041,468,552,fn3
Q9Y2H6,PF00041,760,841,fn3
Q9Y2H6,PF00041,372,455,fn3
Q9Y2H6,PF00041,267,359,fn3
Q8WZ42,PF00041,18041,18128,fn3
Q8WZ42,PF00041,21500,21585,fn3
Q8WZ42,PF00041,26224,26307,fn3
Q8WZ42,PF00041,27012,27096,fn3
Q8WZ42,PF00041,19627,19711,fn3
Q8WZ42,PF00041,30961,31046,fn3
Q8WZ42,PF00041,28095,28181,fn3
Q8WZ42,PF00041,27696,27782,fn3
Q8WZ42,PF00041,14912,14996,fn3
Q8WZ42,PF00041,16633,16720,fn3
Q8WZ42,PF00041,20517,20603,fn3
Q8WZ42,PF00041,20418,20501,fn3
Q8WZ42,PF00041,18338,18421,fn3
Q8WZ42,PF00041,19727,19812,fn3
Q8WZ42,PF00041,29182,29266,fn3
Q8WZ42,PF00041,17245,17334,fn3
Q8WZ42,PF00041,14516,14600,fn3
Q8WZ42,PF00041,22977,23060,fn3
Q8WZ42,PF00041,31257,31343,fn3
Q8WZ42,PF00041,25141,25224,fn3
Q8WZ42,PF00041,17146,17229,fn3
Q8WZ42,PF00041,21893,21976,fn3
Q8WZ42,PF00041,16223,16308,fn3
Q8WZ42,PF00041,14119,14204,fn3
Q8WZ42,PF00041,24059,24143,fn3
Q8WZ42,PF00041,17645,17730,fn3
Q8WZ42,PF00041,20715,20799,fn3
Q8WZ42,PF00041,31359,31444,fn3
Q8WZ42,PF00041,30270,30356,fn3
Q8WZ42,PF00041,15930,16015,fn3
Q8WZ42,PF00041,14220,14305,fn3
Q8WZ42,PF00041,29080,29166,fn3
Q8WZ42,PF00041,17349,17434,fn3
Q8WZ42,PF00041,16426,16511,fn3
Q8WZ42,PF00041,15508,15593,fn3
Q8WZ42,PF00041,16940,17030,fn3
Q8WZ42,PF00041,14416,14500,fn3
Q8WZ42,PF00041,25931,26017,fn3
Q8WZ42,PF00041,26911,26996,fn3
Q8WZ42,PF00041,19324,19409,fn3
Q8WZ42,PF00041,27303,27386,fn3
Q8WZ42,PF00041,25830,25915,fn3
Q8WZ42,PF00041,26127,26211,fn3
Q8WZ42,PF00041,28783,28868,fn3
Q8WZ42,PF00041,21601,21687,fn3
Q8WZ42,PF00041,22583,22668,fn3
Q8WZ42,PF00041,22684,22770,fn3
Q8WZ42,PF00041,22880,22964,fn3
Q8WZ42,PF00041,24251,24335,fn3
Q8WZ42,PF00041,15012,15096,fn3
Q8WZ42,PF00041,24747,24832,fn3
Q8WZ42,PF00041,18632,18716,fn3
Q8WZ42,PF00041,21104,21189,fn3
Q8WZ42,PF00041,17841,17924,fn3
Q8WZ42,PF00041,25334,25417,fn3
Q8WZ42,PF00041,30860,30945,fn3
Q8WZ42,PF00041,25531,25617,fn3
Q8WZ42,PF00041,27206,27290,fn3
Q8WZ42,PF00041,23962,24046,fn3
Q8WZ42,PF00041,17940,18025,fn3
Q8WZ42,PF00041,30760,30844,fn3
Q8WZ42,PF00041,22087,22171,fn3
Q8WZ42,PF00041,29474,29557,fn3
Q8WZ42,PF00041,18532,18616,fn3
Q8WZ42,PF00041,24848,24934,fn3
Q8WZ42,PF00041,22187,22272,fn3
Q8WZ42,PF00041,32050,32133,fn3
Q8WZ42,PF00041,21202,21288,fn3
Q8WZ42,PF00041,16840,16924,fn3
Q8WZ42,PF00041,26613,26699,fn3
Q8WZ42,PF00041,30563,30648,fn3
Q8WZ42,PF00041,14712,14795,fn3
Q8WZ42,PF00041,23367,23453,fn3
Q8WZ42,PF00041,20317,20400,fn3
Q8WZ42,PF00041,21006,21089,fn3
Q8WZ42,PF00041,29377,29461,fn3
Q8WZ42,PF00041,24647,24732,fn3
Q8WZ42,PF00041,25730,25815,fn3
Q8WZ42,PF00041,31753,31838,fn3
Q8WZ42,PF00041,15407,15491,fn3
Q8WZ42,PF00041,26416,26500,fn3
Q8WZ42,PF00041,28685,28770,fn3
Q8WZ42,PF00041,15730,15815,fn3
Q8WZ42,PF00041,19425,19516,fn3
Q8WZ42,PF00041,15831,15915,fn3
Q8WZ42,PF00041,27498,27582,fn3
Q8WZ42,PF00041,27994,28079,fn3
Q8WZ42,PF00041,28585,28669,fn3
Q8WZ42,PF00041,20812,20894,fn3
Q8WZ42,PF00041,20020,20105,fn3
Q8WZ42,PF00041,14811,14896,fn3
Q8WZ42,PF00041,21401,21485,fn3
Q8WZ42,PF00041,18238,18321,fn3
Q8WZ42,PF00041,21796,21880,fn3
Q8WZ42,PF00041,23565,23650,fn3
Q8WZ42,PF00041,18732,18818,fn3
Q8WZ42,PF00041,30168,30254,fn3
Q8WZ42,PF00041,23665,23750,fn3
Q8WZ42,PF00041,18929,19013,fn3
Q8WZ42,PF00041,19225,19309,fn3
Q8WZ42,PF00041,24351,24436,fn3
Q8WZ42,PF00041,16527,16617,fn3
Q8WZ42,PF00041,24449,24535,fn3
Q8WZ42,PF00041,15213,15299,fn3
Q8WZ42,PF00041,29867,29956,fn3
Q8WZ42,PF00041,23169,23253,fn3
Q8WZ42,PF00041,23766,23852,fn3
Q8WZ42,PF00041,22483,22568,fn3
Q8WZ42,PF00041,19920,20004,fn3
Q8WZ42,PF00041,28390,28473,fn3
Q8WZ42,PF00041,23269,23354,fn3
Q8WZ42,PF00041,29769,29854,fn3
Q8WZ42,PF00041,25044,25127,fn3
Q8WZ42,PF00041,22285,22371,fn3
Q8WZ42,PF00041,20118,20205,fn3
Q8WZ42,PF00041,25433,25518,fn3
Q8WZ42,PF00041,31651,31736,fn3
Q8WZ42,PF00041,30068,30152,fn3
Q8WZ42,PF00041,27598,27683,fn3
Q8WZ42,PF00041,29670,29753,fn3
Q8WZ42,PF00041,31157,31240,fn3
Q8WZ42,PF00041,14018,14103,fn3
Q8WZ42,PF00041,28294,28377,fn3
Q8WZ42,PF00041,26515,26600,fn3
Q8WZ42,PF00041,27894,27979,fn3
Q8WZ42,PF00041,30466,30549,fn3
Q8WZ42,PF00041,17545,17628,fn3
Q8WZ42,PF00041,19029,19113,fn3
Q8WZ42,PF00041,15112,15197,fn3
Q8WZ42,PF00041,26811,26896,fn3
Q8WZ42,PF00041,16125,16208,fn3
Q8WZ42,PF00041,28981,29064,fn3
Q02246,PF00041,814,900,fn3
Q02246,PF00041,609,697,fn3
Q02246,PF00041,712,800,fn3
P54753,PF00041,341,437,fn3
P54753,PF00041,454,535,fn3
O60229,PF00041,2570,2654,fn3
Q15375,PF00041,444,527,fn3
Q15375,PF00041,333,427,fn3
Q92752,PF00041,865,944,fn3
Q92752,PF00041,687,766,fn3
Q92752,PF00041,416,496,fn3
Q92752,PF00041,1042,1121,fn3
Q92752,PF00041,595,677,fn3
Q92752,PF00041,775,855,fn3
Q92752,PF00041,327,404,fn3
Q92752,PF00041,505,585,fn3
Q92752,PF00041,954,1033,fn3
P54760,PF00041,435,519,fn3
P54760,PF00041,325,417,fn3
P32004,PF00041,813,907,fn3
P32004,PF00041,919,1004,fn3
P32004,PF00041,613,701,fn3
P32004,PF00041,716,800,fn3
Q13203,PF00041,268,351,fn3
Q13203,PF00041,72,157,fn3
E7EU71,PF00041,427,521,fn3
Q12860,PF00041,810,893,fn3
Q12860,PF00041,605,693,fn3
Q12860,PF00041,708,796,fn3
Q13332,PF00041,526,606,fn3
Q13332,PF00041,620,708,fn3
Q13332,PF00041,333,414,fn3
Q13332,PF00041,722,821,fn3
Q13332,PF00041,428,513,fn3
Q13332,PF00041,930,1022,fn3
Q13332,PF00041,835,917,fn3
Q99650,PF00041,525,609,fn3
P22105,PF00041,3757,3836,fn3
P22105,PF00041,2304,2384,fn3
P22105,PF00041,1988,2068,fn3
P22105,PF00041,2629,2709,fn3
P22105,PF00041,2845,2925,fn3
P22105,PF00041,1262,1342,fn3
P22105,PF00041,3061,3141,fn3
P22105,PF00041,3167,3247,fn3
P22105,PF00041,2196,2275,fn3
P22105,PF00041,3355,3436,fn3
P22105,PF00041,2523,2603,fn3
P22105,PF00041,2737,2817,fn3
