uniprot_acc	refseq	version
O15055	XM_005246111	4
O15055	XM_006712824	3
O15056	NM_001178088	1
O15056	NM_003898	3
O15056	XM_006715592	3
O15056	XM_011536225	1
O15063	NM_014686	3
O15063	XM_005259444	1
O15066	NM_004798	3
O15067	NM_012393	2
O15075	NM_001195415	1
O15075	NM_001195416	1
O15075	NM_001330071	1
O15075	NM_001330072	1
O15075	NM_004734	4
O15078	NM_025114	3
O15079	NM_001318234	1
O15079	NM_014723	3
O15083	NM_015576	2
O15083	XM_017006158	1
O15091	NM_001256678	1
O15091	NM_001256679	1
O15091	NM_001256680	1
O15091	NM_001256681	1
O15091	NM_014672	3
O15091	XM_005268237	3
O15091	XM_011537409	2
O15091	XM_011537410	2
O15091	XM_017021835	1
O15091	XM_017021836	1
O15091	XM_017021837	1
O15111	NM_001278	4
O15116	NM_014462	2
O15131	NM_002269	2
O15131	XM_017010839	1
O15131	XM_017010840	1
O15143	NM_005720	3
O15143	XM_006715825	1
O15143	XM_006715826	1
O15144	NM_005731	3
O15144	NM_152862	2
O15145	NM_001278556	1
O15145	NM_001287222	1
O15160	NM_001318876	1
O15160	NM_203290	3
O15169	NM_003502	3
O15169	NM_181050	2
O15173	NM_006320	4
O15182	NM_001297768	1
O15182	NM_004365	3
O15195	NM_015873	3
O15195	XM_005265191	3
O15195	XM_005265192	4
O15195	XM_006713184	3
O15195	XM_011533770	2
O15212	NM_001185181	2
O15212	NM_001265595	1
O15212	NM_001265596	1
O15212	NM_014260	3
O15213	NM_001164267	1
O15213	NM_005452	5
O15217	NM_001512	3
O15217	XM_005249035	3
O15226	NM_001173487	1
O15226	NM_001173488	1
O15226	NM_017544	3
O15226	XM_011531365	2
O15228	NM_001316350	1
O15228	NM_014236	3
O15234	NM_007359	4
O15234	XM_005257163	1
O15240	NM_003378	3
O15240	XM_005250561	4
O15240	XM_011516549	2
O15240	XM_017012579	1
O15247	NM_001289	5
O15264	NM_002754	4
O15273	NM_003673	3
O15294	NM_181672	2
O15294	NM_181673	2
O15294	XM_017029907	1
O15294	XM_017029908	1
O15297	NM_003620	3
O15342	NM_003945	3
O15347	NM_001301228	1
O15347	NM_001301229	1
O15347	NM_001301231	1
O15347	NM_005342	3
O15350	NM_001126240	2
O15350	NM_001126241	2
O15350	NM_001126242	2
O15350	NM_001204184	1
O15350	NM_001204185	1
O15350	NM_001204186	1
O15350	NM_001204187	1
O15350	NM_001204188	1
O15350	NM_001204189	1
O15350	NM_001204190	1
O15350	NM_001204191	1
O15350	NM_001204192	1
O15350	NM_005427	3
O15355	NM_177983	2
O15360	NM_000135	2
O15360	NM_001018112	1
O15360	NM_001286167	1
O15371	NM_003753	3
O15372	NM_003756	2
O15381	NM_001243146	1
O15381	NM_001243147	1
O15381	NM_002533	3
O15381	NM_206840	2
O15392	NM_001012270	1
O15392	NM_001012271	1
O15392	NM_001168	2
O15394	NM_004540	3
O15394	XM_017028358	1
O15397	NM_001190995	1
O15397	NM_006390	3
O15399	NM_000836	2
O15399	XM_011526872	1
O15400	NM_001326578	1
O15400	NM_001326579	1
O15400	NM_001326580	1
O15400	NM_003569	2
O15400	XM_011536178	1
O15446	NM_001297590	1
O15446	NM_012099	1
O15479	NM_002364	4
O15479	XM_011545512	1
O15484	NM_004055	4
O15484	XM_017018223	1
O15520	NM_004465	1
O15520	XM_005248264	3
O15523	NM_001122665	3
O15523	NM_001302552	2
O15523	NM_004660	4
O15524	NM_003745	1
O15527	NM_002542	5
O15527	NM_016819	3
O15527	NM_016820	3
O15527	NM_016821	2
O15527	NM_016826	2
O15527	NM_016827	2
O15527	NM_016828	2
O15527	NM_016829	2
O15530	NM_001261816	1
O15530	NM_002613	4
O15530	NM_031268	5
O15535	NM_001199479	1
O15535	NM_001199480	1
O15535	NM_006299	4
O15535	XM_017011267	1
O15540	NM_001319039	1
O15540	NM_001446	4
O15550	NM_021140	3
O43143	NM_001358	2
O43148	NM_001308263	1
O43148	NM_003799	2
O43148	XM_005258162	1
O43148	XM_017026061	1
O43159	NM_015324	3
O43172	NM_001244926	1
O43172	NM_004697	4
O43175	NM_006623	3
O43237	NM_001286157	1
O43237	NM_006141	2
O43242	NM_002809	3
O43251	NM_001031695	2
O43251	NM_001082576	1
O43251	NM_001082577	1
O43251	NM_001082578	1
O43251	NM_014309	2
O43251	XM_005261437	1
O43252	NM_005443	4
O43252	XM_011532400	1
O43252	XM_011532401	1
O43283	NM_001242314	1
O43283	NM_001242317	1
O43283	NM_004721	4
O43283	XM_011513310	2
O43283	XM_017007456	1
O43293	NM_001348	2
O43293	XM_005259508	1
O43295	NM_001033117	2
O43295	NM_014850	3
O43301	NM_025015	2
O43303	NM_001199022	2
O43303	NM_001323569	1
O43303	NM_001323570	1
O43303	NM_001323571	1
O43303	NM_001323572	1
O43303	NM_014711	5
O43303	XM_011545991	2
O43303	XM_011545992	2
O43303	XM_017023908	1
O43306	NM_015270	4
O43306	XM_006719210	3
O43313	NM_001300728	1
O43313	NM_015251	2
O43324	NM_001135650	1
O43324	NM_004280	4
O43347	NM_002442	3
O43347	XM_011538361	2
O43379	NM_001083961	1
O43379	NM_173636	4
O43379	XM_017026665	1
O43390	NM_001102398	2
O43390	NM_001297620	1
O43390	NM_005826	4
O43390	XM_005245711	4
O43390	XM_011540471	2
O43390	XM_017000008	1
O43395	NM_004698	2
O43396	NM_004786	2
O43396	XM_017026093	1
O43423	NM_012403	1
O43426	NM_001160302	1
O43426	NM_001160306	1
O43426	NM_003895	3
O43426	NM_203446	2
O43426	XM_017028500	1
O43432	NM_001198801	1
O43432	NM_001198802	1
O43432	NM_001198803	2
O43432	NM_003760	4
O43432	XM_017002700	1
O43432	XM_017002708	1
O43432	XM_017002712	1
O43447	NM_001330510	1
O43447	NM_006347	3
O43447	XM_005270362	1
O43447	XM_017000057	1
O43447	XM_017000058	1
O43447	XM_017000059	1
O43463	NM_001282166	1
O43463	NM_003173	3
O43474	NM_001314052	1
O43474	NM_004235	5
O43482	NM_001317860	1
O43482	NM_007280	1
O43488	NM_003689	3
O43491	NM_001135554	1
O43491	NM_001135555	3
O43491	NM_001252660	1
O43491	NM_001431	3
O43491	XM_011535530	1
O43491	XM_011535534	1
O43491	XM_017010355	1
O43491	XM_017010359	1
O43491	XM_017010360	1
O43491	XM_017010361	1
O43491	XM_017010362	1
O43497	NM_001256324	1
O43497	NM_001256325	1
O43497	NM_001256326	1
O43497	NM_001256327	1
O43497	NM_001256328	1
O43497	NM_001256329	1
O43497	NM_001256330	1
O43497	NM_001256331	1
O43497	NM_001256332	1
O43497	NM_001256333	1
O43497	NM_001256334	1
O43497	NM_001256359	1
O43497	NM_001256360	1
O43497	NM_001256361	1
O43497	NM_018896	4
O43497	NM_198376	2
O43497	NM_198377	2
O43497	NM_198378	2
O43497	NM_198379	2
O43497	NM_198380	2
O43497	NM_198382	2
O43497	NM_198383	2
O43497	NM_198384	2
O43497	NM_198385	2
O43497	NM_198386	2
O43497	NM_198387	2
O43497	NM_198388	2
O43497	NM_198396	2
O43504	NM_006402	2
O43520	NM_005603	4
O43520	XM_006722481	3
O43520	XM_011526022	2
O43526	NM_004518	5
O43526	NM_172106	2
O43526	NM_172107	3
O43526	NM_172108	4
O43526	NM_172109	2
O43541	NM_005585	4
O43541	XM_011521561	2
O43561	NM_001014987	1
O43561	NM_001014988	1
O43561	NM_001014989	1
O43561	NM_014387	3
O43566	NM_006480	4
O43581	NM_001252065	1
O43581	NM_001300773	1
O43581	NM_004200	3
O43581	XM_005274383	4
O43581	XM_005274385	4
O43583	NM_003677	4
O43602	NM_000555	3
O43602	NM_178151	2
O43602	NM_178152	2
O43602	NM_178153	2
O43615	NM_006351	3
O43617	NM_001270894	1
O43617	NM_001270895	1
O43617	NM_001270896	1
O43617	NM_001270897	1
O43617	NM_014408	4
O43623	NM_003068	4
O43660	NM_001201564	1
O43660	NM_002669	3
O43663	NM_001267580	1
O43663	NM_003981	3
O43670	NM_001032293	2
O43670	NM_001098507	1
O43670	NM_003457	3
O43670	XM_017025019	1
O43678	NM_001185012	1
O43678	NM_002488	4
O43684	NM_001007793	2
O43684	NM_004725	3
O43688	NM_003712	3
O43688	NM_177526	2
O43688	NM_177543	2
O43707	NM_004924	5
O43709	NM_001202560	2
O43709	NM_017528	4
O43734	NM_001164281	2
O43734	NM_001164283	2
O43734	NM_147200	2
O43734	NM_147686	3
O43734	XM_006715319	3
O43734	XM_011535386	1
O43739	NM_004227	3
O43781	NM_001004023	1
O43781	NM_003582	2
O43781	XM_005273315	4
O43791	NM_001007226	1
O43791	NM_001007227	1
O43791	NM_001007228	1
O43791	NM_001007229	1
O43791	NM_001007230	1
O43791	NM_003563	3
O43791	XM_005257723	4
O43791	XM_005257724	4
O43791	XM_017025204	1
O43795	NM_001130158	2
O43795	NM_001161819	2
O43795	NM_012223	4
O43795	XM_005246572	1
O43805	NM_003731	2
O43809	NM_007006	2
O43813	NM_001136574	1
O43813	NM_001136575	1
O43813	NM_006055	2
O43815	NM_003162	3
O43818	NM_004704	4
O43823	NM_005858	3
O43837	NM_001330763	1
O43837	NM_006899	4
O43837	NM_174855	3
O43865	NM_001242673	1
O43865	NM_001242674	1
O43865	NM_001242675	1
O43865	NM_001242676	1
O43865	NM_006621	5
O43924	NM_001291018	1
O43924	NM_002601	3
O43933	NM_000466	2
O43933	NM_001282677	1
O43933	NM_001282678	1
O60216	NM_006265	2
O60218	NM_020299	4
O60220	NM_004085	3
O60229	NM_001024660	4
O60229	NM_001322988	1
O60229	NM_001322989	1
O60229	NM_001322994	1
O60229	NM_001322995	1
O60229	NM_001322996	1
O60229	NM_001322997	1
O60229	NM_001322998	1
O60229	NM_001322999	1
O60229	NM_001323000	1
O60229	NM_001323001	1
O60229	NM_003947	5
O60229	NM_007064	4
O60237	NM_001167857	1
O60237	NM_001167858	1
O60237	NM_001197131	1
O60237	NM_001331029	1
O60237	NM_002481	3
O60237	NM_032103	2
O60237	NM_032104	2
O60237	XM_017001352	1
O60237	XM_017001353	1
O60237	XM_017001354	1
O60239	NM_001018009	3
O60239	NM_004844	4
O60239	XM_017007522	1
O60239	XM_017007523	1
O60239	XM_017007524	1
O60239	XM_017007525	1
O60256	NM_001243936	1
O60256	NM_001243940	1
O60256	NM_001243941	1
O60256	NM_001243942	1
O60256	NM_002767	3
O60256	XM_005256725	2
O60256	XM_005256726	1
O60256	XM_005256729	4
O60256	XM_017024865	1
O60256	XM_017024866	1
O60256	XM_017024867	1
O60256	XM_017024871	1
O60256	XM_017024872	1
O60256	XM_017024873	1
O60256	XM_017024874	1
O60256	XM_017024875	1
O60256	XM_017024876	1
O60260	NM_004562	2
O60260	NM_013987	2
O60260	NM_013988	2
O60264	NM_003601	3
O60268	NM_001286565	1
O60268	NM_001286566	1
O60268	NM_001297766	1
O60268	NM_014732	3
O60268	XM_005256265	3
O60268	XM_017023912	1
O60269	NM_014696	3
O60269	XM_005277666	3
O60269	XM_011540400	2
O60282	NM_004522	2
O60282	XM_011511157	2
O60282	XM_017004062	1
O60287	NM_014825	2
O60293	NM_144982	4
O60299	NM_001282533	1
O60299	XM_005260892	1
O60299	XM_005260893	2
O60306	NM_014691	2
O60307	NM_015016	1
O60308	NM_014704	3
O60313	NM_015560	2
O60313	NM_130831	2
O60313	NM_130833	2
O60313	NM_130834	2
O60313	NM_130836	2
O60313	NM_130837	2
O60318	NM_003906	4
O60318	XM_005261203	4
O60318	XM_005261204	4
O60318	XM_005261205	3
O60331	NM_001195733	1
O60331	NM_001300849	1
O60331	NM_012398	2
O60333	NM_015074	3
O60333	NM_183416	3
O60341	NM_001009999	2
O60341	NM_015013	3
O60447	NM_001308248	1
O60447	NM_005665	5
O60479	NM_005220	2
O60488	NM_001318509	1
O60488	NM_001318510	1
O60488	NM_004458	2
O60488	NM_022977	2
O60488	XM_005262109	2
O60488	XM_006724635	2
O60488	XM_011530888	2
O60488	XM_011530889	2
O60493	NM_001300929	1
O60493	NM_003795	5
O60493	NM_152827	3
O60500	NM_004646	3
O60504	NM_001018003	2
O60504	NM_005775	4
O60504	XM_005273371	1
O60504	XM_017012944	1
O60504	XM_017012945	1
O60504	XM_017012946	1
O60506	NM_001159673	1
O60506	NM_001159674	1
O60506	NM_001159675	1
O60506	NM_001159676	1
O60506	NM_001159677	1
O60506	NM_001253771	1
O60506	NM_006372	4
O60506	XM_005248637	2
O60506	XM_017010178	1
O60518	NM_001243202	1
O60518	NM_001243203	1
O60518	NM_012416	3
O60563	NM_001240	3
O60563	NM_001277842	1
O60573	NM_001276336	1
O60573	NM_004846	3
O60641	NM_001242792	1
O60641	NM_001242793	1
O60641	NM_001242794	1
O60641	NM_001256717	1
O60641	NM_001256718	1
O60641	NM_014841	2
O60641	XM_005248770	4
O60641	XM_006715615	1
O60641	XM_011536265	1
O60641	XM_011536266	1
O60645	NM_007277	4
O60645	XM_017009003	1
O60645	XM_017009004	1
O60658	NM_001243137	1
O60658	NM_002605	2
O60658	NM_173454	1
O60658	XM_017022311	1
O60684	NM_012316	4
O60688	NM_013313	4
O60716	NM_001085458	1
O60716	NM_001085459	1
O60716	NM_001085460	1
O60716	NM_001085461	1
O60716	NM_001085462	1
O60716	NM_001085463	1
O60716	NM_001085464	1
O60716	NM_001085465	1
O60716	NM_001085466	1
O60716	NM_001085467	1
O60716	NM_001085468	1
O60716	NM_001085469	1
O60716	NM_001206883	1
O60716	NM_001206884	1
O60716	NM_001206885	1
O60716	NM_001206886	1
O60716	NM_001206887	1
O60716	NM_001206888	1
O60716	NM_001206889	1
O60716	NM_001206890	1
O60716	NM_001206891	1
O60716	NM_001331	2
O60729	NM_001077181	1
O60729	NM_003671	3
O60729	NM_033331	2
O60729	XM_011519158	1
O60729	XM_017015243	1
O60739	NM_005875	2
O60749	NM_001278199	1
O60749	NM_003100	3
O60760	NM_014485	2
O60763	NM_001290049	1
O60763	NM_003715	3
O60812	NM_001013631	2
O60814	NM_001312653	1
O60814	NM_080593	2
O60825	NM_001018053	1
O60825	NM_006212	2
O60826	NM_014008	4
